Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
Partition function (log Z): -3.918927574998102

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7696447287306071
Position 245: 0.10504913210878157
Position 220: 0.08450621579426738
Position 234: 0.01963990049438538
Position 651: 0.011234345476480776
Position 259: 0.010745654225121382
Position 181: 0.009091442547999467
Position 681: 0.0054148282573482495
Position 418: 0.004252786013398456
Position 790: 0.003721817287640113
Position 698: 0.0032904452389330894
Position 353: 0.002284605894721038
Position 643: 0.001595404567971137
Position 446: 0.0014971766012156322
Position 598: 0.0014477662519442858
Position 676: 0.0012436326634704294
Position 761: 0.0010698127596169844
Position 921: 0.0005478425094611847
Position 707: 0.0005090419511032736
Position 232: 0.000487935289463942
Position 926: 0.000406974182660327
Position 175: 0.00031546875479331044
Position 607: 0.00026537124946486704
Position 955: 0.00026129439580503574
Position 20: 0.00023997666723033772
Position 530: 0.00019271454084076592
Position 8: 0.00017871424846621964
Position 48: 0.00017380588459818793
Position 670: 0.00010811024859325443
Position 378: 0.00010759433112069061
Position 136: 0.00010615227925069772
Position 711: 9.695308480062767e-05
Position 318: 8.386579776507322e-05
Position 704: 4.2772895527459476e-05
Position 504: 3.616673591342793e-05
Position 271: 3.173151275107175e-05
Position 936: 2.1178130776626046e-05
Position 702: 2.108775115441296e-05
Position 29: 1.2302067576821817e-05
Position 792: 1.0971973390729257e-05
Position 31: 9.905389232253278e-06
Position 777: 9.46820306703777e-06
Position 506: 7.399511415328103e-06
Position 269: 4.6886982239508535e-06
Position 862: 3.02843975750068e-06
Position 830: 1.7924053178438308e-06
Position 895: 2.0336753549423322e-07
Position 293: 1.1322820289270918e-07
Position 88: 9.273235171630065e-08
Position 518: 3.951210995055223e-08
Position 866: 1.184780276189272e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9899645843972387
Position 539: 0.0151366575783911
Position 741: 0.01283926365454967
Position 852: 0.009900236442364275
Position 787: 0.004782089185938417
Position 716: 0.002565964617944088
Position 670: 0.0010588242380641603
Position 988: 0.0009113765404103051
Position 858: 0.000763368418684598
Position 556: 0.000472683562028679
Position 1015: 0.0003989291988231997
Position 826: 0.000256332140683034
Position 902: 0.00021342428986554054
Position 88: 0.0001819751493561927
Position 830: 0.00014143771741109286
Position 68: 0.00010595175724131782
Position 65: 8.517015484899471e-05
Position 504: 6.884488345957802e-05
Position 352: 3.6220644585882394e-05
Position 806: 2.291098818613063e-05
Position 630: 1.7082043068280604e-05
Position 59: 1.6004584494080128e-05
Position 392: 1.3873970697189123e-05
Position 117: 1.3442954205613102e-05
Position 720: 7.956196859485852e-06
Position 995: 7.417205749522133e-06
Position 411: 7.122196088447949e-06
Position 375: 5.731326509195261e-06
Position 439: 5.168182542977274e-06
Position 444: 4.709836891869807e-06
Position 810: 4.644747416688239e-06
Position 585: 4.058172723335034e-06
Position 569: 3.902002053743863e-06
Position 229: 2.335064852820031e-06
Position 643: 1.1477174547397537e-06
Position 911: 8.216390110023454e-07
Position 446: 7.557696152466995e-07
Position 651: 4.139445179127456e-07
Position 566: 3.588351539234055e-07
Position 866: 2.595270336196896e-07
Position 920: 2.0739787373969082e-07
Position 358: 1.8984033406797464e-07
Position 640: 1.3739461950966895e-07
Position 187: 1.1191642026591253e-07
Position 121: 1.0690633366295442e-07
Position 931: 7.403170299749264e-08
Position 648: 4.565771434111656e-08
Position 541: 4.120455626661658e-08
Position 165: 2.794933073379569e-08
Position 168: 2.5956712687451294e-08
Position 142: 2.1151289835899607e-08
Position 134: 1.1971844722404354e-08
Position 441: 1.1875679874087135e-08
