Gene = Alg10
index = 18
Annotated 5SS: [258 786]
Annotated 3SS: [314 849]
SMsplice 5SS: [258 786]
SMsplice 3SS: [314 849]
Partition function (log Z): -5.7019681133908415

Sorted 5' Splice Sites (High to Low Probability):
Position 258: 0.9558432914488411
Position 786: 0.696724623705553
Position 255: 0.013112754487018378
Position 684: 0.006588664209772475
Position 810: 0.006390342856593772
Position 1572: 0.006261665674956938
Position 765: 0.002877067699887346
Position 421: 0.0015727532923893541
Position 680: 0.0012377721250562467
Position 174: 0.0012271700935141603
Position 518: 0.0012076771595761434
Position 801: 0.0011806949562830737
Position 982: 0.00092209978155947
Position 481: 0.000776142797910478
Position 390: 0.0007422026251212147
Position 195: 0.0002920228044830102
Position 1079: 0.00026512975470006163
Position 636: 0.0002463715601511873
Position 1297: 0.00023673256343941516
Position 379: 0.00021552733625848308
Position 585: 0.00016003214679988461
Position 314: 0.00015857727383816143
Position 719: 0.00014740327285345177
Position 1153: 0.0001390116345898484
Position 1251: 0.0001232825163051197
Position 796: 0.00010534400166749351
Position 296: 0.00010199451655595717
Position 1159: 7.72072283796714e-05
Position 979: 7.531787239590088e-05
Position 522: 7.24872177226795e-05
Position 971: 5.422402951778642e-05
Position 1018: 5.0708984568708324e-05
Position 1156: 3.916557978443804e-05
Position 723: 3.8918826813468794e-05
Position 945: 3.3651181889137575e-05
Position 1177: 2.8796391079469972e-05
Position 654: 2.7091190109759205e-05
Position 1010: 2.5727591970864105e-05
Position 1575: 2.4992863227741218e-05
Position 652: 2.3911341189454414e-05
Position 949: 2.1741985141979966e-05
Position 149: 2.122127370584879e-05
Position 750: 1.8223999193832873e-05
Position 995: 1.8186233048763293e-05
Position 1245: 1.800180283261985e-05
Position 1083: 1.734871821075251e-05
Position 1515: 1.589132167039519e-05
Position 30: 1.0647225902615809e-05
Position 135: 9.358632765658066e-06
Position 678: 8.598314092868632e-06
Position 209: 6.047273612435709e-06
Position 1316: 4.619160696676395e-06
Position 1338: 4.357780447408763e-06
Position 708: 4.274421567727284e-06
Position 1254: 3.1664254627347724e-06
Position 1506: 3.010014180255531e-06
Position 1120: 2.427715145094419e-06
Position 838: 2.1456232030547957e-06
Position 1530: 1.637212984451534e-06
Position 915: 1.610253568684112e-06
Position 1454: 1.4698932164860064e-06
Position 865: 1.1050728493736013e-06
Position 144: 7.57817079854957e-07
Position 1513: 7.440850302944147e-07
Position 1088: 6.611552905873428e-07
Position 849: 6.088798697438114e-07
Position 383: 5.349840189551679e-07
Position 81: 3.537441954160096e-07
Position 113: 2.9329379159538405e-07
Position 593: 2.9285514960517563e-07
Position 303: 2.415131716303285e-07
Position 1464: 1.8981771580200286e-07
Position 19: 1.6104922542436427e-07
Position 35: 1.4647898476456272e-07
Position 1498: 1.3601740638235222e-07
Position 920: 1.1928403815040479e-07
Position 1413: 3.605634435310578e-08
Position 1408: 3.5384848016583304e-08
Position 1366: 3.473994620224554e-08
Position 1422: 3.286569805998149e-08
Position 1125: 3.106669560114435e-08
Position 885: 3.0866011776745425e-08
Position 852: 9.534268208674214e-09
Position 572: 8.554935936740721e-09
Position 1344: 7.298873616804833e-09
Position 1355: 6.587365450994337e-09
Position 5: 6.253715458894031e-09
Position 70: 4.002683522969442e-09
Position 1371: 2.6435690896679847e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9498204110062602
Position 849: 0.7061800710077633
Position 872: 0.010079915865205596
Position 379: 0.009025991921799842
Position 1637: 0.006415277765933186
Position 1355: 0.0037398007313325095
Position 611: 0.00278962730319382
Position 547: 0.002313670102410807
Position 326: 0.0019635755259603724
Position 617: 0.0014644084620759304
Position 452: 0.0011640279393236625
Position 869: 0.0010367818536205352
Position 1380: 0.0009759991607794423
Position 1099: 0.0006174327222621837
Position 1083: 0.0005164295263435934
Position 224: 0.00045448168347210326
Position 1026: 0.0003010018254771107
Position 614: 0.00022857368071583308
Position 1205: 0.00014911717291027186
Position 1096: 6.893013870957469e-05
Position 303: 5.4926537358998236e-05
Position 457: 4.225947890356036e-05
Position 668: 3.7244021072051064e-05
Position 1112: 2.5798742794657826e-05
Position 412: 2.0452719741911202e-05
Position 652: 1.97655564283713e-05
Position 915: 1.688050172996616e-05
Position 245: 1.5656969583701417e-05
Position 1229: 1.5177876063161822e-05
Position 758: 1.2962798949990871e-05
Position 1562: 1.2530578105924438e-05
Position 1527: 7.1413342854556185e-06
Position 1392: 5.4822220122588215e-06
Position 289: 4.572889503661631e-06
Position 417: 4.154077388449143e-06
Position 993: 3.758896850760437e-06
Position 1452: 3.730241727003231e-06
Position 1010: 3.3294892969985203e-06
Position 420: 3.117670635819531e-06
Position 1177: 3.0234557774402512e-06
Position 1331: 2.693841495129859e-06
Position 78: 2.393827190224516e-06
Position 292: 1.901878891053891e-06
Position 1575: 1.5201441150479271e-06
Position 209: 1.3550691801171925e-06
Position 1338: 8.066542098436506e-07
Position 506: 3.0390977454048553e-07
Position 1530: 2.0754017601572476e-07
Position 824: 1.89924444838026e-07
Position 93: 1.0503443951751748e-07
Position 783: 5.755578382009647e-08
Position 1005: 2.3346064568528766e-08
Position 785: 2.009505475493796e-08
Position 1464: 1.9187998013360177e-08
Position 1480: 1.7695659264278024e-08
Position 403: 1.2112310404980022e-08
Position 266: 4.339164666416236e-09
Position 206: 2.4857636574044397e-09
Position 1473: 2.266634486925566e-09
Position 995: 9.581884717475375e-10
Position 62: 4.496882280757131e-10
Position 902: 7.76096760501241e-12
