Gene = Dhpr
index = 1134
Annotated 5SS: [331]
Annotated 3SS: [426]
SMsplice 5SS: [331]
SMsplice 3SS: [426]
Partition function (log Z): -9.1098477895329

Sorted 5' Splice Sites (High to Low Probability):
Position 331: 0.9866047000837734
Position 755: 0.013473574350707075
Position 596: 0.011107274419544868
Position 599: 0.008187204612222781
Position 113: 0.00527653827271213
Position 130: 0.003265220299790559
Position 293: 0.001075186742650911
Position 827: 0.0008304380249121825
Position 865: 0.0006284381282210096
Position 890: 0.00039724978502889927
Position 122: 0.00034158811573371844
Position 148: 0.00030951124690640623
Position 39: 0.0002512574897330195
Position 186: 0.00018907213147367186
Position 532: 0.0001783830262207146
Position 469: 0.00017536142701721574
Position 29: 0.00014467150115106463
Position 940: 0.0001325377232984027
Position 265: 0.0001235413229018715
Position 839: 0.00011743814796610368
Position 520: 0.00011723056939940882
Position 275: 9.867937861183616e-05
Position 426: 8.378539285935565e-05
Position 257: 7.395598760558238e-05
Position 478: 5.3762577896529897e-05
Position 335: 4.955568694998691e-05
Position 194: 4.523145300066564e-05
Position 481: 4.3144146755028965e-05
Position 497: 4.1478139292891896e-05
Position 639: 2.9731191910824177e-05
Position 304: 2.252728045850641e-05
Position 852: 2.0469121387980834e-05
Position 17: 1.5022622523182906e-05
Position 502: 1.4414899111094382e-05
Position 212: 1.4156318524091017e-05
Position 262: 1.3419681309362044e-05
Position 188: 1.2662647963435823e-05
Position 196: 9.85530988886513e-06
Position 302: 9.534482921880655e-06
Position 430: 7.925134004325854e-06
Position 652: 7.875816524535885e-06
Position 523: 7.205387820996464e-06
Position 525: 4.35056347919438e-06
Position 850: 3.245166661248474e-06
Position 1209: 1.1130447571191574e-06
Position 960: 1.112829418906054e-06
Position 577: 1.1023182550985233e-06
Position 1186: 8.740586055701106e-07
Position 249: 6.191227634492985e-07
Position 679: 5.689112508187091e-07
Position 568: 4.671465474364651e-07
Position 787: 4.3647799103382554e-07
Position 654: 3.546714316893232e-07
Position 1135: 3.1765255003876507e-07
Position 381: 1.3664394067844137e-07
Position 393: 6.41696289267552e-08
Position 999: 5.5909379921651983e-08
Position 1189: 2.2457833748453282e-08
Position 1179: 1.623645792603373e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.7579347333510248
Position 874: 0.10128775137462717
Position 910: 0.06649184618738979
Position 437: 0.061813154128248615
Position 1005: 0.01662202547869963
Position 212: 0.007454070430435988
Position 676: 0.006778068572360034
Position 960: 0.005516063380955135
Position 648: 0.002581605180663427
Position 510: 0.0014464603523953244
Position 1032: 0.0010166314601201191
Position 238: 0.0007089639346051893
Position 256: 0.0005655413147543416
Position 1283: 0.0005651336989018017
Position 459: 0.00039265286932593704
Position 699: 0.00035715456518716816
Position 116: 0.00029735388087165837
Position 970: 0.0002763148008057802
Position 1050: 0.0002068183795272982
Position 497: 0.0001865736311080367
Position 835: 0.00017605324691490667
Position 532: 0.00014926800359275333
Position 732: 0.00011803981901964395
Position 727: 0.00010057081307316398
Position 462: 8.439742483035617e-05
Position 645: 7.616653267082978e-05
Position 595: 7.156252572957876e-05
Position 1274: 6.626471649677759e-05
Position 453: 3.815542301814381e-05
Position 795: 3.787691341180199e-05
Position 784: 3.550058978353238e-05
Position 473: 2.561363083849048e-05
Position 975: 2.367803646419914e-05
Position 1260: 2.1627136205710666e-05
Position 143: 1.3778227197044827e-05
Position 624: 1.2205842177543678e-05
Position 780: 1.075535824360689e-05
Position 612: 1.0414047046269843e-05
Position 1251: 1.0088837048222087e-05
Position 690: 8.514440313174422e-06
Position 319: 8.355760574644276e-06
Position 513: 4.824402190453954e-06
Position 819: 3.7145506344522744e-06
Position 155: 1.8864026940857975e-06
Position 609: 1.7595289478533136e-06
Position 1064: 1.4852083457810674e-06
Position 939: 1.2813685134208502e-06
Position 1056: 9.486042183460371e-07
Position 72: 6.517963870263355e-07
Position 283: 4.0909428304716813e-07
Position 744: 4.037233973276951e-07
Position 262: 2.2273506906165182e-07
Position 1262: 1.1411265298880168e-07
Position 1233: 9.21114890726168e-08
Position 335: 3.398118004230458e-08
Position 650: 1.3551963464165688e-08
Position 978: 8.134819233618041e-09
Position 555: 6.360350225801896e-09
Position 706: 5.791320088589474e-09
Position 1242: 1.583437996401161e-09
Position 1058: 9.693410158601294e-11
Position 286: 2.413596147397219e-11
Position 980: 1.6566756566877188e-14
