Gene = mTerf3
index = 1783
Annotated 5SS: [819]
Annotated 3SS: [877]
SMsplice 5SS: [819]
SMsplice 3SS: [877]
Partition function (log Z): -2.51811644144724

Sorted 5' Splice Sites (High to Low Probability):
Position 819: 0.9885001118923106
Position 146: 0.031432094418951326
Position 791: 0.009653579845297565
Position 168: 0.007257802049920822
Position 521: 0.0027377344021230704
Position 404: 0.0021571265144158035
Position 345: 0.0008329637120904692
Position 377: 0.0005485810024165665
Position 630: 0.00048421879920364507
Position 132: 0.00028451931011894117
Position 788: 0.0002733243114467506
Position 213: 0.00024348008094404725
Position 303: 0.0002195644962836389
Position 51: 0.00018174210335358468
Position 676: 0.00018010131011406442
Position 823: 0.00016811297534071525
Position 263: 0.0001679371211071441
Position 290: 0.00016038348677899813
Position 152: 0.00013343953733981016
Position 332: 7.009907828418009e-05
Position 428: 4.936042139033395e-05
Position 440: 3.7668947799686736e-05
Position 134: 3.5859938551184447e-05
Position 621: 3.50139300047178e-05
Position 780: 3.416761850792812e-05
Position 39: 3.384807123654476e-05
Position 154: 3.181812302607801e-05
Position 230: 3.1263686732532055e-05
Position 730: 2.8529042585586263e-05
Position 34: 2.2651976543543963e-05
Position 657: 1.8766072356091072e-05
Position 660: 9.7462069719816e-06
Position 466: 9.671909075277403e-06
Position 1115: 8.246443687509044e-06
Position 646: 5.149606306011536e-06
Position 614: 4.935064233768856e-06
Position 421: 3.7460415085323594e-06
Position 487: 2.282044989085714e-06
Position 995: 1.6771143841856039e-06
Position 1002: 1.5562391165979306e-06
Position 853: 1.1644355367603075e-06
Position 1050: 6.626661800923376e-07
Position 598: 4.599533850121181e-07
Position 1105: 2.1044663766230762e-07
Position 736: 1.1290333445657004e-07
Position 734: 9.989724949893817e-08
Position 1072: 6.056161836576394e-08
Position 905: 5.809750838925923e-08
Position 1096: 3.4813366025112065e-08
Position 892: 3.1250883636855604e-08
Position 951: 3.9722692980782185e-09
Position 946: 4.5412721618688043e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 877: 0.9997245318590047
Position 609: 0.015488962299994389
Position 462: 0.01180503163221216
Position 230: 0.0034548684106846437
Position 313: 0.0025342770394114747
Position 436: 0.002478251173586694
Position 730: 0.00206036901472405
Position 196: 0.0018007814268378986
Position 643: 0.0017414903722836738
Position 580: 0.001627720728102265
Position 687: 0.0007978093466590548
Position 748: 0.0004228270671653896
Position 184: 0.00041123669637537093
Position 218: 0.00029312113144062713
Position 227: 0.0002573829541094527
Position 918: 0.00012992124127123952
Position 324: 0.00012667961737225064
Position 345: 0.00010286173069791572
Position 514: 8.938340787556681e-05
Position 942: 8.08409710362282e-05
Position 493: 7.63533793852155e-05
Position 541: 7.060135773090968e-05
Position 385: 6.152433064239252e-05
Position 409: 5.935993934843497e-05
Position 543: 5.928085694970349e-05
Position 537: 4.668614861954511e-05
Position 561: 4.385195845710366e-05
Position 496: 3.501231079638622e-05
Position 193: 3.4572632369280475e-05
Position 646: 3.091218431447179e-05
Position 751: 2.3548607183347735e-05
Position 905: 1.671947782666494e-05
Position 303: 1.5433936314972122e-05
Position 772: 1.4572035076456444e-05
Position 557: 1.4214149146835888e-05
Position 845: 1.4107145673300654e-05
Position 1169: 8.608901878551649e-06
Position 614: 5.383053920917713e-06
Position 361: 5.36098865880407e-06
Position 475: 4.382615295208731e-06
Position 689: 4.3325481192030314e-06
Position 983: 4.128729733605088e-06
Position 951: 3.921894416721297e-06
Position 145: 3.45521683177728e-06
Position 1072: 3.3039147687399032e-06
Position 397: 1.4802368319972614e-06
Position 567: 1.3141290163070275e-06
Position 519: 1.019240455657624e-06
Position 780: 5.923186595515686e-07
Position 799: 5.842824757330092e-07
Position 1115: 4.872680327462911e-07
Position 1045: 4.640301796139825e-07
Position 775: 4.132378662419204e-07
Position 149: 2.8584297192805594e-07
Position 256: 2.772260776622305e-07
Position 332: 2.3174273728312737e-07
Position 122: 1.8485859605433213e-07
Position 132: 1.55767772138031e-07
Position 1156: 1.3532066903734946e-07
Position 371: 8.297838370092245e-08
Position 1022: 3.232399918605014e-08
Position 1151: 2.763358148736402e-08
Position 823: 1.1438840374359698e-08
Position 152: 7.26756372953492e-09
Position 202: 5.665584203671131e-09
Position 521: 2.8833394604083218e-09
Position 1078: 1.0557532468954876e-09
Position 657: 6.923763489138128e-10
Position 897: 4.669921894348597e-10
Position 960: 5.076288842443321e-11
Position 1002: 5.1230052271013494e-12
Position 1024: 1.1468255754192185e-16
