Gene = RpL36A
index = 1443
Annotated 5SS: [ 87 470]
Annotated 3SS: [295 783]
SMsplice 5SS: [ 87 218 470]
SMsplice 3SS: [155 295 783]
Partition function (log Z): -1.6960493926849527

Sorted 5' Splice Sites (High to Low Probability):
Position 470: 0.9784164643419839
Position 218: 0.7670931020131727
Position 87: 0.7343088988102707
Position 441: 0.006626172492566081
Position 228: 0.003853557867949925
Position 222: 0.0025001304603345944
Position 246: 0.0011256607308653887
Position 965: 0.0006362993079094081
Position 968: 0.0003878476506179648
Position 884: 0.0003332839773756697
Position 93: 0.0002621812361347927
Position 48: 0.00026077719122075853
Position 611: 0.0001727976948276688
Position 359: 0.0001618163675101821
Position 190: 0.0001019385434835074
Position 268: 7.752158983250691e-05
Position 296: 7.560626329679975e-05
Position 432: 6.276785399466393e-05
Position 652: 5.770520058836798e-05
Position 140: 5.209001086237802e-05
Position 283: 4.3199932744992705e-05
Position 106: 2.313474364473539e-05
Position 569: 2.1883532305199976e-05
Position 474: 1.9010542487697134e-05
Position 123: 1.8000010958887532e-05
Position 408: 9.554308633468534e-06
Position 860: 9.210979743646369e-06
Position 975: 8.28269521242111e-06
Position 915: 5.538393304870434e-06
Position 671: 5.495199507835098e-06
Position 248: 4.140637716342257e-06
Position 486: 3.97688085093407e-06
Position 745: 3.701381116494489e-06
Position 367: 3.6816865692525934e-06
Position 376: 2.953875946141401e-06
Position 187: 2.825424080019076e-06
Position 640: 2.624669780780488e-06
Position 674: 1.8042883916015157e-06
Position 341: 1.6659984912540817e-06
Position 660: 1.6488391433752813e-06
Position 812: 1.310407327879177e-06
Position 411: 1.0120105304115126e-06
Position 302: 9.576088207534542e-07
Position 624: 4.0078746404358005e-07
Position 591: 3.30728929676133e-07
Position 334: 2.961425813311616e-07
Position 285: 1.4330390171839697e-07
Position 676: 8.95924629570901e-08
Position 805: 7.116785710453865e-08
Position 766: 6.77737408653256e-08
Position 978: 4.3767489085971877e-08
Position 819: 2.2624750151730566e-08
Position 828: 1.9434874324494462e-08
Position 287: 1.546290128710315e-08
Position 643: 4.100455766851842e-09
Position 986: 1.7141347371735412e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 783: 0.9811322933367401
Position 295: 0.9084909366250857
Position 155: 0.30930280406313415
Position 140: 0.28736175054533314
Position 1025: 0.0036834713167908082
Position 846: 0.0023030072414149047
Position 184: 0.0008441167052453488
Position 543: 0.0007231480177338842
Position 789: 0.0006494459262407805
Position 331: 0.00045697346670650407
Position 572: 0.00044078290417408236
Position 334: 0.0003703353676691484
Position 843: 0.00025243898967778803
Position 630: 0.00024287159305883666
Position 858: 9.714332294574861e-05
Position 665: 8.642979217452691e-05
Position 766: 8.065914029958032e-05
Position 340: 5.7025257151650184e-05
Position 714: 3.410007999797407e-05
Position 801: 3.094434698121348e-05
Position 187: 1.7559368539902296e-05
Position 798: 1.6330149290589993e-05
Position 349: 1.294291861092574e-05
Position 367: 1.2604877929136212e-05
Position 260: 1.109794666905436e-05
Position 965: 1.0478134084238348e-05
Position 867: 9.303707963898906e-06
Position 358: 7.202827746491935e-06
Position 462: 5.985752367754689e-06
Position 376: 4.96288571417153e-06
Position 828: 3.0339218232762957e-06
Position 420: 3.005629903243979e-06
Position 1032: 1.3920108352013725e-06
Position 373: 1.3599095118336712e-06
Position 157: 1.0842588284805365e-06
Position 385: 1.0655134369355473e-06
Position 921: 9.44417583528469e-07
Position 430: 7.492011883075746e-07
Position 819: 3.65052732409385e-07
Position 906: 3.1141478449058586e-07
Position 382: 2.724653815288647e-07
Position 427: 1.8982448869420334e-07
Position 405: 1.7555683731955422e-07
Position 466: 1.0792328706344028e-07
Position 876: 1.0116561678152239e-07
Position 400: 9.152737812042821e-08
Position 218: 8.822726247667196e-08
Position 391: 8.001910858329462e-08
Position 445: 4.922210314218989e-08
Position 894: 2.801453608205868e-08
Position 915: 2.7808351743898215e-08
Position 440: 1.8989757334712268e-08
Position 91: 1.8040898833090044e-08
Position 451: 1.4501044771453234e-08
Position 596: 9.226737251932384e-09
Position 891: 8.706737837066574e-09
Position 900: 5.165197444617395e-10
Position 469: 3.8889615365774364e-10
Position 474: 1.7672523992061337e-10
Position 395: 1.3879687425855104e-11
