Gene = eIF3e
index = 1684
Annotated 5SS: [198 685]
Annotated 3SS: [291 770]
SMsplice 5SS: [198 685]
SMsplice 3SS: [291 770]
Partition function (log Z): -3.1916154261540908

Sorted 5' Splice Sites (High to Low Probability):
Position 685: 0.9905235832084762
Position 198: 0.6633103767621183
Position 506: 0.13295961628633612
Position 68: 0.041468258157588436
Position 929: 0.027044849036552823
Position 218: 0.00757697790305371
Position 91: 0.0036563464516216437
Position 689: 0.002399582702529269
Position 247: 0.002326342492617457
Position 1262: 0.0019265183135041908
Position 232: 0.001580373341756394
Position 1001: 0.0015791224846147512
Position 466: 0.0014637562783699953
Position 80: 0.0009833744593023448
Position 45: 0.0006862028864870592
Position 939: 0.0006020451019083443
Position 1166: 0.0005173717234108353
Position 1107: 0.0003361066868680043
Position 989: 0.0003166378176845685
Position 568: 0.00022817749296348254
Position 185: 0.00022561524547817536
Position 334: 0.0002090366152661726
Position 240: 0.00014095327696225343
Position 1221: 6.973742925075186e-05
Position 933: 6.891157021452903e-05
Position 1162: 5.0120423777864086e-05
Position 1528: 4.534795018659706e-05
Position 1586: 4.3544888828763555e-05
Position 648: 3.990367042259564e-05
Position 603: 3.834719126681068e-05
Position 433: 3.069164701056266e-05
Position 1059: 2.7402518427322904e-05
Position 29: 2.6381127220061922e-05
Position 1130: 2.1017349768542345e-05
Position 853: 1.9031294501463602e-05
Position 66: 1.7791971574979906e-05
Position 318: 1.6151127155624e-05
Position 615: 1.5724232749142076e-05
Position 1266: 1.391051252800079e-05
Position 983: 1.3382811656636546e-05
Position 274: 1.2702393459144012e-05
Position 380: 1.1554903746301378e-05
Position 1042: 1.1317925308621456e-05
Position 1595: 7.442658087467036e-06
Position 179: 6.62289330763165e-06
Position 1027: 6.304623105720845e-06
Position 1124: 5.180676320779658e-06
Position 276: 4.373902455427179e-06
Position 1405: 4.030875397865593e-06
Position 1383: 3.787211816656901e-06
Position 664: 3.677448361376608e-06
Position 415: 3.5569194808032076e-06
Position 1245: 2.866922422992654e-06
Position 1170: 2.595192675263201e-06
Position 1062: 1.8966896164944398e-06
Position 1121: 1.4175997127550784e-06
Position 1151: 1.3479491823245182e-06
Position 1621: 1.335061441598164e-06
Position 633: 8.819085222104142e-07
Position 535: 6.535262867484884e-07
Position 1025: 5.604160397206434e-07
Position 1195: 4.730771051078225e-07
Position 285: 3.284051415559722e-07
Position 1511: 3.2641323167739776e-07
Position 1316: 3.139432914858654e-07
Position 1373: 2.636551050718861e-07
Position 143: 2.61767536783576e-07
Position 1443: 2.509796102427386e-07
Position 1568: 2.2941840649946188e-07
Position 1160: 1.5685472199881212e-07
Position 1440: 1.4686254078829837e-07
Position 14: 1.2877196464559296e-07
Position 1211: 1.2588459763346393e-07
Position 788: 1.239147486880863e-07
Position 1482: 8.102179800098158e-08
Position 783: 4.965872810602633e-08
Position 669: 2.5581871741930828e-08
Position 1435: 2.334992945326303e-08
Position 1465: 7.079005486932547e-09
Position 1502: 1.199228608912213e-10
Position 753: 4.337609008774435e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9926358410331183
Position 291: 0.7001102326801801
Position 567: 0.11471039765836792
Position 1019: 0.019921233866747594
Position 549: 0.011198922024308887
Position 143: 0.009606770289764869
Position 1062: 0.008189005814344247
Position 154: 0.008122760464499537
Position 552: 0.005669206415828263
Position 1316: 0.004265507355183918
Position 1118: 0.0008219490861828864
Position 797: 0.0007950567158321989
Position 995: 0.0006395683149474001
Position 1094: 0.0005433390671567646
Position 1475: 0.0005330801774467027
Position 330: 0.00046203990527166495
Position 886: 0.00039701841338051565
Position 306: 0.00032070250520519763
Position 396: 0.0003169165425945908
Position 392: 0.0003098049457998572
Position 630: 0.00030496371691877847
Position 594: 0.0002896206541188107
Position 959: 0.00025630097138631654
Position 1106: 0.00021991490273504281
Position 453: 0.0002037429869099832
Position 736: 0.00018065431561496012
Position 303: 0.000176636413410203
Position 1418: 0.0001711583486597112
Position 1478: 0.0001644666103711214
Position 1187: 0.00016380603274528428
Position 1330: 0.00015930978019622978
Position 1664: 0.00013175134983247193
Position 309: 0.00011016353597479246
Position 378: 7.584633335261711e-05
Position 905: 6.249877590888506e-05
Position 528: 4.478921826969371e-05
Position 1160: 3.9277809921545084e-05
Position 1457: 3.626232112374119e-05
Position 342: 3.587754343419887e-05
Position 501: 3.217393702757936e-05
Position 459: 3.0267840956119428e-05
Position 399: 2.3776539939398802e-05
Position 1373: 1.9767994850464482e-05
Position 91: 1.8991068926626256e-05
Position 1346: 1.8713922932818534e-05
Position 1121: 1.8441678450719784e-05
Position 1295: 1.7672430742151138e-05
Position 582: 1.5733359897545095e-05
Position 896: 1.5669880068434634e-05
Position 1621: 1.4906868133807077e-05
Position 1527: 1.0620670977033986e-05
Position 420: 8.922991370162276e-06
Position 573: 7.124290011363108e-06
Position 197: 6.918445851901857e-06
Position 450: 6.5280632066046985e-06
Position 1358: 6.102568829716192e-06
Position 1367: 5.556063729615394e-06
Position 1595: 4.727837167481653e-06
Position 615: 3.832672588584431e-06
Position 99: 3.7806001695309503e-06
