Gene = TyrRS
index = 1578
Annotated 5SS: [ 699 1128 1514]
Annotated 3SS: [ 760 1189 1572]
SMsplice 5SS: [ 699 1128 1514]
SMsplice 3SS: [ 760 1189 1572]
Partition function (log Z): 5.523036044824751

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9988904830401152
Position 1514: 0.9895820870197162
Position 1128: 0.929644472512913
Position 1132: 0.04489587716594032
Position 866: 0.036475526632974486
Position 1071: 0.017175706086020048
Position 509: 0.013255379677103562
Position 1849: 0.002723149485138618
Position 403: 0.002295075674737462
Position 521: 0.002240993931816151
Position 955: 0.0014608151349153572
Position 590: 0.001077877167887466
Position 340: 0.0007639956772263375
Position 1017: 0.0006697283430601088
Position 1302: 0.0006480855491068001
Position 1046: 0.0004308407409982444
Position 353: 0.00039364818830031666
Position 14: 0.0003821708699593051
Position 838: 0.0003645085896269987
Position 260: 0.00032431579326118405
Position 512: 0.00031135693350044707
Position 1311: 0.00026508704241568116
Position 452: 0.00022876643799756656
Position 1293: 0.00015021765898863334
Position 62: 0.00013324274228606461
Position 646: 0.00011697603929661231
Position 439: 9.58654128518076e-05
Position 367: 8.943531276003918e-05
Position 1497: 8.038205808785721e-05
Position 1691: 6.556796621161224e-05
Position 1063: 6.208570394375393e-05
Position 1305: 5.57650741740779e-05
Position 1403: 5.468489292802901e-05
Position 470: 4.479766453485201e-05
Position 907: 4.314169942617493e-05
Position 313: 3.5359814964093644e-05
Position 580: 3.124732444726342e-05
Position 1873: 3.018642664068401e-05
Position 543: 2.990392369091967e-05
Position 703: 2.908504980560892e-05
Position 1398: 2.3624669799554443e-05
Position 1518: 2.0421364271417477e-05
Position 1227: 1.4680207792623377e-05
Position 558: 1.4488037642850689e-05
Position 658: 1.1307026326457814e-05
Position 1344: 9.024637515095487e-06
Position 223: 8.837358101551913e-06
Position 316: 7.64618088185956e-06
Position 271: 7.324107448673755e-06
Position 526: 6.2907827333270055e-06
Position 407: 5.378091824715198e-06
Position 1318: 4.798684453073027e-06
Position 606: 4.168351800058618e-06
Position 473: 3.995556835231459e-06
Position 1586: 3.0969897713205965e-06
Position 1502: 3.012581394887942e-06
Position 1847: 2.634157680998751e-06
Position 1443: 2.2557546481553085e-06
Position 1484: 2.1242157306459766e-06
Position 1175: 2.0749450941349524e-06
Position 383: 1.9246903189343983e-06
Position 1653: 1.2071749553876871e-06
Position 1437: 1.183321893463153e-06
Position 916: 1.0956727318410339e-06
Position 215: 1.0703122970874197e-06
Position 1742: 9.34647797724809e-07
Position 1589: 9.078207746784124e-07
Position 611: 9.041984740443651e-07
Position 1693: 6.208484423136052e-07
Position 1601: 5.791059478407163e-07
Position 930: 5.214453006944773e-07
Position 430: 4.769413723232344e-07
Position 900: 4.2750957142832844e-07
Position 1390: 3.2199492208586897e-07
Position 1158: 2.0764958062138898e-07
Position 921: 2.0615160723720518e-07
Position 1744: 1.9610356978416663e-07
Position 1629: 1.473962229551436e-07
Position 203: 1.1565795119155183e-07
Position 985: 8.955851000461823e-08
Position 776: 4.405213059545791e-08
Position 1463: 1.8053439840587805e-08
Position 786: 4.672442620291072e-09
Position 1198: 1.307125144176339e-09
Position 1179: 9.999807662147905e-10
Position 1407: 1.9442310152004823e-10
Position 760: 1.587663850297175e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 760: 0.9985596311428495
Position 1189: 0.9965378844976395
Position 1572: 0.9885143358013889
Position 936: 0.03388774680956733
Position 565: 0.018619944777257456
Position 1921: 0.002197184442927377
Position 641: 0.0014535140557318603
Position 1942: 0.0008434389998594888
Position 460: 0.0005631293979687654
Position 1226: 0.0005435466151170938
Position 1356: 0.0004847359167358712
Position 1653: 0.0004133436264262399
Position 1352: 0.00035795449466604723
Position 80: 0.00033733461202981464
Position 1720: 0.0003304844065377251
Position 912: 0.0003050673493926051
Position 1390: 0.0001565505860314809
Position 465: 0.00013200031014192276
Position 1687: 0.00012971740986486173
Position 112: 0.00012076946119125907
Position 1120: 0.00011326808642153516
Position 783: 0.00010957145784466292
Position 1460: 8.958995376532771e-05
Position 1005: 8.388640788301788e-05
Position 940: 7.36468694548499e-05
Position 1090: 7.051651561040883e-05
Position 352: 5.394712645435415e-05
Position 1610: 5.3498673060889874e-05
Position 1629: 5.200820000489442e-05
Position 427: 5.084020451211636e-05
Position 1017: 4.871648432935666e-05
Position 1378: 4.430378756983267e-05
Position 646: 3.709908895345517e-05
Position 115: 3.5535127584205995e-05
Position 619: 3.244242833834666e-05
Position 1403: 3.192608905989433e-05
Position 723: 3.090627097953423e-05
Position 580: 2.6745590793647116e-05
Position 307: 2.593866443337162e-05
Position 1418: 2.255478336179325e-05
Position 412: 2.1346894714810688e-05
Position 328: 2.1113095466997137e-05
Position 1014: 1.9499107699370852e-05
Position 493: 1.5965353018770395e-05
Position 1690: 1.4926552454551572e-05
Position 496: 1.4077757550174452e-05
Position 1684: 1.1816240699718647e-05
Position 1672: 1.0043221995557233e-05
Position 520: 7.853747943886864e-06
Position 439: 7.5875486844278e-06
Position 1128: 7.24711474079427e-06
Position 1232: 6.492311880934941e-06
Position 1885: 5.698547175136642e-06
Position 1728: 5.292429594118868e-06
Position 658: 5.09162774797299e-06
Position 85: 4.46647745030043e-06
Position 946: 4.316398754829229e-06
Position 1301: 3.908083020974395e-06
Position 810: 3.8072353416807302e-06
Position 1750: 3.474138170845244e-06
Position 394: 3.11181397239924e-06
Position 506: 3.1004879140585217e-06
Position 1104: 3.0030629677054244e-06
Position 843: 2.8055922901400006e-06
Position 643: 2.7813526052534226e-06
Position 403: 2.759985964874428e-06
Position 1421: 2.5761796403841344e-06
Position 1774: 2.433713058178913e-06
Position 966: 2.3842728533048458e-06
Position 247: 2.1924576474081377e-06
Position 801: 2.096547995036908e-06
Position 1056: 1.7801291270530577e-06
Position 436: 1.7410385733083249e-06
Position 340: 1.6712900405981838e-06
Position 589: 1.5578791149526448e-06
Position 1866: 1.5499431869243204e-06
Position 798: 1.2937956445605034e-06
Position 846: 1.0639805561669276e-06
Position 1257: 1.0243607230040948e-06
Position 1236: 8.041477065698658e-07
Position 1239: 7.678883363873601e-07
Position 361: 7.64735998507203e-07
Position 1071: 7.004735022552806e-07
Position 508: 6.987329671956423e-07
Position 417: 6.91374913178936e-07
Position 82: 4.846740825108864e-07
Position 739: 4.840366147149217e-07
Position 954: 2.955848343975738e-07
Position 1469: 2.8912436014583337e-07
Position 251: 2.6247589819249433e-07
Position 849: 2.095648306261412e-07
Position 1791: 1.927646907483197e-07
Position 1326: 1.8733606771322944e-07
Position 229: 1.3144185956164358e-07
Position 1415: 1.1733316596129593e-07
Position 1068: 1.0640959080615067e-07
Position 133: 9.470726035556893e-08
Position 1029: 7.968414753438731e-08
Position 526: 7.92985426770081e-08
Position 1783: 7.584981837811926e-08
Position 1198: 7.363363678449507e-08
Position 1266: 6.40114417283406e-08
Position 972: 5.8169902794579604e-08
Position 1430: 5.506288923673739e-08
Position 673: 5.491296922048861e-08
Position 1158: 4.553500165940708e-08
Position 1669: 4.090723938104628e-08
Position 1795: 3.133053119087285e-08
Position 1367: 2.698825793788234e-08
Position 858: 2.3308909899908256e-08
Position 625: 1.613800671970429e-08
Position 1514: 1.5993742935935197e-08
Position 166: 1.5735929471832573e-08
Position 577: 8.737560342268174e-09
Position 1490: 7.967432714737867e-09
Position 1645: 7.213422471384701e-09
Position 1531: 5.578326632507416e-09
Position 142: 2.27112446394776e-09
Position 855: 1.8943670490447535e-09
Position 89: 7.428791368505425e-10
Position 260: 5.017952421111332e-10
Position 1699: 4.578062557067397e-10
Position 1594: 3.160930509146957e-10
Position 196: 1.5935335504445463e-10
Position 1310: 1.442865042147118e-10
Position 372: 1.430615645787678e-10
Position 1844: 3.94980546035449e-12
Position 703: 3.873656802243803e-12
Position 870: 2.852114224951601e-12
Position 154: 2.7739142128685787e-12
Position 1518: 1.736427315012888e-12
