Gene = ldbr
index = 1757
Annotated 5SS: [289]
Annotated 3SS: [343]
SMsplice 5SS: [289]
SMsplice 3SS: [343]
Partition function (log Z): -4.622841408919978

Sorted 5' Splice Sites (High to Low Probability):
Position 289: 0.9963116284913237
Position 939: 0.19940541534677403
Position 1047: 0.04283940152041227
Position 167: 0.02857203974418867
Position 489: 0.019001585040049895
Position 34: 0.009926137736437773
Position 439: 0.005787142331694564
Position 444: 0.0030539343520426428
Position 1041: 0.002784648925810387
Position 1344: 0.0019937176842500424
Position 14: 0.001856311008456706
Position 763: 0.001783336736568328
Position 55: 0.001718276783885604
Position 836: 0.0016993483747738019
Position 1497: 0.0013673702360060326
Position 603: 0.001285612573322446
Position 812: 0.0012607918340024993
Position 21: 0.001211726342792731
Position 1038: 0.0010077770687473315
Position 496: 0.000877677293779408
Position 1325: 0.0008288236243728749
Position 569: 0.0007705963150326974
Position 43: 0.0006898319183033996
Position 618: 0.0006184617231931027
Position 69: 0.0006040465220359636
Position 1443: 0.000586743247855432
Position 1387: 0.0005733110792653414
Position 323: 0.0003355672992102644
Position 293: 0.0003159909644162082
Position 849: 0.00030692820558277144
Position 262: 0.00026663464818780017
Position 992: 0.00023659796238598054
Position 469: 0.00021694546587791303
Position 532: 0.00019485173562497216
Position 957: 0.0001903782027087327
Position 1117: 0.00018610436735674727
Position 782: 0.00018583965549798042
Position 72: 0.00017539729094350078
Position 498: 0.00013458783993203053
Position 594: 0.00013021204046167052
Position 1307: 0.00010650516909742345
Position 1480: 0.00010493424059500903
Position 363: 0.00010488769723566604
Position 1509: 8.929416748725835e-05
Position 648: 6.867249419723248e-05
Position 483: 5.0792827488253914e-05
Position 1054: 5.043590528712573e-05
Position 910: 4.82829113988555e-05
Position 274: 3.7116057198379295e-05
Position 1241: 3.3924370193614786e-05
Position 480: 3.30854336554665e-05
Position 1137: 2.5046375873312158e-05
Position 1097: 2.4775091318098048e-05
Position 592: 2.414145354499942e-05
Position 1524: 1.8036100066268844e-05
Position 1281: 1.726594510348033e-05
Position 1230: 1.6425539086820447e-05
Position 1257: 1.3502656150478485e-05
Position 1602: 1.2891467421267994e-05
Position 795: 1.26244190200839e-05
Position 584: 1.2003575201144543e-05
Position 190: 1.0978188910769671e-05
Position 1021: 8.211595346054685e-06
Position 1329: 8.179453216293543e-06
Position 984: 7.392567245586311e-06
Position 251: 7.385043655643418e-06
Position 298: 6.313857709961986e-06
Position 1181: 6.288848946515375e-06
Position 1662: 5.698168810239105e-06
Position 1024: 4.717010979707299e-06
Position 1403: 2.7769799763063363e-06
Position 196: 2.634908316397997e-06
Position 1410: 2.277590608993813e-06
Position 586: 1.8939994777041784e-06
Position 662: 1.6380446348747144e-06
Position 1698: 1.2970037248409578e-06
Position 1415: 4.80161529323545e-07
Position 1375: 3.8149433570740164e-07
Position 978: 3.6186260386865013e-07
Position 352: 2.76199389245144e-07
Position 372: 1.5533033391009695e-07
Position 311: 1.506089571554314e-07
Position 114: 1.4013791614606013e-07
Position 214: 1.3647057794393755e-07
Position 1370: 1.0936337200857421e-07
Position 104: 9.819379809727418e-08
Position 1680: 5.552376428402481e-08
Position 201: 2.168833610438179e-08
Position 1690: 6.23911819684751e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 343: 0.9742798563672418
Position 1137: 0.15563320836104555
Position 1563: 0.06210861991806523
Position 992: 0.03178659003809356
Position 214: 0.026014803601128983
Position 741: 0.023771643809787326
Position 101: 0.014802494902930275
Position 352: 0.007172501133271738
Position 901: 0.006298975108790245
Position 904: 0.00629133057774634
Position 1117: 0.0031596989953254274
Position 1608: 0.002636302514965223
Position 507: 0.001730474072658158
Position 1215: 0.001551029008388515
Position 1361: 0.0015212656388114516
Position 241: 0.0013552120518064822
Position 1218: 0.001296824696852267
Position 1410: 0.0009107928913044193
Position 1247: 0.0007619363512245831
Position 1392: 0.0007582117270755399
Position 1431: 0.0006728504383472143
Position 1172: 0.0006624393824204715
Position 152: 0.00065399906438529
Position 422: 0.0006008754606006593
Position 865: 0.0005028361822834043
Position 592: 0.0004236867682055402
Position 1307: 0.00041440836392433745
Position 1540: 0.00037947105902342567
Position 1068: 0.000362549174537207
Position 1095: 0.0003266268316490531
Position 1142: 0.00032650318482541605
Position 907: 0.0003147750684113476
Position 1343: 0.0002542469537297537
Position 1038: 0.0002541653253535155
Position 110: 0.00024309938674385272
Position 1044: 0.00023311545136096894
Position 1581: 0.00022628390849860588
Position 1578: 0.00015651519624290043
Position 704: 0.00015009055412423035
Position 72: 0.00014543676351505365
Position 530: 0.00014409552995538606
Position 1665: 0.00012745767755683316
Position 1281: 0.00012138311728894468
Position 611: 0.0001176471329622411
Position 69: 6.345481713359118e-05
Position 1304: 5.981953324823884e-05
Position 836: 5.5501673790332545e-05
Position 166: 3.813764203662877e-05
Position 1493: 3.3006951848973734e-05
Position 1241: 3.059731393691841e-05
Position 1224: 2.6826647099902122e-05
Position 648: 2.4607190648965317e-05
Position 1287: 2.2398344958528398e-05
Position 1480: 2.2330159328468372e-05
Position 1712: 1.7592745123858916e-05
Position 1257: 1.7378280636143934e-05
Position 1724: 1.6280350180472052e-05
Position 1054: 1.595677241357794e-05
Position 1188: 1.5859810522288793e-05
Position 1463: 1.5411804870030327e-05
Position 1773: 1.2768677998249806e-05
Position 1319: 1.1715868020510167e-05
Position 1363: 1.1117111771599817e-05
Position 615: 1.1114457770981775e-05
Position 425: 9.695515432742063e-06
Position 1104: 9.192613111370673e-06
Position 869: 8.989807350998575e-06
Position 722: 8.07958383989948e-06
Position 910: 8.01655712632919e-06
Position 1145: 6.976773556097477e-06
Position 1690: 5.864242351657031e-06
Position 289: 3.8459117045613795e-06
Position 232: 3.7009163839201148e-06
Position 1644: 3.520360030233888e-06
Position 1227: 2.99162112760374e-06
Position 1487: 2.7588075165132786e-06
Position 1230: 2.5662092892602727e-06
Position 366: 2.2240767338563925e-06
Position 372: 2.0929910603803215e-06
Position 1737: 2.086116116956501e-06
Position 1746: 2.0428138578543487e-06
Position 1468: 1.6824844307146991e-06
Position 1265: 1.5528527550879466e-06
Position 404: 1.4171448820952733e-06
Position 262: 1.2890221406499162e-06
Position 127: 1.0986491399054467e-06
Position 181: 7.153512598448822e-07
Position 872: 5.810802524894638e-07
Position 359: 5.572133881786119e-07
Position 259: 5.531685291660241e-07
Position 517: 4.917174099487346e-07
