Gene = Arpc5
index = 28
Annotated 5SS: [290]
Annotated 3SS: [351]
SMsplice 5SS: [290]
SMsplice 3SS: [351]
Partition function (log Z): 1.930467707442454

Sorted 5' Splice Sites (High to Low Probability):
Position 290: 0.9982599334869094
Position 845: 0.42026863988011187
Position 923: 0.039229929055236444
Position 944: 0.007191270709085623
Position 462: 0.001912362326058002
Position 911: 0.0018209491923762988
Position 294: 0.001272521281421718
Position 821: 0.0009755719431178918
Position 813: 0.0004934306993744582
Position 284: 0.00044443167375004356
Position 619: 0.000423965374710581
Position 879: 0.000362491109909244
Position 573: 0.00028950330038190943
Position 550: 0.00024317947887192545
Position 1077: 0.00019652995262982957
Position 30: 0.00017864527687455994
Position 627: 0.0001210993734904463
Position 764: 6.720784829274392e-05
Position 451: 6.596643773927133e-05
Position 855: 5.821944304788198e-05
Position 789: 5.19358226676897e-05
Position 829: 4.49503918806066e-05
Position 562: 3.376006252851187e-05
Position 568: 3.190796235997591e-05
Position 58: 2.7385657351882745e-05
Position 642: 2.3222447671661116e-05
Position 45: 1.878922266892646e-05
Position 888: 1.7308610944139033e-05
Position 10: 1.3404295513069014e-05
Position 161: 1.3334534063418546e-05
Position 379: 1.2545606866523569e-05
Position 243: 1.007657804617959e-05
Position 937: 7.2084327877826855e-06
Position 180: 6.60561552353669e-06
Position 55: 4.50852091710787e-06
Position 396: 4.320556245063334e-06
Position 849: 1.2152256796087432e-06
Position 519: 9.891094462400315e-07
Position 503: 4.726978945047571e-07
Position 127: 1.533882027526342e-07
Position 227: 7.45832594387091e-08
Position 387: 3.883425865154743e-08
Position 119: 3.1467314077866692e-09
Position 91: 1.2455385800688887e-09
Position 310: 5.415943208377445e-10
Position 103: 5.2523875639852e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 351: 0.9998900338132098
Position 1076: 0.2482781360808649
Position 1024: 0.11368669189024216
Position 1119: 0.04322681173517741
Position 944: 0.026618522767660982
Position 980: 0.019559074723060343
Position 1000: 0.014829226829357903
Position 927: 0.0023416107940318516
Position 888: 0.002276446376518658
Position 948: 0.00131946156088306
Position 696: 0.00046933454077115227
Position 898: 0.0004050063960904526
Position 802: 0.000325698231313439
Position 984: 0.00027729647120539107
Position 519: 0.00020733828961938425
Position 96: 0.00019738784943593293
Position 954: 8.269667297237956e-05
Position 844: 7.520852576952669e-05
Position 112: 2.5222210681766917e-05
Position 1035: 2.2871877333322353e-05
Position 217: 1.32948098897282e-05
Position 868: 1.2511581453399193e-05
Position 69: 1.0951537221942085e-05
Position 127: 7.686752396646482e-06
Position 821: 7.335299343452681e-06
Position 543: 5.0536064389818815e-06
Position 531: 4.899738623772685e-06
Position 748: 4.7169393302807955e-06
Position 253: 4.09124658504279e-06
Position 829: 3.981989400834739e-06
Position 503: 3.95487109881116e-06
Position 594: 2.037135563449554e-06
Position 849: 1.5594577163344787e-06
Position 396: 9.696775455863873e-07
Position 625: 9.391015126922362e-07
Position 547: 7.698157937147082e-07
Position 495: 1.8974462973511826e-07
Position 435: 1.7647727750653698e-07
Position 855: 1.606370994770449e-07
Position 462: 1.2856099818073158e-07
Position 414: 1.231093012515102e-07
Position 55: 1.0090021770034291e-07
Position 448: 8.646361205139625e-08
Position 528: 6.259504205735688e-08
Position 704: 4.585536713351074e-08
Position 615: 4.1851900725166556e-08
Position 136: 2.1862859689454425e-08
Position 151: 1.7239846461573844e-08
Position 274: 1.553474538424529e-08
Position 550: 1.3748021034985687e-08
Position 609: 8.299476955889838e-09
Position 196: 7.223559492581905e-09
Position 483: 7.1473181626134835e-09
Position 604: 5.8443079858726235e-09
Position 280: 4.3462710285922225e-09
Position 176: 3.369396471965133e-09
Position 232: 2.6038537951520783e-09
Position 329: 1.738381608575164e-09
Position 680: 1.6665976531169442e-09
Position 627: 1.4334905136826213e-09
Position 243: 1.3989961919756618e-09
Position 596: 5.221301893344039e-10
Position 599: 4.438327906691031e-11
Position 297: 1.8615732806928873e-11
Position 166: 8.816048366081336e-12
Position 289: 6.0681053500267224e-12
Position 1030: 3.7700625073530015e-12
Position 317: 3.4564111154540636e-12
Position 190: 3.346420478556674e-12
Position 192: 5.780923109400549e-17
Position 168: 1.2319221835129479e-17
