Gene = Sfp77F
index = 1494
Annotated 5SS: [98]
Annotated 3SS: [154]
SMsplice 5SS: [98]
SMsplice 3SS: [154]
Partition function (log Z): -5.886517291018822

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.9674232564889191
Position 345: 0.17070393657160246
Position 431: 0.11985114286184893
Position 403: 0.11192256744961486
Position 461: 0.1005121962756898
Position 421: 0.04026453035926445
Position 241: 0.037440356394015786
Position 692: 0.003905304818900796
Position 304: 0.002042828989124714
Position 425: 0.0017221966017102657
Position 824: 0.0012307721010452123
Position 349: 0.0008543988165840442
Position 208: 0.0006067212532076434
Position 245: 0.0005903829588499842
Position 133: 0.0005556442699994746
Position 828: 0.0003515786438680544
Position 753: 0.00033728182642090923
Position 778: 0.00019254988474403116
Position 838: 0.00018907502785029325
Position 265: 0.0001830293673540195
Position 106: 0.00010531718629489037
Position 543: 9.364521229316181e-05
Position 765: 8.843724469785457e-05
Position 916: 8.572040140615709e-05
Position 274: 6.920041223403472e-05
Position 158: 6.628882373094728e-05
Position 28: 4.971379032889009e-05
Position 33: 4.470335591503025e-05
Position 505: 4.117589784853418e-05
Position 854: 2.1142169762776412e-05
Position 154: 1.8446963284414494e-05
Position 407: 1.6541437970020635e-05
Position 224: 1.5178625260913843e-05
Position 465: 1.4853999198895854e-05
Position 435: 1.0973498440116453e-05
Position 206: 1.0448093781156708e-05
Position 508: 1.0207486582684524e-05
Position 613: 8.228185158311357e-06
Position 817: 8.175184328495032e-06
Position 683: 6.542601521807031e-06
Position 782: 4.718513679324806e-06
Position 957: 2.81690693029089e-06
Position 490: 2.45124137362842e-06
Position 780: 1.6807945976406841e-06
Position 775: 1.6670541025906992e-06
Position 31: 1.4023251265238085e-06
Position 962: 1.2461785467019884e-06
Position 986: 1.9727922667492454e-07
Position 952: 1.5525127399856815e-07
Position 920: 1.0130898031784879e-07
Position 927: 1.8638174625303522e-08
Position 479: 1.3190290436638846e-08
Position 1059: 9.944245474985273e-09
Position 1034: 6.2478388943998225e-09
Position 5: 1.2696597846568786e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 154: 0.9451327298770672
Position 525: 0.4960994315793518
Position 622: 0.03659876442485001
Position 494: 0.03279222588493324
Position 809: 0.014243855040318443
Position 673: 0.011276665930582738
Position 185: 0.005973950572779875
Position 403: 0.0031586181191105155
Position 911: 0.0028159034930312636
Position 236: 0.00275862659937291
Position 583: 0.00262320469400178
Position 503: 0.0012871417624148941
Position 765: 0.0008993556333156606
Position 530: 0.0008802559854383945
Position 854: 0.0007921618495658557
Position 216: 0.0004975856905307043
Position 546: 0.0004888664926104577
Position 658: 0.0004742168027779753
Position 1083: 0.0004428849646440716
Position 1072: 0.00036367120510396277
Position 431: 0.0003578627081832343
Position 508: 0.0003319680375903798
Position 557: 0.0003257835370047908
Position 265: 0.0001985203975814156
Position 319: 0.00013871919219523101
Position 162: 0.0001261776722955235
Position 286: 0.00012380726303998102
Position 1132: 0.00010321072984046978
Position 1046: 8.740674053133228e-05
Position 329: 8.413678106442959e-05
Position 641: 5.2830312987740394e-05
Position 368: 4.580765138444363e-05
Position 303: 2.8877987459505882e-05
Position 980: 2.7111415680751036e-05
Position 1043: 1.812380323246519e-05
Position 916: 7.030270531152087e-06
Position 691: 5.03842468416379e-06
Position 241: 4.000561094487615e-06
Position 645: 3.5331073040969496e-06
Position 244: 2.814387711582911e-06
Position 708: 1.8544129808502767e-06
Position 711: 1.4301946372547276e-06
Position 539: 1.3573748018911296e-06
Position 75: 1.174605078332344e-06
Position 994: 8.522571493666936e-07
Position 688: 7.832558663161036e-07
Position 831: 2.4720704451034156e-07
Position 336: 1.623019301395117e-07
Position 705: 1.4467927143512876e-07
Position 714: 9.008303168743625e-08
Position 817: 6.720190989834548e-08
Position 133: 4.536816331706964e-08
Position 505: 3.2893185109904144e-08
Position 717: 2.135799555601994e-08
Position 102: 1.5311783193501737e-08
Position 723: 1.184400564551929e-08
Position 90: 7.886783761763864e-09
Position 1059: 1.2494951292865376e-09
Position 824: 2.937036493840055e-10
Position 986: 1.9529953967989388e-10
Position 49: 7.732172375565833e-11
Position 683: 2.0008113046134903e-11
Position 53: 1.1505677501072296e-11
Position 59: 8.247069748437623e-12
Position 726: 2.2503660675403386e-13
Position 734: 7.788996727177153e-14
