Gene = ppl
index = 1847
Annotated 5SS: [322 656]
Annotated 3SS: [376 716]
SMsplice 5SS: [322 656]
SMsplice 3SS: [376 716]
Partition function (log Z): 1.9777130617934469

Sorted 5' Splice Sites (High to Low Probability):
Position 656: 0.9915719372994584
Position 322: 0.9853693908954062
Position 589: 0.006855851614716137
Position 103: 0.0018025805204731152
Position 105: 0.0009187557637896797
Position 804: 0.0008447955100032384
Position 153: 0.0005708991563595886
Position 871: 0.00038392144574051623
Position 577: 0.0003838301278998073
Position 98: 0.0003213404874423432
Position 436: 0.0001649925044658429
Position 565: 0.00015802498433897992
Position 877: 9.076196991493252e-05
Position 530: 6.490849343488954e-05
Position 47: 6.299314411893025e-05
Position 610: 5.2846999636140766e-05
Position 781: 3.687817961604859e-05
Position 667: 3.312638452707523e-05
Position 402: 3.246879993078657e-05
Position 24: 2.6710617917423907e-05
Position 412: 1.5925907696509326e-05
Position 547: 1.1284658001436663e-05
Position 855: 1.0860685171586817e-05
Position 107: 8.767563763258464e-06
Position 641: 8.683914180732128e-06
Position 207: 8.607177685966998e-06
Position 415: 6.014013290802548e-06
Position 14: 3.2567463724425702e-06
Position 567: 2.5636048882874506e-06
Position 731: 2.0039455548065857e-06
Position 631: 1.9699654658836554e-06
Position 363: 1.487252699781062e-06
Position 109: 1.316800534887803e-06
Position 475: 8.552104031255633e-07
Position 333: 5.289622572453337e-07
Position 186: 3.50557115708525e-07
Position 887: 3.3089993678103464e-07
Position 177: 3.2139598037135437e-07
Position 406: 1.85042038000434e-07
Position 581: 1.3213464408694083e-07
Position 478: 1.121717796479162e-07
Position 480: 6.389003741462304e-08
Position 4: 5.189779151047354e-08
Position 259: 3.441243745502251e-08
Position 279: 2.6715640775105447e-08
Position 261: 1.532913223907413e-08
Position 129: 3.580941595302326e-09
Position 700: 2.640712576535349e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.997787512019471
Position 376: 0.983847717080708
Position 177: 0.0030065856744389027
Position 730: 0.0015924871361149603
Position 858: 0.000787108989072255
Position 496: 0.0005661656510560834
Position 229: 0.0004930764833904697
Position 962: 0.0004874696044755887
Position 425: 0.00038928631805323774
Position 459: 0.00023943060540026866
Position 449: 9.214165568729524e-05
Position 439: 6.609037236531431e-05
Position 638: 6.427943941964325e-05
Position 581: 5.590467845897031e-05
Position 894: 5.539594015529844e-05
Position 101: 5.0279923269918774e-05
Position 242: 4.5303049702687505e-05
Position 881: 4.200385430159095e-05
Position 402: 2.577093994983503e-05
Position 986: 2.2617928786165135e-05
Position 436: 1.7387324929821183e-05
Position 641: 1.2309380038232482e-05
Position 588: 1.1898054537763942e-05
Position 284: 1.1886017293324185e-05
Position 654: 1.0887665196868602e-05
Position 516: 9.777107517602114e-06
Position 844: 7.630239145715244e-06
Position 742: 5.287061913648207e-06
Position 519: 4.641237093837163e-06
Position 345: 3.84111974959661e-06
Position 801: 3.6186302387698036e-06
Position 254: 3.4580801325425105e-06
Position 751: 3.442021081884543e-06
Position 609: 3.110729741953259e-06
Position 259: 2.0948705551312936e-06
Position 631: 8.489458918302007e-07
Position 600: 7.966211651264563e-07
Position 462: 5.463865033889652e-07
Position 651: 5.375685260350819e-07
Position 871: 3.445145113656304e-07
Position 315: 3.3307000241959377e-07
Position 781: 2.799652457187159e-07
Position 411: 2.1961205261316635e-07
Position 660: 1.8697244067270147e-07
Position 761: 1.658710769133687e-07
Position 804: 1.503424802234632e-07
Position 307: 1.4842226814260668e-07
Position 553: 1.0463043839478881e-07
Position 543: 7.812010143244473e-08
Position 672: 7.758912134519206e-08
Position 560: 2.01658104303314e-08
Position 615: 1.179151356520602e-08
Position 826: 8.943507900401074e-09
Position 788: 3.6747989186341738e-09
Position 321: 3.12187939148436e-09
Position 54: 2.707502253557531e-09
Position 326: 2.602749267512884e-09
Position 775: 1.4422105427451908e-09
Position 823: 1.0023024151443987e-09
Position 564: 5.406591978693824e-10
Position 817: 4.665874582026527e-10
Position 798: 5.549560022824013e-13
Position 545: 1.2962540043916228e-15
