gene,5ss,3ss,PSI,index,prob,classification
AT2G29640,598,869,100.0,310,7.29793198047745e-05,RI
AT2G29640,84,173,,310,0.7646626706099898,non-RI
AT2G29640,1157,1702,,310,0.0025942013842871455,non-RI
AT2G29640,1016,1119,100.0,310,0.1959721191123736,RI
AT2G30370,1134,1586,100.0,318,0.38421933636529865,RI
AT2G30370,648,957,100.0,318,0.030230102178211527,RI
AT2G30370,420,554,,318,0.7460342988690268,non-RI
AT2G31340,254,340,,338,0.7509735456915044,non-RI
AT2G31340,970,1104,,338,0.2859118621168304,non-RI
AT2G31340,1266,1540,,338,0.8693175160547463,non-RI
AT2G31340,1602,1794,,338,0.5209641162406621,non-RI
AT2G31340,1861,2047,100.0,338,0.25692551969185773,RI
AT2G31340,2134,2234,,338,0.5749289769658649,non-RI
AT2G31340,2299,2376,,338,0.9742047726328734,non-RI
AT2G31340,2590,2709,,338,0.37972291553809123,non-RI
AT2G31340,2776,2856,,338,0.9723757897689843,non-RI
AT2G31340,2937,3019,,338,0.9573681960330459,non-RI
AT2G31340,3146,3360,,338,0.3604363572859722,non-RI
AT2G37920,1008,1101,100.0,435,0.09137467542498198,RI
AT4G11720,219,320,100.0,708,0.7001124861348229,RI
AT4G11720,3057,3134,,708,0.6291048660150167,non-RI
AT4G11720,2042,2109,,708,0.9701653278265353,non-RI
AT4G11720,1855,1940,,708,0.26446391503653344,non-RI
AT4G11720,1700,1773,,708,0.1766205705147048,non-RI
AT4G11720,1431,1501,,708,0.3328512123556067,non-RI
AT4G11720,2880,2955,,708,0.9202543789785824,non-RI
AT4G11720,2678,2760,,708,0.8702482095339981,non-RI
AT4G11720,2335,2408,,708,0.7014427486334578,non-RI
AT4G11720,1216,1295,,708,0.9026159918940952,non-RI
AT4G11720,1063,1136,,708,0.28674637790266794,non-RI
AT4G11720,923,1001,,708,0.8500486483632085,non-RI
AT4G11720,632,824,,708,0.8315814536074411,non-RI
AT4G11720,2503,2588,,708,0.9859254707362689,non-RI
AT4G11720,465,542,,708,0.9806810481110695,non-RI
AT4G11720,2228,2301,,708,0.6663801280224649,non-RI
AT4G12610,1579,1755,,724,0.490343859543971,non-RI
AT4G12610,2723,3257,100.0,724,0.31212190820087077,RI
AT4G12610,2528,2633,,724,0.901895396681762,non-RI
AT4G12610,1888,1996,,724,0.8854991967280909,non-RI
AT4G12610,2210,2302,,724,0.8896782057985555,non-RI
AT4G12610,73,198,,724,0.47648865619598446,non-RI
AT4G12610,639,720,,724,0.9806329976297621,non-RI
AT4G12610,1323,1459,,724,0.9765984796963492,non-RI
AT4G12610,402,485,,724,0.955881570173685,non-RI
AT4G12610,867,942,,724,0.8417874278465066,non-RI
AT4G17570,2849,2933,,809,0.9192577355127797,non-RI
AT4G17570,2162,2275,,809,0.7005850994879222,non-RI
AT4G17570,2380,2462,,809,0.8833513939200384,non-RI
AT4G17570,2653,2727,,809,0.10082258571405059,non-RI
AT4G17570,1515,1594,,809,0.5470374083000418,non-RI
AT4G17570,1995,2088,,809,0.9710857631601362,non-RI
AT4G17570,930,1133,100.0,809,0.010368779734937402,RI
AT4G17570,336,852,100.0,809,0.00055626604700238,RI
AT4G18270,342,500,,816,0.21123881797006247,non-RI
AT4G18270,2472,2560,,816,0.943496575284029,non-RI
AT4G18270,2127,2262,,816,0.17132146533071266,non-RI
AT4G18270,1725,1932,100.0,816,0.19685178386431954,RI
AT4G18270,1575,1659,,816,0.6259802563854765,non-RI
AT4G18270,832,1129,,816,,non-RI
AT4G18270,558,673,,816,0.9319164015334315,non-RI
AT4G20260,81,801,,846,0.0991503288975436,non-RI
AT4G20260,958,1285,,846,0.9207856768011139,non-RI
AT4G20260,1376,1463,100.0,846,0.00015505735326220196,RI
AT4G20260,1552,2089,,846,0.35003420251977807,non-RI
AT4G28660,243,571,100.0,953,0.0038570208244381194,RI
AT4G39620,354,710,,1109,0.2849483806008466,non-RI
AT4G39620,1863,2098,100.0,1109,0.005168309229748587,RI
