Gene = G0S2
index = 571
Annotated 5SS: [130]
Annotated 3SS: [232]
SMsplice 5SS: [130 342]
SMsplice 3SS: [232 425]
Partition function (log Z): -2.4287105558703566

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9921665030068233
Position 342: 0.6018173380952377
Position 334: 0.017639808071306808
Position 53: 0.005455385258228004
Position 170: 0.0017309475779518388
Position 57: 0.00039907012288107225
Position 532: 0.00021239853012757325
Position 133: 0.00012537608697480986
Position 379: 0.00011567365656672152
Position 346: 3.327647564619399e-05
Position 400: 2.379445780122466e-05
Position 582: 1.996021696184688e-05
Position 376: 1.5648210910945023e-05
Position 274: 1.0806276224310245e-05
Position 402: 5.057226186138632e-06
Position 428: 3.1102168049297058e-06
Position 358: 2.282472515368912e-06
Position 598: 1.2074932529702637e-06
Position 614: 9.622540831288986e-07
Position 5: 3.039739662481301e-07
Position 233: 1.9713652953223489e-07
Position 119: 1.708394765411903e-07
Position 782: 1.5501689026432914e-07
Position 794: 1.5458071178378355e-07
Position 702: 7.893493164295347e-08
Position 690: 4.913497275178992e-08
Position 180: 3.540063895906243e-08
Position 805: 3.218470066285734e-08
Position 552: 1.1804671439941715e-08
Position 177: 1.1611518214553756e-09
Position 197: 4.0090912360261447e-10
Position 451: 3.7488595434927956e-10
Position 707: 2.16622467150442e-10
Position 820: 9.473636739551707e-12
Position 189: 3.4721315579300077e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9992196268621022
Position 425: 0.42283591608872373
Position 441: 0.07938526733752399
Position 564: 0.02612490795425877
Position 731: 0.01823701373328498
Position 444: 0.01713873120032855
Position 750: 0.011953920539187386
Position 465: 0.009274113886382376
Position 576: 0.008476773356386592
Position 407: 0.00616260966103044
Position 877: 0.005677414155884328
Position 483: 0.0054813889034499765
Position 810: 0.0024846429764251183
Position 695: 0.001415813252309603
Position 668: 0.0013003547171196645
Position 495: 0.0009336150580885954
Position 448: 0.0005509002823683604
Position 767: 0.0005498598548993763
Position 779: 0.00043924657939315174
Position 733: 0.00037643536381390885
Position 206: 0.0002359635206575621
Position 492: 0.0002323518518953324
Position 507: 0.00021027377549500984
Position 782: 0.00012929746716992775
Position 477: 0.00012182885336747342
Position 671: 0.00012133209029996989
Position 688: 0.00011405960477156318
Position 499: 9.207842010202184e-05
Position 514: 8.870874474490604e-05
Position 593: 4.209568540261105e-05
Position 510: 4.0123412026981546e-05
Position 257: 3.6110978392158074e-05
Position 794: 3.1156435475165095e-05
Position 252: 2.9755751702514283e-05
Position 690: 2.969712155875663e-05
Position 300: 2.9220237620157276e-05
Position 250: 2.772883343503727e-05
Position 396: 1.601239783811081e-05
Position 617: 1.567293881209336e-05
Position 627: 1.5595612214238654e-05
Position 356: 1.3685281936729932e-05
Position 608: 1.2874346511288607e-05
Position 651: 1.0986997999472793e-05
Position 279: 9.529660260676436e-06
Position 459: 8.86217717451979e-06
Position 881: 8.137687855921738e-06
Position 885: 7.818669945660802e-06
Position 303: 7.312605044168605e-06
Position 259: 5.001678470863459e-06
Position 519: 4.5929868086274146e-06
Position 525: 4.20866271586859e-06
Position 614: 1.950644165065776e-06
Position 698: 1.1169872065775914e-06
Position 522: 1.0328570387824762e-06
Position 637: 9.706838587245808e-07
Position 647: 7.69456835354269e-07
Position 318: 5.493582680715527e-07
Position 621: 5.201768589984784e-07
Position 315: 4.81090534995286e-07
Position 598: 4.2008090959403003e-07
Position 653: 3.9002889015959843e-07
Position 588: 2.2689531722509806e-07
Position 282: 1.8686584638126663e-07
Position 324: 1.2547278244507034e-07
Position 623: 6.974148958421295e-08
Position 633: 5.343278754996576e-08
Position 339: 5.29613318437073e-08
Position 160: 5.147856238067878e-08
Position 165: 3.960358834696218e-08
Position 604: 3.8530506773859456e-08
Position 129: 3.771474995259993e-08
Position 94: 3.3545957570870737e-08
Position 330: 2.85663528978363e-08
Position 264: 1.5583350997483704e-08
Position 635: 5.149459553528728e-09
Position 645: 3.0867702982243395e-09
Position 149: 4.170716147181404e-10
Position 133: 1.085292007282566e-10
Position 186: 1.0733342544179839e-10
