Gene = TNFRSF4
index = 1462
Annotated 5SS: [ 150  470 1141 1495 2191 2429]
Annotated 3SS: [ 346 1038 1427 1993 2299 2506]
SMsplice 5SS: [ 150  470 1495 2191 2429]
SMsplice 3SS: [ 346 1427 1993 2299 2506]
Partition function (log Z): 8.173613326718556

Sorted 5' Splice Sites (High to Low Probability):
Position 2429: 0.9962399406809158
Position 150: 0.9938474746784506
Position 1495: 0.9439115458427582
Position 2191: 0.9019763575882026
Position 1141: 0.519676877634834
Position 470: 0.4898447810703189
Position 738: 0.07107130823742497
Position 2593: 0.06581572808474052
Position 427: 0.06328891554938755
Position 1271: 0.05480344179999905
Position 358: 0.053936412428807166
Position 456: 0.04206688169762384
Position 461: 0.039915434926662115
Position 807: 0.021712646119129164
Position 388: 0.021531608482527463
Position 1285: 0.01534662430882399
Position 1173: 0.011871547936082617
Position 1721: 0.010259906559509863
Position 2053: 0.008020987439113008
Position 1166: 0.005767569342543218
Position 848: 0.004537703313970523
Position 1778: 0.004521972652830568
Position 1707: 0.004350645822258686
Position 399: 0.003999910665837894
Position 1810: 0.003974024336623494
Position 395: 0.0038953468120931705
Position 2629: 0.0034609806357117005
Position 1544: 0.003449662566591928
Position 1592: 0.0033481868048233993
Position 2181: 0.003008427353365888
Position 249: 0.0028345466686835923
Position 1235: 0.002232915689763206
Position 1535: 0.0018897749756993476
Position 424: 0.0018177595253144512
Position 751: 0.0016304608478743452
Position 1784: 0.0013444394122217372
Position 1048: 0.001323950743924436
Position 1137: 0.0012020069040612862
Position 2651: 0.000993711114569773
Position 592: 0.0007913653954014352
Position 1889: 0.0005644768011087874
Position 127: 0.0005456216267258584
Position 459: 0.000528122148179605
Position 7: 0.0004891149974100932
Position 630: 0.00043596971964959716
Position 1150: 0.00041965427230436346
Position 1292: 0.0004165709429588565
Position 1541: 0.000305303858074636
Position 1624: 0.00022012436779543477
Position 610: 0.00018178453621472008
Position 2467: 0.00015695747036544887
Position 712: 0.00012724869843587963
Position 684: 9.814836196588407e-05
Position 799: 9.158984504759071e-05
Position 1208: 8.128511938629019e-05
Position 2703: 7.655650060641457e-05
Position 1175: 4.2251164233429074e-05
Position 1665: 4.1088721137167285e-05
Position 945: 3.7176076691325516e-05
Position 1711: 3.613665629940894e-05
Position 1042: 3.407338562704779e-05
Position 1188: 3.298336640734939e-05
Position 167: 3.206503322796355e-05
Position 1843: 3.161432185082521e-05
Position 2376: 3.042490321645094e-05
Position 42: 3.018870979571342e-05
Position 1725: 3.001118492963116e-05
Position 1799: 2.760983345999793e-05
