Gene = AL590714.1
index = 61
Annotated 5SS: [15]
Annotated 3SS: [1920]
SMsplice 5SS: [264]
SMsplice 3SS: [1672]
Partition function (log Z): -12.026956895350455

Sorted 5' Splice Sites (High to Low Probability):
Position 264: 0.4148239350985672
Position 291: 0.23020653412020184
Position 908: 0.18942531646979974
Position 370: 0.1051333394798215
Position 426: 0.030447643417882905
Position 266: 0.01925924294532621
Position 1579: 0.012056357196665209
Position 1054: 0.006025204902435319
Position 311: 0.004739618033815584
Position 1012: 0.004536940410028023
Position 1202: 0.0015512511167129167
Position 864: 0.0008252629991341958
Position 723: 0.0007833280346187331
Position 1604: 0.0007226087256753013
Position 1581: 0.000538776567290815
Position 1086: 0.00035876610629639215
Position 1056: 0.00029305613810054183
Position 1260: 0.0002732557811138313
Position 249: 0.00024611546961563196
Position 125: 0.00022917583247233434
Position 1957: 0.00020387064336929053
Position 178: 0.00018588607911017844
Position 591: 0.0001422840529444922
Position 1743: 0.0001151728998905795
Position 1396: 0.00010907077783058076
Position 93: 7.526736278311492e-05
Position 1729: 6.48426405156708e-05
Position 1428: 5.169689000932958e-05
Position 929: 4.956051442370094e-05
Position 25: 3.5980444996807135e-05
Position 1784: 3.5055604865527e-05
Position 891: 2.864169053654696e-05
Position 1537: 2.8435861913939165e-05
Position 621: 2.6773379105419352e-05
Position 189: 2.5125888144271195e-05
Position 543: 2.509068444012572e-05
Position 1953: 2.2340452996822314e-05
Position 199: 2.115931520985464e-05
Position 374: 2.0112713364012796e-05
Position 1564: 1.970448006589875e-05
Position 169: 1.723872716878667e-05
Position 1516: 1.4189712488710152e-05
Position 1073: 1.3364505413542906e-05
Position 665: 1.2270805596505269e-05
Position 1482: 1.137073977098621e-05
Position 222: 1.1220540367107769e-05
Position 755: 1.0007649233435471e-05
Position 605: 9.441212885031043e-06
Position 337: 8.583650124902955e-06
Position 1135: 8.528868976258103e-06
Position 1145: 8.372646505183192e-06
Position 1985: 7.979781417184581e-06
Position 1039: 6.6064890408250756e-06
Position 1419: 5.064792634207294e-06
Position 607: 4.7227833601923075e-06
Position 1367: 4.012439469705332e-06
Position 443: 3.770355179901009e-06
Position 746: 3.6432818061719957e-06
Position 203: 3.4850340377901435e-06
Position 49: 3.1093259398112778e-06
Position 555: 3.0295230250342747e-06
Position 569: 2.6555535070664303e-06
Position 1645: 2.556451415785516e-06
Position 843: 2.406461214647123e-06
Position 1473: 2.242870079046444e-06
Position 991: 1.6054749602704336e-06
Position 1702: 1.3266312617566348e-06
Position 809: 1.193326944417916e-06
Position 775: 1.0156459449411837e-06
Position 1649: 9.539366051879022e-07
Position 1016: 8.835144543808164e-07
Position 689: 8.097620840568833e-07
Position 1047: 7.707257177056273e-07
Position 1787: 6.547054696478779e-07
Position 642: 6.005892345677251e-07
Position 1493: 5.894364039156158e-07
Position 1715: 4.749975507828405e-07
Position 461: 3.8655710440843544e-07
Position 1503: 3.520200313662812e-07
Position 820: 3.1845201162017993e-07
Position 630: 2.106167733225678e-07
Position 1167: 2.072841035854224e-07
Position 1943: 1.959539654611768e-07
Position 636: 1.892725843981367e-07
Position 627: 1.8705938585493817e-07
Position 800: 1.7288334904329325e-07
Position 633: 1.6605140162654594e-07
Position 639: 1.5064793683248994e-07
Position 108: 1.1460161835266091e-07
Position 2024: 8.465676209689795e-08
