Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
Partition function (log Z): -4.334276667959123

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.9972699723122789
Position 630: 0.6266184143445536
Position 870: 0.06848869201872858
Position 917: 0.03580189690062617
Position 591: 0.03514706948341186
Position 624: 0.026384461832840503
Position 967: 0.01628694132896056
Position 829: 0.012172683152631016
Position 986: 0.004182202042545077
Position 152: 0.0013343745582667036
Position 961: 0.0013328686683736842
Position 1114: 0.001195858959682526
Position 678: 0.0005111038478249494
Position 855: 0.00047842343545101955
Position 193: 0.0003232606223742106
Position 77: 0.00025393636682948857
Position 606: 0.0002323123581986096
Position 1202: 0.0002142620372501306
Position 1009: 0.00019383005888356142
Position 564: 0.0001497881759891596
Position 921: 0.00012184748340063899
Position 955: 0.00011321119709602014
Position 1118: 4.54831449928024e-05
Position 1062: 3.380483736761364e-05
Position 651: 2.5621889738479457e-05
Position 613: 1.2713655992940713e-05
Position 686: 1.248949858471984e-05
Position 1204: 1.2278643323345917e-05
Position 1057: 9.984939696109616e-06
Position 1195: 9.719738866767319e-06
Position 807: 8.057503739766547e-06
Position 1234: 7.382279337354865e-06
Position 805: 7.0866819839125076e-06
Position 832: 5.076109518349651e-06
Position 715: 4.856840316389242e-06
Position 942: 3.974214501291591e-06
Position 1007: 3.4329985128953944e-06
Position 369: 2.735510749084644e-06
Position 958: 2.5060456902417946e-06
Position 338: 2.0240835027125354e-06
Position 202: 7.400187042971377e-07
Position 233: 5.637695683614759e-07
Position 1136: 3.28254414153926e-07
Position 1064: 2.590812731959962e-07
Position 1143: 2.205109484708785e-07
Position 4: 1.0506447311341374e-07
Position 1116: 7.16776380827352e-08
Position 427: 4.1963750474769614e-08
Position 1078: 2.3659794478032313e-08
Position 451: 4.03550100381074e-09
Position 438: 1.1585266207936482e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6663027462922072
Position 799: 0.2923352964268759
Position 491: 0.23427446316945072
Position 1167: 0.18994259694012047
Position 727: 0.13976705990669241
Position 1070: 0.07769784504579642
Position 767: 0.05565672065708651
Position 457: 0.049236812653189674
Position 816: 0.028522303094053156
Position 1106: 0.026460249226402572
Position 1295: 0.017782417720852747
Position 1012: 0.012123313866837746
Position 477: 0.010284006456575607
Position 1326: 0.005531445674663797
Position 427: 0.004999272659834009
Position 1250: 0.003800961786247186
Position 438: 0.0030853700290326743
Position 686: 0.0017894108582385908
Position 813: 0.0016739082990998252
Position 1200: 0.0015420096447918128
Position 972: 0.000734062346115451
Position 1101: 0.0007045743087299255
Position 731: 0.0006416665481147471
Position 1347: 0.0005833477343654737
Position 1078: 0.0004932776633226434
Position 819: 0.0003817690317222171
Position 769: 0.0003475604863150919
Position 246: 0.00034117910149809345
Position 1170: 0.00029964356826514576
Position 493: 0.00016643742782605626
Position 184: 0.0001605600790193871
Position 935: 0.00012561764149454657
Position 938: 0.00012316916873219977
Position 1109: 0.00011722318651281531
Position 243: 0.00011675327808098796
Position 976: 0.00010727619118266124
Position 1234: 9.324267304755664e-05
Position 1000: 7.856139215933633e-05
Position 528: 7.814065599942432e-05
Position 497: 7.266603136408029e-05
Position 1350: 6.94555219252494e-05
Position 1072: 6.493751347389127e-05
Position 572: 4.9816311294052444e-05
Position 223: 3.0036444493360835e-05
Position 1352: 2.8963032109467317e-05
Position 824: 2.4062176924520842e-05
Position 1113: 2.3843606092587707e-05
Position 1021: 2.0434735480897706e-05
Position 156: 1.4940803095084172e-05
Position 598: 1.4408749385698615e-05
Position 736: 1.3287644058663112e-05
Position 1018: 1.0479636394221182e-05
Position 534: 8.770510500494205e-06
Position 329: 8.089293406517964e-06
Position 881: 7.535464975283759e-06
Position 256: 6.859811328565533e-06
Position 499: 6.7114898368859795e-06
Position 502: 4.838367159395466e-06
Position 558: 4.64069821125409e-06
Position 202: 4.409727221938212e-06
Position 357: 4.252654681109416e-06
Position 1016: 4.005441232583e-06
Position 537: 3.2007086821597674e-06
Position 1143: 2.2573291737614752e-06
Position 189: 1.7833861301499456e-06
Position 228: 1.6609083117201618e-06
Position 240: 1.2944395158940044e-06
Position 251: 1.174488822564715e-06
Position 603: 1.0103447326676768e-06
Position 543: 9.243055872132128e-07
Position 828: 8.563543210658717e-07
Position 522: 7.273571272211461e-07
Position 611: 4.4385968374173655e-07
Position 618: 3.8824035724356465e-07
Position 369: 3.0771757970852385e-07
Position 629: 2.8753576999890076e-07
Position 876: 2.747174316658779e-07
Position 929: 2.5463615084679813e-07
Position 264: 2.404315111009184e-07
Position 276: 2.2398840476065104e-07
Position 191: 2.2087140863876985e-07
Position 1122: 1.9891777471124915e-07
Position 837: 1.8777957890802092e-07
Position 845: 1.8665099507317502e-07
Position 613: 1.856283849687621e-07
Position 885: 1.2095582567760742e-07
Position 839: 1.1038142394307474e-07
Position 274: 1.0465166110564416e-07
Position 513: 1.022527813734697e-07
Position 507: 9.643182604803308e-08
Position 509: 9.632888069195952e-08
Position 623: 9.516489732090569e-08
Position 210: 7.318262306584717e-08
Position 897: 6.227857974882705e-08
Position 874: 3.6445135904664195e-08
Position 832: 3.245980698299786e-08
Position 233: 2.85750665450512e-08
Position 333: 1.0343483730100774e-08
