Gene = NPPB
index = 957
Annotated 5SS: [230 718]
Annotated 3SS: [ 461 1259]
SMsplice 5SS: [230 718]
SMsplice 3SS: [ 461 1259]
Partition function (log Z): -4.634289898871843

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9632566798956338
Position 718: 0.8711566097592156
Position 1195: 0.17712861343176173
Position 573: 0.0584023754860284
Position 412: 0.027934638803067287
Position 1176: 0.014513169901567681
Position 553: 0.007588439386869826
Position 168: 0.0025917179980235808
Position 978: 0.0018750515488112469
Position 504: 0.0016185478359851658
Position 195: 0.001314590449328783
Position 656: 0.0011700311023264388
Position 370: 0.001046156642094199
Position 15: 0.0010432163644738166
Position 424: 0.0007270568918061668
Position 217: 0.0005735421808064253
Position 648: 0.00044753974704164865
Position 890: 0.00036572036390451236
Position 357: 0.00036287813369215226
Position 386: 0.0003546438262451949
Position 278: 0.00023653814792027014
Position 896: 0.00021512668453105825
Position 382: 0.00020497006012115722
Position 788: 0.00014134969024621677
Position 223: 0.00013855398354700136
Position 563: 0.0001325477701514107
Position 609: 0.00012185016566114427
Position 592: 0.00010190162755029214
Position 759: 9.476829319158066e-05
Position 396: 8.39511814109815e-05
Position 873: 5.798701259059145e-05
Position 1353: 4.992728061521595e-05
Position 1173: 4.02882456461959e-05
Position 1156: 3.874270608912219e-05
Position 825: 2.4199140613573533e-05
Position 771: 2.1423836671477124e-05
Position 555: 1.3933525905052103e-05
Position 1371: 1.2060256268976488e-05
Position 325: 8.649622886322128e-06
Position 1008: 5.619920855908564e-06
Position 491: 5.584959105883851e-06
Position 761: 4.6038769250899415e-06
Position 1180: 4.490249855149931e-06
Position 1338: 3.716150713012369e-06
Position 1039: 3.0328764403288935e-06
Position 1283: 2.275292444377794e-06
Position 84: 2.0817870101266422e-06
Position 428: 1.1396272475055932e-06
Position 700: 8.191543248416674e-07
Position 1379: 4.264805243122853e-07
Position 1005: 3.5927222796306184e-07
Position 1137: 2.921529793090112e-07
Position 1060: 1.96648229986846e-07
Position 849: 1.644668714596261e-07
Position 763: 1.6225470313801907e-07
Position 291: 1.5590011777893972e-07
Position 777: 8.841106934517734e-08
Position 982: 7.291792897560668e-08
Position 795: 4.1775503672375826e-08
Position 881: 3.460402569062462e-08
Position 544: 1.146860793286253e-08
Position 1259: 1.0057289371599316e-08
Position 171: 5.541155475798901e-09
Position 792: 6.777870261884152e-10
Position 1053: 2.9004502443011843e-10
Position 1393: 2.2176760928735717e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1259: 0.8765961417951238
Position 461: 0.843507018134036
Position 1113: 0.11100092376500395
Position 997: 0.06368678595662153
Position 552: 0.05973000474154558
Position 1060: 0.04278045584062089
Position 482: 0.0380464411384894
Position 856: 0.022557759562654052
Position 957: 0.018932924123794655
Position 325: 0.017521743922669326
Position 503: 0.007664767994331467
Position 637: 0.007561433018957785
Position 1404: 0.005252014137546126
Position 824: 0.003926687616594195
Position 677: 0.0028896605645868205
Position 759: 0.001497579795284746
Position 298: 0.0014247519979448775
Position 1013: 0.0012198948051803905
Position 1171: 0.0010983216235492632
Position 1005: 0.001073513137186822
Position 467: 0.0009491370396105268
Position 300: 0.0008185006437092455
Position 1318: 0.0006362334089444362
Position 963: 0.0005485643091092176
Position 533: 0.0005056794102425214
Position 378: 0.00048425434396160615
Position 464: 0.0003595559083080736
Position 333: 0.0002615120134803795
Position 406: 0.00025934514504107953
Position 673: 0.00021670524212917726
Position 1068: 0.00020524984731269574
Position 863: 0.0001956755791577409
Position 890: 0.00019272010220515922
Position 1449: 0.0001695990203257997
Position 1072: 0.00012981113501369805
Position 644: 0.00010775217917810595
Position 1423: 9.946415048222708e-05
Position 819: 9.196561970873306e-05
Position 1079: 8.190707835512302e-05
Position 700: 8.077748914248017e-05
Position 1295: 7.796834146215801e-05
Position 1017: 6.3940909018317e-05
Position 1266: 5.9623063729436694e-05
Position 576: 5.4643442274959953e-05
Position 512: 5.436738735339508e-05
Position 572: 5.31099164691099e-05
Position 563: 4.999160825271925e-05
Position 1353: 4.5772084759111406e-05
Position 382: 4.546851713075031e-05
Position 1462: 4.4178506740100276e-05
Position 189: 3.633562684680091e-05
Position 691: 3.03335665927821e-05
Position 536: 2.490411983628025e-05
Position 421: 2.1657689390120334e-05
Position 93: 2.0839074796463363e-05
Position 340: 1.9894404860810366e-05
Position 1074: 1.9460554573010595e-05
Position 538: 1.6363381938853404e-05
Position 775: 1.5657531531666892e-05
Position 1118: 1.388444315792224e-05
Position 229: 1.291988806195398e-05
Position 1133: 1.1673944916210666e-05
Position 1277: 1.1204941838625685e-05
Position 167: 1.0450061013949728e-05
Position 654: 1.040612134439962e-05
Position 436: 9.537257295760754e-06
Position 509: 7.657745737723451e-06
Position 109: 7.343155089034607e-06
Position 870: 6.948875309073732e-06
Position 1088: 4.600162159344747e-06
Position 584: 3.1654840506084343e-06
Position 113: 1.8698608799936014e-06
Position 1127: 1.4101404246091556e-06
Position 1194: 1.2752909330648045e-06
Position 1199: 1.2631453243810641e-06
Position 84: 1.2225115691743106e-06
Position 1019: 1.1843967123674734e-06
Position 1147: 1.1838466411531346e-06
Position 524: 1.1625463289211145e-06
Position 1090: 1.0633762977862835e-06
Position 1283: 1.0164883338377053e-06
Position 200: 8.957523780889164e-07
Position 1279: 8.714901928434852e-07
Position 267: 7.857123310857175e-07
Position 1204: 6.754277276786144e-07
Position 497: 4.412378185009558e-07
Position 1076: 3.759436047832125e-07
Position 95: 3.542292255089007e-07
Position 717: 3.3582986777105907e-07
Position 264: 1.7837586532926198e-07
Position 351: 7.266944016413296e-08
Position 777: 5.1696368954672366e-08
Position 416: 4.43772798584006e-08
Position 276: 3.71164256786353e-08
Position 1135: 3.232264641835546e-08
Position 349: 1.4245076907704133e-08
Position 722: 9.961923689319135e-09
Position 251: 4.593577339438481e-09
Position 246: 3.791514353888562e-09
Position 1137: 1.967470015125105e-09
Position 241: 1.3624202846890379e-09
Position 234: 7.218348049721106e-10
Position 236: 2.4336019300140784e-10
