Gene = CSF2
index = 414
Annotated 5SS: [ 193  333 1146]
Annotated 3SS: [ 290 1019 1954]
SMsplice 5SS: [ 193  333 1146]
SMsplice 3SS: [ 290 1019 1954]
Partition function (log Z): 0.788414689479342

Sorted 5' Splice Sites (High to Low Probability):
Position 1146: 0.9910155902022237
Position 193: 0.9686101077485505
Position 333: 0.887894744143556
Position 1414: 0.5143638836255889
Position 735: 0.30110872766739755
Position 1819: 0.25035861981337837
Position 589: 0.1241297764635156
Position 1407: 0.07805017528793458
Position 586: 0.06559830550807996
Position 852: 0.014856556230752568
Position 387: 0.012501403620938172
Position 1827: 0.008122559706741608
Position 1398: 0.006721740408798305
Position 769: 0.005046114759359556
Position 729: 0.004325365629928686
Position 810: 0.004192635341850165
Position 594: 0.003579140245145869
Position 1380: 0.003277623449370238
Position 197: 0.002646178899372617
Position 1823: 0.0021604767172953994
Position 1790: 0.0020232761248813714
Position 2156: 0.001741580070291909
Position 2172: 0.0016411763685803009
Position 622: 0.001251297825428483
Position 1605: 0.0007893179615307731
Position 2059: 0.0005405078668561967
Position 626: 0.00043970583104267346
Position 2134: 0.00041982188844990925
Position 207: 0.0003179903128156473
Position 2261: 0.0001545314168749179
Position 463: 0.0001528724552922619
Position 1194: 0.00011979652455555001
Position 130: 0.00011148731453658523
Position 839: 9.856601180539259e-05
Position 1518: 8.752812475559495e-05
Position 1888: 7.888645206673758e-05
Position 1634: 7.457730095169615e-05
Position 1829: 6.878385396025065e-05
Position 657: 6.712157956959273e-05
Position 600: 5.394772803635158e-05
Position 474: 4.541436537847379e-05
Position 662: 3.851410726860176e-05
Position 170: 2.8120593025015516e-05
Position 155: 2.2632535829847814e-05
Position 1734: 1.9915470098334898e-05
Position 1839: 1.8706356642880386e-05
Position 381: 1.808246074641622e-05
Position 879: 1.5129773117376223e-05
Position 1859: 1.4501002296419821e-05
Position 1872: 1.380675188766095e-05
Position 642: 1.3551662262138874e-05
Position 698: 1.3061730492904274e-05
Position 1463: 1.1758276391775501e-05
Position 1389: 9.706257753682732e-06
Position 320: 9.468554742291737e-06
Position 300: 8.254148979962997e-06
Position 571: 7.143487116981748e-06
Position 420: 7.106485279084077e-06
Position 671: 7.096965445266411e-06
Position 439: 5.856860377565433e-06
Position 1477: 5.795948562712861e-06
Position 1199: 5.4234035199409505e-06
Position 900: 5.013840511147608e-06
Position 306: 4.8034974996983145e-06
Position 822: 4.723724226238851e-06
Position 1349: 4.35127039869596e-06
