Gene = PPP1R35
index = 1062
Annotated 5SS: [425 718 935]
Annotated 3SS: [ 500  797 1031]
SMsplice 5SS: [425 718 935]
SMsplice 3SS: [ 500  797 1031]
Partition function (log Z): -5.030497812667794

Sorted 5' Splice Sites (High to Low Probability):
Position 718: 0.9398016607466765
Position 425: 0.8817391184018334
Position 935: 0.5621882597801063
Position 28: 0.06583451651237396
Position 851: 0.04458970557472488
Position 839: 0.03635222061547923
Position 79: 0.032627669693622484
Position 866: 0.02021358188171359
Position 531: 0.014674078662180873
Position 32: 0.003266003359808467
Position 710: 0.003203344908537784
Position 943: 0.0029942017113287647
Position 501: 0.001091120197260421
Position 72: 0.0008689638140800983
Position 674: 0.0008510793767164959
Position 708: 0.0007509533619539143
Position 967: 0.0005893204754984763
Position 65: 0.0005809928053096939
Position 757: 0.0005205551140188406
Position 555: 0.0003777884207709395
Position 536: 0.00037444319755965664
Position 201: 0.00019304101301273666
Position 251: 0.00018075674782674063
Position 278: 0.00017774796667608975
Position 1000: 0.00015142145606216752
Position 223: 7.877687104273212e-05
Position 1117: 7.566143878113705e-05
Position 126: 5.821147861647985e-05
Position 475: 3.554715713969811e-05
Position 951: 2.4796465248232576e-05
Position 743: 2.3117855930348136e-05
Position 211: 2.1093674068796897e-05
Position 204: 1.8306275394945896e-05
Position 147: 1.1076134427422648e-05
Position 299: 6.111579375005273e-06
Position 1069: 2.707775589909819e-06
Position 1067: 9.186625360978044e-07
Position 998: 8.917059120129945e-07
Position 128: 6.401745456304319e-07
Position 139: 4.878928706789007e-07
Position 579: 4.3554911749917074e-07
Position 1202: 3.807175440118768e-07
Position 751: 9.965977511571257e-08
Position 87: 7.91055758586848e-08
Position 806: 5.028480403032579e-08
Position 654: 3.4881125457898815e-08
Position 677: 5.153060866015656e-09
Position 779: 2.1563355368777665e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 797: 0.9274723697903129
Position 500: 0.828434339958767
Position 1031: 0.5945242105782405
Position 563: 0.07972494153591778
Position 1077: 0.0539242999190944
Position 1158: 0.04384068989351698
Position 178: 0.015804561673174303
Position 624: 0.009973236237628393
Position 998: 0.008792526897346584
Position 913: 0.0061093393158591835
Position 611: 0.005628045605546259
Position 820: 0.005591819908642371
Position 592: 0.004789151359387086
Position 299: 0.00464030326252016
Position 548: 0.004184966557960174
Position 345: 0.003264671847008188
Position 190: 0.0032571710208381816
Position 242: 0.0018105880358128654
Position 1053: 0.0017966270322077361
Position 1034: 0.0012262549288672125
Position 278: 0.0011650598955928607
Position 542: 0.0009532638426444375
Position 1260: 0.0009348738148847913
Position 650: 0.0008896718374803768
Position 215: 0.0007875685047106131
Position 572: 0.000655833681987768
Position 271: 0.0006467539365369402
Position 934: 0.000613054696729085
Position 850: 0.0005584303276473418
Position 566: 0.00040697595635217916
Position 587: 0.0003634546948805228
Position 352: 0.0003340013123547328
Position 683: 0.0002354153707045148
Position 145: 0.00021173814731068714
Position 665: 0.00017663415083607928
Position 1160: 0.00015882302190803332
Position 885: 0.0001527735983462178
Position 865: 0.00010716135701950107
Position 92: 9.780784138110466e-05
Position 293: 4.350808158322338e-05
Position 239: 3.716162942931767e-05
Position 631: 3.522298419571064e-05
Position 589: 2.7800816273057544e-05
Position 118: 2.3927316089914042e-05
Position 211: 2.049955183555953e-05
Position 366: 1.51599651287532e-05
Position 122: 1.3617778593509227e-05
Position 843: 1.3228348906016498e-05
Position 424: 1.1061231210664389e-05
Position 701: 7.818227277988905e-06
Position 324: 7.308840242058985e-06
Position 1267: 6.038423670531269e-06
Position 108: 5.84006743076987e-06
Position 382: 5.583903247868904e-06
Position 674: 5.004801081116961e-06
Position 415: 4.969306436868627e-06
Position 706: 4.792307819907073e-06
Position 659: 4.513738969939422e-06
Position 1189: 3.8940601446005844e-06
Position 307: 2.40088479247364e-06
Position 111: 2.2170139650367962e-06
Position 217: 2.2055458751065614e-06
Position 704: 2.0061987108848396e-06
Position 920: 1.5398880986142885e-06
Position 859: 1.2148693670072277e-06
Position 223: 1.1522267606213186e-06
Position 1230: 9.29919745052076e-07
Position 330: 7.689445492311958e-07
Position 95: 2.720646331599484e-07
Position 1224: 2.238591509266248e-07
Position 1205: 2.0664729475598825e-07
Position 761: 1.1406288644114384e-07
Position 1214: 1.0016428575938354e-07
Position 751: 6.787068001299782e-08
Position 1200: 6.734309787644802e-08
Position 889: 5.0259849915644975e-08
Position 394: 4.3873314976955466e-08
Position 670: 1.526389140152361e-08
Position 722: 1.3343042588827842e-08
Position 429: 1.8287609796731384e-09
Position 716: 1.089581429881653e-09
Position 437: 6.133887054908398e-10
