Gene = AL645608.2
index = 66
Annotated 5SS: [  16 1471]
Annotated 3SS: [1452 1917]
SMsplice 5SS: [80]
SMsplice 3SS: [865]
Partition function (log Z): -10.721340334563061

Sorted 5' Splice Sites (High to Low Probability):
Position 80: 0.7267049752830809
Position 71: 0.22595240289896765
Position 559: 0.01675031008735799
Position 725: 0.016506662013440785
Position 251: 0.012075683930070961
Position 1018: 0.010325173576577534
Position 1399: 0.009291706244936268
Position 736: 0.007157715725384253
Position 138: 0.004688429811931435
Position 192: 0.002535289397993505
Position 929: 0.00197684701212088
Position 1592: 0.0016782166827106725
Position 660: 0.0011678370048071945
Position 561: 0.0009403331539567898
Position 344: 0.0007437370064981309
Position 100: 0.0007254056936014704
Position 16: 0.0007026845247750123
Position 84: 0.0005548929019869718
Position 598: 0.0005022016569221958
Position 103: 0.0003649198971005785
Position 673: 0.00029732367410780105
Position 1410: 0.0002635131373344418
Position 394: 0.0002380971351941362
Position 815: 0.000179819317090745
Position 196: 0.00017208085538299086
Position 194: 0.00014481371076468662
Position 1490: 0.00011350950382168172
Position 675: 0.00011086329151202799
Position 1117: 0.00010549356895340796
Position 426: 0.00010043407882562423
Position 1081: 9.98592977905506e-05
Position 42: 9.11526219657817e-05
Position 266: 8.933548660122597e-05
Position 780: 8.57872966592435e-05
Position 213: 8.420460215249915e-05
Position 748: 7.410140688472462e-05
Position 974: 7.232156288722473e-05
Position 1164: 7.013140599769594e-05
Position 232: 6.963420955177936e-05
Position 791: 4.567892455117385e-05
Position 21: 4.360414418039752e-05
Position 1614: 4.163153600751275e-05
Position 1115: 4.0557780984835306e-05
Position 1121: 4.0352143216030624e-05
Position 1488: 3.843960716392212e-05
Position 663: 3.815558720089804e-05
Position 619: 3.7468758404501026e-05
Position 271: 3.2311867852168265e-05
Position 774: 2.6990687994283564e-05
Position 1705: 2.573708192950456e-05
Position 755: 2.516669130237105e-05
Position 842: 1.966217431074864e-05
Position 1439: 1.902152291211121e-05
Position 702: 1.8761589829888238e-05
Position 1059: 1.709660229972805e-05
Position 221: 1.655995951634859e-05
Position 1620: 1.5267119843315144e-05
Position 468: 1.3656183552941126e-05
Position 506: 1.34599983226584e-05
Position 1733: 1.3253630020534398e-05
Position 971: 1.2413227293067098e-05
Position 1028: 1.2135505441560264e-05
Position 1250: 1.0587963618581254e-05
Position 1371: 9.719918959010355e-06
Position 502: 9.429371810260019e-06
Position 47: 8.796728379247411e-06
Position 826: 8.437871850858519e-06
Position 681: 8.178100594091125e-06
Position 583: 8.176146402686878e-06
Position 215: 7.524692904467534e-06
Position 729: 7.470999700746495e-06
Position 1355: 6.809750266880099e-06
Position 1151: 6.316928207234455e-06
Position 92: 6.2495179196399846e-06
Position 1659: 6.190217800272629e-06
Position 515: 5.691083484971346e-06
Position 481: 5.086917236816639e-06
Position 1031: 4.8276741902219905e-06
Position 1423: 4.498674680034119e-06
Position 1699: 3.5394870951562755e-06
Position 1716: 3.325175039621737e-06
Position 1125: 3.2933588836124697e-06
Position 1667: 2.528828027495048e-06
Position 1651: 2.4274063567904266e-06
Position 602: 2.3980182898048815e-06
Position 201: 2.0556062063397688e-06
Position 1178: 1.9899432099545245e-06
Position 1683: 1.6132489399195786e-06
Position 1677: 1.5646549157844176e-06
Position 1253: 1.4258841022787377e-06
Position 492: 1.3895291820324835e-06
Position 1100: 1.2648027240269783e-06
Position 94: 1.2491301856277498e-06
Position 1432: 1.2079802447178082e-06
Position 446: 1.178616678410261e-06
Position 1738: 1.0844212993093828e-06
Position 1728: 1.0739179246725313e-06
Position 264: 9.512081740348499e-07
Position 1611: 9.198529563033661e-07
Position 1470: 7.566460619667042e-07
Position 223: 6.696636977375701e-07
Position 1320: 6.655529526051493e-07
Position 859: 6.389123782730977e-07
Position 1273: 6.08716009632833e-07
Position 1085: 5.726341102786877e-07
Position 75: 4.96453277953521e-07
Position 850: 4.756742297452907e-07
Position 472: 4.660812815424653e-07
Position 1389: 4.4476495284061147e-07
Position 1301: 4.150307327748963e-07
Position 1501: 3.7801293477550534e-07
Position 1583: 3.633447811107605e-07
Position 1665: 3.126431279772038e-07
