Gene = FAM166B
index = 525
Annotated 5SS: [ 133  734 1025 1251 1520]
Annotated 3SS: [ 509  818 1198 1324 1803]
SMsplice 5SS: [ 133 1251 1520]
SMsplice 3SS: [1149 1370 1803]
Partition function (log Z): -5.967142955581767

Sorted 5' Splice Sites (High to Low Probability):
Position 133: 0.8439754480535803
Position 1251: 0.7116674960601508
Position 1520: 0.6853580307632492
Position 1025: 0.34307565684883834
Position 485: 0.2524744899435254
Position 1057: 0.13133588313301428
Position 746: 0.08941481129109394
Position 1042: 0.07476807381156607
Position 734: 0.06453337738984184
Position 565: 0.03132926325470557
Position 1572: 0.02304422812042997
Position 971: 0.02206747947390791
Position 228: 0.01749207995457775
Position 510: 0.01634890337661659
Position 1013: 0.011653893614780777
Position 756: 0.007900216475634438
Position 866: 0.004822152253148099
Position 1579: 0.004613306668277516
Position 572: 0.0038422906836458603
Position 178: 0.0033314943552938936
Position 441: 0.003254576458620771
Position 13: 0.003242646912643257
Position 342: 0.0031689988014333248
Position 1265: 0.002746312517266756
Position 726: 0.002634456811601028
Position 661: 0.0012778745417621293
Position 288: 0.0012581508884107692
Position 1675: 0.0011826693768368214
Position 738: 0.000654240220456317
Position 1079: 0.0006118591367486345
Position 300: 0.00036783991412143275
Position 172: 0.000306045781981315
Position 537: 0.00029849202443004184
Position 1558: 0.0002716749550671665
Position 1566: 0.00024425386448800114
Position 1246: 0.00020007291276270982
Position 1591: 0.00019096705779895036
Position 819: 0.00014165854710505033
Position 1727: 0.0001359348907562182
Position 247: 0.00012293485561066584
Position 416: 0.00011782076868519397
Position 1059: 7.075063610496774e-05
Position 1083: 6.713807671289799e-05
Position 1065: 6.476207833713292e-05
Position 544: 6.470745205385246e-05
Position 1805: 6.302777062029173e-05
Position 1081: 5.855107087783394e-05
Position 232: 5.76835965285061e-05
Position 1049: 5.677038219303675e-05
Position 1583: 5.174479401954265e-05
Position 1118: 4.879588658920588e-05
Position 1016: 4.645871435747344e-05
Position 1071: 3.9486113995372205e-05
Position 256: 3.2688477925278653e-05
Position 689: 3.14758656902602e-05
Position 497: 2.860400634956438e-05
Position 1487: 2.0221277481167843e-05
Position 682: 1.832379776907312e-05
Position 1107: 1.7532660918249603e-05
Position 1562: 1.3623597159185615e-05
Position 1237: 1.1563274044493494e-05
Position 489: 1.0707940051595576e-05
Position 1280: 1.0114908906803897e-05
Position 918: 1.0070140279156247e-05
Position 185: 9.533873360757981e-06
Position 1688: 7.485724021785666e-06
Position 824: 5.9099553094839884e-06
Position 885: 5.6116804729532715e-06
Position 1588: 4.523000772336831e-06
Position 1092: 4.365452309648658e-06
Position 259: 3.699106944885486e-06
Position 1122: 2.7680680376836744e-06
Position 838: 2.631439074841173e-06
Position 77: 1.4997801993447448e-06
Position 501: 1.4511596656736304e-06
Position 1430: 1.1752073060161974e-06
Position 1145: 9.926718561004482e-07
Position 1719: 9.349390781049659e-07
Position 674: 8.89925602315821e-07
Position 1378: 8.683665773205999e-07
Position 1309: 5.618041529228376e-07
Position 1112: 4.0055202004628335e-07
Position 1339: 3.978095921033723e-07
Position 1133: 3.447719918613655e-07
Position 775: 2.9735207688255244e-07
Position 1779: 2.4974547878631903e-07
Position 1601: 2.245376657850135e-07
Position 319: 2.121080195183219e-07
Position 1636: 1.2168360272019988e-07
Position 1110: 9.735636780761132e-08
Position 1311: 9.302356952493116e-08
Position 1817: 7.912356579311783e-08
Position 1170: 6.714502435193203e-08
Position 1595: 6.107889093675075e-08
Position 1513: 2.769061062099035e-08
Position 613: 2.5716419487265266e-08
Position 794: 2.411851571987778e-08
Position 1639: 2.171382437913148e-08
Position 317: 1.6168461453530164e-08
Position 1172: 1.4317525013729683e-08
Position 322: 1.0263167699405444e-08
Position 803: 2.7899583182137755e-09
Position 777: 1.951686621832706e-09
Position 1811: 1.839056363750631e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1803: 0.5481129481252633
Position 1370: 0.5408542454933982
Position 818: 0.5045760102296389
Position 1149: 0.41533884586918324
Position 1198: 0.25047755218496437
Position 340: 0.24128751207825722
Position 1324: 0.1633098468577788
Position 1466: 0.12345230230558836
Position 1392: 0.08330770875863257
Position 1656: 0.08046091061008057
Position 542: 0.07541934429581766
Position 838: 0.039154008494148115
Position 910: 0.035494272904223884
Position 1785: 0.028419227878997127
Position 509: 0.028038621338871188
Position 1935: 0.024656661292611407
Position 1127: 0.024349267253619678
Position 1864: 0.020705072234708313
Position 312: 0.020663684157518177
Position 1092: 0.019618472900253505
Position 1644: 0.016362275602166736
Position 1614: 0.012804274725857217
Position 650: 0.007393696854745346
Position 1630: 0.007013554300380258
Position 1660: 0.005673566134716658
Position 601: 0.004438352265544917
Position 1166: 0.004306134879670039
Position 1401: 0.004269601607941456
Position 1178: 0.0037204612930093403
Position 1224: 0.003252958559167288
Position 853: 0.0032172886724062314
Position 914: 0.0028352740396962103
Position 1699: 0.0019604347128736603
Position 1688: 0.0018505113329557908
Position 564: 0.0017392457809518238
Position 733: 0.0017051386786271312
Position 861: 0.0016245938096542361
Position 1892: 0.0012523672492907255
Position 1874: 0.0010749428356407686
Position 1101: 0.0010661121375434078
Position 1183: 0.0010504848789514025
Position 943: 0.0009322088944006662
Position 668: 0.0006934072642499589
Position 1479: 0.0006668046929971807
Position 768: 0.0006228094504169563
Position 1877: 0.0005356878989999151
Position 576: 0.0004585063625093024
Position 937: 0.00045801138120152204
Position 474: 0.0004388733165531588
Position 745: 0.00039499829550899003
Position 1250: 0.00032014183959612355
Position 755: 0.000271614385882693
Position 959: 0.00025362967308446827
Position 227: 0.00024766701697150637
Position 686: 0.00021897396526643814
Position 1732: 0.0002163051895320056
Position 1880: 0.00020907845998806708
Position 348: 0.00020618324216864725
Position 1519: 0.0001722381851670574
Position 1817: 0.00016617154195120744
Position 1413: 0.0001504156254651535
Position 1309: 0.00014652398218100126
Position 586: 0.00014341351861882237
Position 552: 0.0001414123901132203
Position 1416: 0.0001279426005841368
Position 246: 9.95526909848166e-05
Position 923: 9.891037669510064e-05
Position 421: 9.466823556273079e-05
Position 1426: 9.239810412042001e-05
Position 1674: 8.887674070240834e-05
Position 1294: 8.793751519386459e-05
Position 934: 8.541265964607018e-05
Position 918: 6.90163571688205e-05
Position 1237: 6.865911938524978e-05
Position 970: 6.80602688258434e-05
Position 1726: 6.541550772288207e-05
Position 1430: 5.9617331858439934e-05
Position 271: 5.51109890681613e-05
Position 1908: 5.280861844274609e-05
Position 948: 4.915305126406872e-05
Position 1665: 4.804507471138631e-05
Position 964: 4.695585409718524e-05
Position 991: 4.4531948704342174e-05
Position 865: 4.39307667078969e-05
Position 1437: 3.870939068196189e-05
Position 1712: 3.849730328137456e-05
