Gene = FAM229A
index = 536
Annotated 5SS: [286 514]
Annotated 3SS: [366 707]
SMsplice 5SS: [514]
SMsplice 3SS: [707]
Partition function (log Z): -7.481602012729621

Sorted 5' Splice Sites (High to Low Probability):
Position 514: 0.9069705233697338
Position 286: 0.42090694559765585
Position 807: 0.04085685676835804
Position 630: 0.01425600069554819
Position 126: 0.007708453589205381
Position 509: 0.0073480220219276655
Position 643: 0.004214282512175361
Position 488: 0.0009120708668226957
Position 121: 0.0005561304235388905
Position 411: 0.00032269006339719905
Position 811: 0.00012992982806159811
Position 607: 8.785350036750593e-05
Position 269: 4.12303358073492e-05
Position 881: 3.659318991356692e-05
Position 95: 1.7552534822208707e-05
Position 103: 9.386961263926547e-06
Position 146: 3.879028432040007e-06
Position 10: 3.303446312344569e-06
Position 588: 9.919900947621101e-07
Position 40: 7.689428288145422e-07
Position 88: 5.826907758108318e-07
Position 64: 5.436845707378387e-07
Position 114: 1.4056654912091403e-07
Position 466: 4.783712581805639e-08
Position 546: 2.040660177815093e-08
Position 766: 1.9690889856297438e-08
Position 754: 1.3036382693710653e-08
Position 566: 2.9434503098132906e-09
Position 694: 2.6760333385719727e-09
Position 444: 7.216982023715786e-10
Position 687: 4.025192393700119e-10
Position 716: 1.181881570173623e-10
Position 222: 1.1251791262412894e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 707: 0.7557414511991789
Position 366: 0.3423274118752215
Position 655: 0.20747426862732524
Position 950: 0.03118541146695637
Position 585: 0.02164466700514421
Position 629: 0.013385851633446886
Position 955: 0.004651071192368898
Position 472: 0.004438850662023231
Position 588: 0.00403005173525506
Position 928: 0.003943281909341688
Position 409: 0.0038754921399396097
Position 430: 0.0023158731447627946
Position 437: 0.0018065012237341498
Position 390: 0.0015642951971517275
Position 880: 0.0014263372428308385
Position 397: 0.0013828171928145776
Position 368: 0.0008321627453665135
Position 466: 0.0006873915133567063
Position 678: 0.0005520433671289482
Position 237: 0.00022430468391368988
Position 191: 0.00021114741220482565
Position 400: 0.00014746424856625404
Position 811: 0.00013038358428494603
Position 477: 0.0001289615819309846
Position 513: 7.097633506848753e-05
Position 901: 5.190368298510383e-05
Position 342: 2.8823500213125676e-05
Position 592: 2.517161125885677e-05
Position 258: 2.1741191279118125e-05
Position 840: 1.706066108018254e-05
Position 417: 1.3766905062410178e-05
Position 863: 1.1777559509385887e-05
Position 788: 9.892092245422084e-06
Position 248: 7.501353473584446e-06
Position 285: 4.3357626477824575e-06
Position 895: 3.5896675414831616e-06
Position 666: 2.841517025558971e-06
Position 220: 2.279416798155915e-06
Position 340: 1.437107886857918e-06
Position 855: 1.0760204629713349e-06
Position 301: 6.085545014347621e-07
Position 484: 6.011025443858858e-07
Position 103: 5.033052605715564e-07
Position 193: 4.925053570158191e-07
Position 491: 3.523286552350875e-07
Position 130: 3.3049432373856964e-07
Position 315: 1.6550750073780343e-07
Position 518: 5.108392487895317e-08
Position 290: 4.437674383823567e-08
Position 499: 2.0540400168590936e-08
Position 125: 2.935326466764969e-09
Position 79: 5.790143784639746e-10
Position 109: 2.712276337538228e-10
