Gene = C1orf35
index = 184
Annotated 5SS: [ 329  564  820  985 1153 1383 2124]
Annotated 3SS: [ 412  773  901 1079 1296 1988 2207]
SMsplice 5SS: [ 329  564  820  985 1153 1383 2124]
SMsplice 3SS: [ 412  773  901 1079 1266 1988 2207]
Partition function (log Z): 12.228212375530267

Sorted 5' Splice Sites (High to Low Probability):
Position 1383: 0.9947260523172388
Position 985: 0.9869091689755414
Position 2124: 0.9845875351144907
Position 1153: 0.9696901039035202
Position 820: 0.8239635162631918
Position 564: 0.7337782376977026
Position 329: 0.36389899852250124
Position 333: 0.2875138931819555
Position 587: 0.17185655435870612
Position 1728: 0.10831482748154783
Position 159: 0.07909247170727744
Position 1686: 0.040299726485752044
Position 433: 0.02062758029487847
Position 151: 0.015629899238894275
Position 342: 0.014998193961759313
Position 468: 0.011500346167276715
Position 2304: 0.010875485697262006
Position 97: 0.010186825185907918
Position 166: 0.010002266736739176
Position 36: 0.009470303918322282
Position 140: 0.008698444091627818
Position 1718: 0.008396016803512119
Position 619: 0.007448710083643991
Position 591: 0.006392338624392596
Position 2252: 0.004122914526372064
Position 2526: 0.0015947985576376764
Position 1033: 0.0014898512184655802
Position 162: 0.0014820649440643987
Position 1736: 0.0011435090147639258
Position 1195: 0.0011181108864770912
Position 2567: 0.0010117023741805949
Position 1894: 0.0008349725754471883
Position 109: 0.0007535341789316149
Position 259: 0.0007470398939150887
Position 570: 0.0005706736162629916
Position 65: 0.0005216513077548896
Position 833: 0.0004623829966495698
Position 1140: 0.0003943764890767314
Position 736: 0.0003530838117563102
Position 1841: 0.00030605472415056064
Position 173: 0.00028647330162283514
Position 1462: 0.0002454866446660328
Position 713: 0.00024247510556205473
Position 194: 0.00023406178492938108
Position 995: 0.0002176386631701219
Position 914: 0.00021568236341543997
Position 1654: 0.00019730642103378085
Position 2414: 0.00017075915237255675
Position 1578: 0.00017042491232503588
Position 787: 0.0001626884167742335
Position 2134: 0.00014873071749631482
Position 279: 0.000146152825398652
Position 644: 0.00012625410981249253
Position 1764: 0.00011325285186901133
Position 180: 0.00011237258296480001
Position 2420: 9.884120874978281e-05
Position 2416: 8.403931252988766e-05
Position 1419: 7.533781250759774e-05
Position 295: 7.368252500306976e-05
Position 1722: 7.212710511530765e-05
Position 114: 6.491753019585383e-05
Position 568: 5.787288702899568e-05
Position 2666: 5.3575300071120364e-05
Position 237: 5.117559665295254e-05
Position 526: 5.0372892174535155e-05
Position 1536: 4.984378943180173e-05
Position 1585: 4.983471433263335e-05
Position 1146: 3.746560520449015e-05
Position 2276: 3.677434333309829e-05
Position 1833: 1.9986080200404485e-05
Position 1901: 1.9155606080586457e-05
Position 1495: 1.8175844821745395e-05
Position 1898: 1.7334374624353535e-05
Position 7: 1.5465448202139877e-05
Position 740: 1.4116418623652504e-05
Position 1861: 1.3477148130683672e-05
Position 1426: 8.145955900948048e-06
Position 2354: 6.387010846915984e-06
Position 1087: 5.729371451556648e-06
Position 187: 5.3536334289332325e-06
Position 1818: 5.225068860763348e-06
Position 726: 4.305880276441404e-06
Position 1306: 3.7919235948949957e-06
Position 2295: 3.7407310362333453e-06
Position 1597: 3.5988420362141102e-06
Position 854: 3.2028792853198722e-06
Position 1409: 3.013285632391682e-06
Position 2467: 2.4461347794125277e-06
Position 1974: 2.0070710361697164e-06
Position 1561: 1.7579849324977042e-06
Position 858: 1.7180013090575852e-06
Position 1525: 1.7064518295063723e-06
Position 1658: 1.383806848410936e-06
Position 1144: 1.3656254331534291e-06
Position 1864: 1.0343361129132986e-06
Position 2155: 9.696671971011433e-07
Position 1391: 9.625661256602907e-07
Position 2357: 9.504916685324487e-07
Position 1612: 8.247660804472463e-07
Position 1104: 7.142906986765603e-07
Position 248: 4.933917176215243e-07
Position 2447: 4.5114945555874665e-07
Position 1958: 4.409275433424636e-07
Position 405: 4.3890173646437876e-07
Position 1710: 3.927894455536091e-07
Position 1991: 3.822930465221736e-07
Position 2589: 3.3307738062556966e-07
Position 1607: 3.1969160022679133e-07
Position 953: 2.957097540869185e-07
Position 399: 2.6120681832094877e-07
Position 1552: 2.2146457389282248e-07
Position 30: 1.3372273060436676e-07
Position 1738: 8.960043810752526e-08
Position 1805: 5.7900946822360955e-08
Position 1852: 5.758975618642769e-08
Position 2609: 5.2384375988209674e-08
Position 2198: 4.3972106276559955e-08
Position 1248: 4.004001684877724e-08
Position 710: 3.9596632363766256e-08
Position 1777: 3.671676215146182e-08
Position 2658: 2.772539865699602e-08
Position 2623: 2.500369930869579e-08
Position 2181: 2.3847534419351388e-08
Position 1594: 2.1874504137956785e-08
Position 723: 1.399625581588868e-08
Position 1782: 1.1120314039097877e-08
Position 2441: 1.0768454719275371e-08
Position 1051: 1.0654067401626916e-08
Position 860: 1.0290866789463818e-08
Position 773: 8.575895967896513e-09
Position 844: 8.000775765663172e-09
Position 1930: 6.835136043804538e-09
Position 2650: 6.825021872709862e-09
Position 1096: 6.4320404388629145e-09
Position 1519: 6.06097440862618e-09
Position 2611: 5.7368422308487105e-09
Position 1985: 4.86819576573114e-09
Position 2166: 4.527768505505279e-09
Position 1079: 2.682518153898065e-09
Position 1245: 1.8882313126451487e-09
Position 1988: 1.027614968008014e-09
Position 884: 8.496659342429766e-10
Position 1250: 8.196112980391765e-10
Position 1928: 3.980569954343024e-10
Position 1070: 3.6581262446585346e-10
Position 251: 1.0868414719909709e-10
Position 1056: 7.802681221570834e-11
Position 744: 7.639361716029433e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 901: 0.9910642518443381
Position 1988: 0.9852201602661689
Position 1079: 0.9635497642527533
Position 2207: 0.9627430853634156
Position 773: 0.7944707541638093
Position 1266: 0.7386578753851376
Position 412: 0.7231549764881239
Position 1296: 0.14501126576015497
Position 1278: 0.11276739328955394
Position 1547: 0.04781678918992081
Position 1535: 0.03853959513153694
Position 1670: 0.021435292492674004
Position 1525: 0.020783202362463817
Position 1461: 0.019638279003587802
Position 2629: 0.019371845811140306
Position 248: 0.017149312052163277
Position 436: 0.01266356692392906
Position 2213: 0.011718263515160747
Position 193: 0.01039228394353864
Position 397: 0.008362672840188226
Position 1573: 0.006127722627905269
Position 735: 0.0051200528035087334
Position 696: 0.004719481078203088
Position 703: 0.00426207502824088
Position 2003: 0.0042242722579864216
Position 2405: 0.004079630803508948
Position 477: 0.003511488465830606
Position 1951: 0.0033709800360372743
Position 2525: 0.0016722963825911985
Position 2303: 0.0014028521607482147
Position 1956: 0.001268238621334357
Position 2425: 0.0012323723726967227
Position 2728: 0.0012010422876907569
Position 1821: 0.0011764275575247025
Position 1627: 0.0010850537035608117
Position 1995: 0.0010617880705085555
Position 447: 0.0009378690828182691
Position 2632: 0.0008131602810157754
Position 1727: 0.0006032889945958073
Position 523: 0.0005521262899906416
Position 503: 0.0005379441370387893
Position 273: 0.0005158798917315056
Position 2566: 0.00047890377784567506
Position 2539: 0.0004278305024100334
Position 1618: 0.00034810816204077475
Position 717: 0.00034260644606799555
Position 732: 0.00031440116115706183
Position 1708: 0.00029549769689404945
Position 2256: 0.0002587205175019838
Position 2463: 0.0002454689186232782
Position 450: 0.00024189417828044253
Position 2478: 0.00023674007167174218
Position 1885: 0.0001963679393382136
Position 1594: 0.00019135087584062771
Position 2502: 0.000187896887545692
Position 1577: 0.0001549151124087574
Position 1280: 0.00015303253105382797
Position 2447: 0.0001428595862629072
Position 513: 9.216243453942508e-05
Position 1552: 9.135289368071423e-05
Position 2592: 7.943055823073344e-05
Position 1309: 7.5376340204352e-05
Position 2261: 7.086383545178382e-05
Position 913: 6.756386257293782e-05
Position 510: 6.502806907172157e-05
Position 2315: 5.720724664806578e-05
Position 2009: 4.5730568763170056e-05
Position 2580: 4.412514944867111e-05
Position 710: 4.057346976669461e-05
Position 617: 3.926206380850263e-05
Position 1468: 3.523111612588835e-05
Position 2589: 3.246914040280142e-05
Position 1336: 3.2112683983117927e-05
Position 1002: 3.042406371807161e-05
Position 2487: 2.887194534034337e-05
Position 2431: 2.524323934119925e-05
Position 207: 2.40766812057259e-05
Position 1575: 2.3661344316414213e-05
Position 1585: 2.3249590268074674e-05
Position 1111: 2.2811616564133396e-05
Position 2491: 2.0665859665168254e-05
Position 584: 2.027949401296656e-05
Position 660: 2.011932905586535e-05
Position 1690: 1.963523819197875e-05
Position 214: 1.852356704278255e-05
Position 540: 1.7824525066005585e-05
Position 279: 1.5949138010036578e-05
Position 783: 1.3441587089982202e-05
Position 1113: 1.3228948023563512e-05
Position 2039: 1.2509203095983107e-05
Position 2285: 1.2114901812272856e-05
Position 816: 1.1651697150814098e-05
Position 2022: 1.1437200829578847e-05
Position 1119: 8.781723788113062e-06
Position 568: 8.6781656249014e-06
Position 922: 8.151646555761335e-06
Position 2594: 7.679007973640139e-06
Position 1179: 7.636327785889607e-06
Position 1864: 7.479670251569814e-06
Position 2013: 6.260943006853492e-06
Position 2265: 6.1560091112734355e-06
Position 1772: 5.949542539036144e-06
Position 2025: 5.852855636403763e-06
Position 792: 4.026097398277247e-06
Position 875: 3.9645126935986085e-06
Position 2019: 3.6777366761883624e-06
Position 1751: 3.129682431492284e-06
Position 1182: 3.0938586086183873e-06
Position 795: 3.009664658042446e-06
Position 2291: 2.952598523455619e-06
Position 256: 2.917403721178185e-06
Position 2666: 2.9103116847550853e-06
Position 2276: 2.7896429107714195e-06
Position 2181: 2.7770312417116843e-06
Position 1710: 2.6932207252018103e-06
Position 201: 2.5325293097482988e-06
Position 312: 2.5062497697321323e-06
Position 798: 2.4526325432616023e-06
Position 2016: 2.4434255768023945e-06
Position 1787: 2.000033447855092e-06
Position 300: 1.790892739420265e-06
Position 2121: 1.7311313919972755e-06
Position 1731: 1.509079948203557e-06
Position 1223: 1.334758543745218e-06
Position 2288: 1.296667948665438e-06
Position 1997: 1.2445080585151406e-06
Position 1849: 1.0351406477436397e-06
Position 949: 1.0100227372234228e-06
Position 2499: 9.615275998477748e-07
Position 2053: 9.325516665933477e-07
Position 812: 8.01699003305129e-07
Position 534: 7.925437653429577e-07
Position 1192: 5.82162196729561e-07
Position 849: 5.180730963889621e-07
Position 162: 5.149615966704923e-07
Position 2258: 4.905176259540423e-07
Position 2123: 4.351512434402379e-07
Position 2317: 4.1097577364602473e-07
Position 1406: 3.477083555820559e-07
Position 819: 3.4423775922677855e-07
Position 1122: 3.0336549561055857e-07
Position 2647: 2.9975901259448425e-07
Position 929: 2.8673094353440474e-07
Position 2037: 2.7698129261675064e-07
Position 1852: 2.766126603149167e-07
Position 291: 2.6467591633915784e-07
Position 2058: 2.625746494248866e-07
Position 1311: 2.448057406502723e-07
Position 946: 2.410521516487752e-07
Position 1012: 2.394723104662376e-07
Position 2049: 2.357337147111265e-07
Position 134: 2.187826476698895e-07
Position 546: 2.0703366867456387e-07
Position 1007: 1.8608983310066163e-07
Position 2031: 1.7007293462621783e-07
Position 1346: 1.4762307567901912e-07
Position 1349: 1.2048994278272606e-07
Position 1964: 8.266979737539474e-08
Position 1313: 7.898088085153866e-08
Position 2064: 6.978307859491502e-08
Position 943: 4.7569792982435004e-08
Position 984: 4.0644403900226784e-08
Position 932: 3.6373207288861794e-08
Position 1371: 3.538208612948319e-08
Position 1037: 3.413208612793558e-08
Position 169: 3.312788162689332e-08
Position 309: 3.0258552140113824e-08
Position 2061: 2.6240735143390503e-08
Position 1435: 2.332364323816092e-08
Position 2074: 1.8296642590635402e-08
Position 1353: 1.2996375422405485e-08
Position 2081: 1.2624773708865505e-08
Position 1735: 1.0843498875849428e-08
Position 2325: 9.861723902706593e-09
Position 2068: 8.630938456152709e-09
Position 2055: 8.285077847258732e-09
Position 1365: 6.46161296878606e-09
Position 2089: 4.590353853094573e-09
Position 1443: 3.877443431177936e-09
Position 318: 2.581795279883123e-09
Position 978: 2.5477064466496644e-09
Position 2094: 1.2436829780753038e-09
Position 1382: 1.1485270874712163e-09
Position 77: 8.003794029801006e-10
Position 1379: 2.935640400413027e-10
Position 109: 1.4588749481307596e-10
Position 2076: 1.356596175357367e-10
Position 79: 4.014817634060948e-11
Position 92: 1.9294851524915748e-11
Position 1387: 5.927965026032966e-12
Position 97: 6.198786597138636e-13
