Gene = AURKAIP1
index = 120
Annotated 5SS: [ 342  791 1496]
Annotated 3SS: [ 704 1049 1592]
SMsplice 5SS: [ 791 1496]
SMsplice 3SS: [1375 1592]
Partition function (log Z): -0.15736864768812453

Sorted 5' Splice Sites (High to Low Probability):
Position 1496: 0.9894586409631703
Position 1134: 0.5495375180113188
Position 791: 0.5062009376045343
Position 237: 0.19200209705407842
Position 342: 0.1838881054613863
Position 499: 0.09655190034531566
Position 45: 0.08372083979197562
Position 100: 0.04415439414586951
Position 358: 0.029373858756928432
Position 241: 0.01155177557234202
Position 1466: 0.008442166982245496
Position 953: 0.004539077874136154
Position 1023: 0.003763229481770717
Position 580: 0.002949355973453337
Position 832: 0.002904095321033882
Position 1204: 0.0017510491735896205
Position 321: 0.0017213981223277068
Position 84: 0.0016517960773710855
Position 421: 0.0015427250517474477
Position 336: 0.0013762332062190405
Position 454: 0.0009351063024257139
Position 1094: 0.0007292423671853924
Position 297: 0.0007067545124450948
Position 255: 0.0005651870824885987
Position 1305: 0.0004980167458121112
Position 584: 0.00040273950649476935
Position 75: 0.0002511414007607163
Position 571: 0.00023145909188007022
Position 19: 0.0001907148556232625
Position 1208: 0.0001779248673819982
Position 525: 0.00017786861419351836
Position 1436: 0.00017375124650887894
Position 1423: 0.0001644068552580834
Position 407: 0.00013319326805102597
Position 839: 0.00011060377093703094
Position 1190: 8.664876021385956e-05
Position 768: 6.576864795983758e-05
Position 1011: 4.802467850214115e-05
Position 1450: 4.0406069284262225e-05
Position 16: 3.2769667605125374e-05
Position 1280: 3.02796985761165e-05
Position 503: 2.7916642434468126e-05
Position 845: 2.450631685590107e-05
Position 935: 2.011151858947803e-05
Position 1039: 1.9885738313117366e-05
Position 1303: 1.986904644163446e-05
Position 874: 1.82645077101776e-05
Position 616: 1.522377072091632e-05
Position 145: 1.2126387891146634e-05
Position 559: 1.1735023967903966e-05
Position 590: 1.1632337349705577e-05
Position 1006: 8.50772486953519e-06
Position 1079: 3.435964468675692e-06
Position 1070: 3.2001541227006857e-06
Position 719: 2.5415939935675596e-06
Position 1034: 2.1263593647366676e-06
Position 557: 1.397932726687904e-06
Position 1500: 9.941643987763794e-07
Position 1008: 6.770822481697424e-07
Position 696: 5.539307931888344e-07
Position 640: 5.021597290347678e-07
Position 167: 2.7311068015782624e-07
Position 87: 1.8175912437922854e-07
Position 1598: 1.7429331475913953e-07
Position 698: 1.5681972227405068e-07
Position 1029: 3.4032511033677425e-08
Position 778: 8.930305006089661e-09
Position 1385: 3.2714080168980845e-09
Position 1695: 8.792742666153777e-10
Position 1375: 3.3590960905849e-10
Position 483: 1.967397290761846e-10
Position 1352: 7.989096233702465e-11
Position 1531: 4.110816018058138e-11
Position 1570: 3.1834352545850247e-13
Position 1544: 2.6005692559207034e-14
Position 1584: 2.3282017953357118e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 1592: 0.9998593369646155
Position 1375: 0.7084012980938321
Position 1049: 0.29867975422803306
Position 704: 0.1594777709592338
Position 1254: 0.14580274759061063
Position 920: 0.08232397715239598
Position 904: 0.07464049498074858
Position 1393: 0.049135713682492636
Position 1113: 0.045636547837404534
Position 666: 0.04287409589095968
Position 1408: 0.030127571227645866
Position 735: 0.02542952554382194
Position 1318: 0.017921768183605566
Position 1303: 0.011038254364637269
Position 631: 0.004578583530503555
Position 1197: 0.0039293205962001995
Position 244: 0.003813353416789421
Position 1274: 0.0031128996653444142
Position 1314: 0.0021346741958010083
Position 1133: 0.0019117751781943782
Position 1159: 0.0018513559078690565
Position 640: 0.0012452701926396097
Position 316: 0.0011040892925183
Position 790: 0.0008405545067369448
Position 395: 0.000825031664468187
Position 1349: 0.000816830373077103
Position 1168: 0.0005916253846619155
Position 1339: 0.000549003847412053
Position 940: 0.00048227175183466494
Position 945: 0.00038647892033669774
Position 111: 0.0003692782914033107
Position 1201: 0.0003539089177158015
Position 868: 0.00032767494744959
Position 1020: 0.0003208580043507437
Position 765: 0.0003083760272491162
Position 433: 0.00023037830488767126
Position 1322: 0.00021636513385736846
Position 932: 0.00016507365493576739
Position 1423: 0.00013265415887556782
Position 204: 0.0001020212260010114
Position 598: 8.830096645336024e-05
Position 1598: 8.62991920882482e-05
Position 922: 8.045049293621263e-05
Position 1432: 7.754800013071924e-05
Position 1222: 5.7012539482111885e-05
Position 1089: 5.3255335488578816e-05
Position 412: 4.6970917797508396e-05
Position 605: 4.2281964990037283e-05
Position 228: 3.940314241833737e-05
Position 952: 3.766175136698361e-05
Position 1212: 3.724591787790533e-05
Position 1224: 3.480979772451102e-05
Position 1079: 3.447039094806855e-05
Position 854: 2.9605714692999208e-05
Position 602: 2.2641343197213923e-05
Position 836: 2.2384312229340406e-05
Position 1137: 1.879821996244121e-05
Position 104: 1.778741417378259e-05
Position 566: 1.720405873377256e-05
Position 1465: 1.4871091605131076e-05
Position 1444: 1.1953248382058579e-05
Position 1328: 1.0838490833958556e-05
Position 362: 8.731683091447659e-06
Position 305: 8.015986850002627e-06
Position 571: 7.835301828635456e-06
Position 1737: 7.428100557681284e-06
Position 614: 6.534104059652433e-06
Position 1336: 5.872687387351912e-06
Position 1180: 5.489282560560665e-06
Position 297: 4.970086499153138e-06
Position 1631: 4.781283711449768e-06
Position 419: 4.653910556861879e-06
Position 610: 4.0289665226958666e-06
Position 220: 3.7983053463591642e-06
Position 794: 3.3169035281754803e-06
Position 341: 2.6525679472842644e-06
Position 331: 2.439701440348696e-06
Position 1471: 2.242308774133531e-06
Position 1751: 2.16370559145293e-06
Position 1461: 2.101468854456045e-06
Position 554: 2.0874709359385536e-06
Position 1174: 1.965032022584592e-06
Position 134: 1.9307573452594724e-06
Position 195: 1.8926113271060744e-06
Position 509: 1.7050216498424368e-06
Position 851: 1.6055016355371475e-06
Position 1608: 1.3376696837386728e-06
Position 773: 1.254276970809313e-06
Position 839: 1.2056202849739952e-06
Position 1441: 1.0964947693312672e-06
Position 356: 1.0691227541427592e-06
Position 540: 8.46499883706156e-07
Position 1183: 7.614211176024856e-07
Position 375: 4.777312404836729e-07
Position 87: 4.457525443837312e-07
Position 117: 3.1679900586559824e-07
Position 1656: 2.7934731169380576e-07
Position 417: 2.7789496550371146e-07
Position 467: 1.918131511267743e-07
Position 1485: 1.7523421428961568e-07
Position 819: 1.3035643336318694e-07
Position 1492: 1.1499110146363444e-07
Position 368: 1.112028526924372e-07
Position 798: 1.0628982379935877e-07
Position 1664: 1.060051541072191e-07
Position 1643: 6.378798736173392e-08
Position 1673: 6.006632905228923e-08
Position 1524: 3.519792662186312e-08
Position 1760: 3.259048842081518e-08
Position 122: 3.167083660378393e-08
Position 1531: 3.126263669850798e-08
Position 1753: 1.908545320209346e-08
Position 1695: 1.7670692852282968e-08
Position 1615: 1.3809106728943337e-08
Position 1604: 1.307710298054434e-08
Position 1647: 1.158136891732405e-08
Position 1474: 9.562208161440852e-09
Position 1495: 3.3842346147810564e-10
Position 1538: 1.9163424917680315e-11
Position 1500: 4.323908046214286e-14
