Gene = CD14
index = 319
Annotated 5SS: [633]
Annotated 3SS: [720]
SMsplice 5SS: [171 633]
SMsplice 3SS: [253 720]
Partition function (log Z): -2.735850264647604

Sorted 5' Splice Sites (High to Low Probability):
Position 633: 0.8744423900532436
Position 171: 0.7805319439703747
Position 1237: 0.2152891130864725
Position 852: 0.1669097801811422
Position 1036: 0.06642262746698682
Position 791: 0.06254288147098985
Position 869: 0.04421201092184617
Position 1285: 0.03278722349848314
Position 886: 0.030537531825958357
Position 441: 0.029026654689412384
Position 867: 0.02496962730820409
Position 1018: 0.018703551064494277
Position 449: 0.012233480787222127
Position 960: 0.011880342329685633
Position 1460: 0.011089755223790231
Position 610: 0.010888860983163516
Position 988: 0.00659979813579596
Position 150: 0.0048340728018128444
Position 369: 0.004391568613446963
Position 639: 0.0017421245442690073
Position 880: 0.0011609054730272984
Position 973: 0.000837655778253928
Position 1003: 0.0007426140185056358
Position 207: 0.0006367884427875519
Position 820: 0.00047808836269550963
Position 1588: 0.000413139714770167
Position 871: 0.00038869820776686636
Position 873: 0.0003626636106065488
Position 1437: 0.0001962766560401361
Position 1792: 0.00017409272551238933
Position 31: 0.00015646721562628097
Position 363: 0.0001528159519969022
Position 458: 0.00012880755625269458
Position 202: 0.00012038087192490009
Position 934: 8.912842084911492e-05
Position 553: 7.976904975311753e-05
Position 1678: 7.42473973318376e-05
Position 905: 6.957224491755851e-05
Position 1510: 6.308844498135172e-05
Position 563: 6.200529610124687e-05
Position 187: 5.663277756416393e-05
Position 760: 4.301675667138182e-05
Position 766: 3.314907185971848e-05
Position 1051: 2.7475930552285025e-05
Position 1049: 2.0016870170383546e-05
Position 530: 1.485961461480762e-05
Position 644: 1.2962667404644783e-05
Position 1813: 1.1984936427155777e-05
Position 16: 1.1674750896480088e-05
Position 504: 1.1173602373053208e-05
Position 59: 9.079008053799478e-06
Position 595: 8.253310702655523e-06
Position 1173: 7.249070060338195e-06
Position 652: 4.750433511400167e-06
Position 1788: 4.688896469844722e-06
Position 132: 4.139497441426658e-06
Position 1171: 3.2551818246450667e-06
Position 1176: 2.749783495865855e-06
Position 1800: 2.0686471105100824e-06
Position 1435: 2.0223284144805345e-06
Position 306: 1.4507883554494341e-06
Position 95: 1.3691978682309074e-06
Position 532: 1.3142587338488803e-06
Position 1778: 1.0504401831935518e-06
Position 1462: 9.022021173197039e-07
Position 1798: 7.851781882676254e-07
