Gene = CCL21
index = 314
Annotated 5SS: [125 348 625]
Annotated 3SS: [226 441 696]
SMsplice 5SS: [125 348 625]
SMsplice 3SS: [226 441 696]
Partition function (log Z): -2.4383311798297025

Sorted 5' Splice Sites (High to Low Probability):
Position 348: 0.9523737210522022
Position 125: 0.8919519623579616
Position 625: 0.8355704213259945
Position 366: 0.02471591137101413
Position 370: 0.013743877020773107
Position 647: 0.0005685638750901324
Position 735: 0.0004085131703883295
Position 289: 0.00020836717214551978
Position 643: 0.0002078526599856502
Position 500: 0.00019167104882322156
Position 380: 0.00018104366750563617
Position 94: 6.681556276749275e-05
Position 937: 2.508167771253019e-05
Position 402: 2.167698044781042e-05
Position 261: 1.5940407729672582e-05
Position 388: 1.0518533928817495e-05
Position 352: 9.100721643398158e-06
Position 66: 5.273948963461908e-06
Position 477: 4.577913618083714e-06
Position 442: 1.868167724418219e-06
Position 292: 1.0999202374163227e-06
Position 209: 6.057762701987364e-07
Position 663: 2.7903511468325013e-07
Position 230: 1.153913373421827e-07
Position 706: 7.540667053809486e-08
Position 961: 5.3403778263941755e-08
Position 251: 1.269759730474473e-08
Position 996: 6.356993385782477e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 696: 0.9215497859217039
Position 226: 0.8726729637218149
Position 441: 0.8361552979968864
Position 466: 0.035328301885687474
Position 898: 0.01454336268051319
Position 457: 0.008178619872428709
Position 544: 0.006668635040387978
Position 230: 0.00553671537714814
Position 266: 0.004079181599944805
Position 470: 0.0036776301938789896
Position 505: 0.0026289276825713316
Position 508: 0.001879326092714772
Position 261: 0.0013222034245356801
Position 730: 0.0009185284227246809
Position 299: 0.0009106626955324099
Position 490: 0.0005463470698910917
Position 1007: 0.00047110852493100847
Position 776: 0.0003039370101586358
Position 564: 0.0002989517868430457
Position 722: 0.0002959136201816391
Position 712: 0.0002848226283290009
Position 928: 0.00024042050577738187
Position 482: 0.00021638450554799238
Position 551: 0.00020283445856106284
Position 246: 0.00018400159551540914
Position 931: 0.00017341185687482806
Position 472: 0.00015013238426201804
Position 767: 0.00013841194584498278
Position 195: 0.0001315182362369469
Position 288: 0.00010459003433963414
Position 517: 8.100488056618202e-05
Position 1046: 5.4035303902865126e-05
Position 493: 4.488131038502026e-05
Position 703: 4.004490380278572e-05
Position 529: 3.1871633711055894e-05
Position 785: 2.5936310780174917e-05
Position 797: 2.5630189583443552e-05
Position 835: 2.1825576057227173e-05
Position 556: 1.7004768682381173e-05
Position 1019: 1.6750896559093165e-05
Position 192: 1.4589789141419266e-05
Position 735: 1.31072044536972e-05
Position 312: 1.1182092539971915e-05
Position 428: 1.0085663379380143e-05
Position 757: 9.377228300653945e-06
Position 309: 7.053278630722086e-06
Position 272: 6.935815465506032e-06
Position 742: 5.9147148392173466e-06
Position 340: 5.069678098425549e-06
Position 918: 4.819202522835069e-06
Position 1010: 4.686344893233368e-06
Position 586: 4.276236089112377e-06
Position 936: 4.170106045793379e-06
Position 1098: 3.7831663771825656e-06
Position 276: 3.49131008720676e-06
Position 821: 2.465776327531881e-06
Position 652: 2.3794611398201973e-06
Position 419: 2.2637469807667946e-06
Position 969: 1.8133488346163058e-06
Position 942: 1.7318435644676318e-06
Position 961: 1.5672628529335626e-06
Position 238: 1.437832606121231e-06
Position 832: 1.16285112051364e-06
Position 568: 1.1002964317149307e-06
Position 973: 9.438661954974999e-07
Position 614: 7.275873364088015e-07
Position 991: 6.996931151935397e-07
Position 952: 6.710924816725318e-07
Position 749: 6.684599879017565e-07
Position 410: 5.511222777265237e-07
Position 959: 4.787892823339581e-07
Position 979: 4.7117681383439987e-07
Position 810: 3.8778169095857584e-07
Position 739: 3.7099970060801803e-07
Position 807: 3.6077656017787914e-07
Position 988: 3.431864446681713e-07
Position 416: 3.1668910568275175e-07
Position 984: 2.442547726050306e-07
Position 599: 2.1804314639633256e-07
Position 573: 1.4932302770016803e-07
Position 320: 1.401733884186891e-07
Position 804: 1.336527458390763e-07
Position 946: 1.303763683352315e-07
Position 981: 1.296681767684722e-07
Position 955: 8.732025839054396e-08
Position 363: 7.597677815212964e-08
Position 595: 7.531440642883047e-08
Position 667: 4.7435413071578225e-08
Position 663: 4.5091166977155886e-08
Position 325: 4.021129054956747e-08
Position 604: 3.826865082190117e-08
Position 657: 1.997966507789147e-08
Position 944: 1.4328969233192019e-08
Position 622: 1.3787498376556914e-08
Position 638: 1.013025316594233e-08
Position 395: 5.352429944176306e-09
Position 160: 4.8791012180205244e-09
Position 181: 2.0999329669302012e-09
Position 352: 1.644608701791587e-09
Position 629: 1.3790904452898266e-09
Position 624: 8.542461596996989e-10
Position 169: 5.729765122814238e-10
Position 171: 8.609858982008833e-11
Position 184: 5.35115752228434e-11
Position 136: 5.3032003283283455e-11
Position 132: 2.4226167275972043e-12
Position 140: 5.33621873752196e-14
