Gene = AL035406.1
index = 50
Annotated 5SS: [11]
Annotated 3SS: [699]
SMsplice 5SS: [184]
SMsplice 3SS: [247]
Partition function (log Z): -10.186206239254101

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.8726620964400511
Position 11: 0.21289884743540452
Position 290: 0.013006048891210653
Position 43: 0.01029676456775367
Position 428: 0.003860544214158693
Position 204: 0.0025608868988878913
Position 150: 0.002374268967281417
Position 67: 0.001438124155869583
Position 346: 0.000492469402698142
Position 133: 0.00044533166866665794
Position 368: 0.00040586478742927714
Position 339: 0.00025142485973491286
Position 71: 0.00018101849593878797
Position 386: 0.0001247475407286747
Position 267: 3.6000885307639116e-05
Position 52: 9.52776881264889e-06
Position 249: 9.289458110052494e-06
Position 579: 8.331294977111148e-06
Position 475: 6.978760844902583e-06
Position 481: 2.7623810526578967e-06
Position 399: 1.6427385458193611e-06
Position 143: 1.5252377142965115e-06
Position 446: 1.383756461946894e-06
Position 500: 1.1077144192005241e-06
Position 621: 8.918797185349655e-07
Position 83: 7.57764579649311e-07
Position 188: 5.497188993183896e-07
Position 270: 5.319881860874091e-07
Position 124: 3.6946592870731527e-07
Position 545: 2.400820844817901e-07
Position 674: 2.3925175548045206e-08
Position 247: 1.6812906478829723e-08
Position 375: 8.969260639433201e-09
Position 562: 6.192189289122051e-09
Position 293: 2.58671529635406e-09
Position 60: 1.7751608385250184e-10
Position 637: 6.168144059879172e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 247: 0.5176010710222056
Position 90: 0.17174288699905615
Position 509: 0.14685587296966982
Position 280: 0.1102901257029258
Position 529: 0.058329195400232084
Position 728: 0.03447563265383361
Position 121: 0.027181108771445858
Position 609: 0.014833117631428295
Position 264: 0.012571357131971644
Position 568: 0.006237567168074628
Position 155: 0.0033188651742174276
Position 699: 0.0032337218888650846
Position 92: 0.0031199083381490806
Position 414: 0.0022813984690795534
Position 307: 0.0016515869146934911
Position 138: 0.0010755264331025229
Position 646: 0.0008354800901092538
Position 649: 0.000804846426881273
Position 310: 0.0007263270450924462
Position 543: 0.00048785899223352557
Position 358: 0.00046819495981564885
Position 685: 0.00036020589825923316
Position 572: 0.0003558234180628974
Position 732: 0.0003329399241459295
Position 346: 0.00031595387477053786
Position 289: 0.000227426777156905
Position 98: 0.00020823192017390023
Position 734: 0.0001841787298173908
Position 426: 0.00017899205576846403
Position 714: 0.00017835983836119641
Position 432: 0.0001392312448035312
Position 575: 0.0001380746041533506
Position 328: 0.00011305100745193138
Position 159: 7.791209868099496e-05
Position 475: 5.1480243103416936e-05
Position 320: 4.6508944211534374e-05
Position 611: 1.540710060346234e-05
Position 664: 5.785039336823955e-06
Position 218: 4.790111700842462e-06
Position 208: 3.5307903160859478e-06
Position 352: 3.4660381693978296e-06
Position 439: 2.620374566093617e-06
Position 621: 2.5513710573984034e-06
Position 169: 2.5057841832582367e-06
Position 616: 2.400802328752815e-06
Position 197: 1.7047011786619552e-06
Position 443: 1.6237902797835896e-06
Position 678: 1.4099132153710216e-06
Position 221: 1.0817840620164815e-06
Position 739: 4.871207995733975e-07
Position 446: 4.0124591262224635e-07
Position 178: 3.025456845319778e-07
Position 184: 1.2015798744048889e-07
Position 747: 1.054315634173996e-07
Position 188: 6.726421075627253e-08
Position 200: 5.7566747116785995e-09
