Gene = IL5
index = 696
Annotated 5SS: [ 188  429 1508]
Annotated 3SS: [ 395 1378 1612]
SMsplice 5SS: [ 188 1508]
SMsplice 3SS: [1378 1612]
Partition function (log Z): -4.176808535174858

Sorted 5' Splice Sites (High to Low Probability):
Position 1508: 0.899421969761213
Position 188: 0.8167705587023137
Position 429: 0.36029123045362316
Position 709: 0.18495530192727083
Position 1293: 0.04342585435831268
Position 1768: 0.03277866203686464
Position 229: 0.030349386725754348
Position 1722: 0.02566348683289216
Position 1707: 0.0177943822861736
Position 1178: 0.00422485783867855
Position 470: 0.0038577966273276713
Position 1256: 0.002978699540801879
Position 1833: 0.0026747474454730503
Position 94: 0.002298223330351079
Position 1446: 0.0014560168518828942
Position 1679: 0.0013956016888781702
Position 702: 0.0010453268723540257
Position 1809: 0.000829299801163427
Position 216: 0.000710493283984815
Position 1791: 0.0005379599696817041
Position 491: 0.0005160666643540581
Position 131: 0.00046352654482419717
Position 1640: 0.00035826978237769224
Position 357: 0.00026679188728947914
Position 766: 0.0001904284352461018
Position 123: 0.00018101911085856824
Position 221: 0.00016642009731204926
Position 1273: 0.00015079074973106067
Position 417: 0.00015012490989930292
Position 212: 0.000132245282519764
Position 449: 0.00012422717906594182
Position 1128: 9.824455214267421e-05
Position 921: 8.04020699408394e-05
Position 886: 7.409563868288265e-05
Position 719: 3.9497562456649796e-05
Position 806: 3.840680623664066e-05
Position 641: 3.7164447962274864e-05
Position 633: 3.2506985973202785e-05
Position 1297: 3.084993514437385e-05
Position 92: 2.819449470074368e-05
Position 344: 2.4565346926579267e-05
Position 433: 2.1817215946666454e-05
Position 364: 1.8968152915014322e-05
Position 1677: 1.837559547162012e-05
Position 1693: 1.8294678884264124e-05
Position 730: 1.1807733846303163e-05
Position 308: 9.284304691480113e-06
Position 376: 8.762800091139095e-06
Position 908: 7.714411914188503e-06
Position 1285: 7.638667528649137e-06
Position 66: 7.609060786623296e-06
Position 598: 6.614428379954544e-06
Position 725: 6.492685162291047e-06
Position 1075: 5.960828236681193e-06
Position 881: 5.202295930303922e-06
Position 560: 5.16966549394531e-06
Position 1913: 4.5432533136400136e-06
Position 1669: 4.511510721583852e-06
Position 245: 4.181208887857296e-06
Position 300: 4.004094234863247e-06
Position 668: 3.977280073441068e-06
Position 554: 3.5489373722580825e-06
Position 754: 3.096256131715511e-06
Position 239: 3.0754138639328376e-06
Position 1618: 2.983063146337123e-06
Position 564: 2.7482930628858673e-06
Position 548: 2.4164352863232576e-06
Position 1050: 2.391339219370827e-06
Position 616: 2.0906446929252584e-06
Position 359: 1.4125848955999898e-06
Position 1001: 1.4046033631243962e-06
Position 1975: 1.3568842333925286e-06
Position 1220: 1.3047396595806982e-06
Position 1125: 1.3017929606122357e-06
Position 1968: 1.2270623170081079e-06
Position 1207: 1.2152292114874052e-06
Position 502: 9.93013027191466e-07
Position 1512: 9.196790889042093e-07
Position 1580: 8.520752349544902e-07
Position 1436: 7.047301084318869e-07
Position 1549: 6.249079921076338e-07
Position 1573: 6.067160598452822e-07
Position 2005: 4.85258084507098e-07
Position 756: 4.65716414779153e-07
Position 974: 4.318377569630828e-07
Position 1541: 4.226144883339414e-07
Position 1271: 4.013534230737186e-07
Position 1037: 3.3171312541622813e-07
Position 638: 3.241160009610936e-07
Position 1474: 2.28452808226364e-07
Position 713: 2.2533105250263245e-07
Position 411: 1.5701401730023272e-07
Position 337: 1.3243952365096656e-07
Position 1451: 1.2848288077161606e-07
Position 1387: 1.233621904111449e-07
Position 1991: 1.1795168447837598e-07
Position 883: 1.174950572112748e-07
Position 645: 9.646555301087162e-08
Position 1122: 8.818037985986676e-08
Position 902: 6.927341664937703e-08
Position 994: 6.69417187479646e-08
Position 33: 6.02793421967366e-08
Position 1620: 5.264656878343606e-08
Position 942: 4.0607847923009264e-08
Position 1979: 3.19761465555844e-08
Position 1428: 2.9060211093835654e-08
