Gene = UCN2
index = 1526
Annotated 5SS: [71]
Annotated 3SS: [636]
SMsplice 5SS: [71]
SMsplice 3SS: [636]
Partition function (log Z): -9.320944500197308

Sorted 5' Splice Sites (High to Low Probability):
Position 71: 0.9023371596819145
Position 657: 0.29855867305026684
Position 1465: 0.029310386071032198
Position 1309: 0.017637045289991774
Position 110: 0.007999603002155162
Position 1673: 0.005896151291753499
Position 86: 0.005375328333520163
Position 1155: 0.005003475349485683
Position 1692: 0.0035236315587163507
Position 81: 0.0027635042861012113
Position 1698: 0.002626874758412677
Position 126: 0.0019378229381492528
Position 1314: 0.0016645726331409995
Position 65: 0.0014698845079600445
Position 973: 0.0008803790333452472
Position 1644: 0.0008078101616320816
Position 321: 0.0005071970277913468
Position 121: 0.00031974700490413135
Position 679: 0.0003187645537335799
Position 1189: 0.0002561533935197036
Position 813: 0.0002428153820750208
Position 5: 0.00023945245695328407
Position 305: 0.0002138730606241164
Position 687: 0.000211854871883912
Position 1008: 0.00018474170286761777
Position 712: 0.00018042546789075737
Position 101: 0.00014085433096510205
Position 1683: 8.634038641504203e-05
Position 345: 8.449357206981111e-05
Position 279: 7.96533487668541e-05
Position 327: 5.430217520711218e-05
Position 703: 5.278649841593411e-05
Position 472: 4.981402291387615e-05
Position 524: 4.892142506753313e-05
Position 212: 4.6038454341151976e-05
Position 1648: 3.767589019469264e-05
Position 1566: 3.5908569244305165e-05
Position 1119: 3.266035255519404e-05
Position 1088: 3.0199403313903464e-05
Position 1702: 2.6910794674664853e-05
Position 1679: 2.596362778349242e-05
Position 697: 2.3238355424724608e-05
Position 1002: 2.2726974119236516e-05
Position 1677: 2.229071433909087e-05
Position 273: 1.8560183358896495e-05
Position 1230: 1.4794177412623647e-05
Position 271: 1.2272025295252879e-05
Position 115: 1.1980098064534865e-05
Position 1260: 1.1932493829091813e-05
Position 659: 1.1582037110747267e-05
Position 1191: 9.898957781412558e-06
Position 262: 9.527055502970391e-06
Position 865: 7.695858332800347e-06
Position 1346: 7.4820824583080485e-06
Position 1225: 7.095831857471776e-06
Position 309: 7.087038628140976e-06
Position 1284: 6.916163701013376e-06
Position 1117: 5.8511579946493565e-06
Position 450: 5.303626530374315e-06
Position 595: 4.8601152100367944e-06
Position 1086: 4.2236837168070095e-06
Position 1171: 4.195781960192572e-06
Position 669: 4.0261329872850145e-06
Position 1193: 3.867012329344983e-06
Position 1510: 3.2502002596776645e-06
Position 880: 3.0028923702567087e-06
Position 1650: 2.9674693076697173e-06
Position 1908: 2.7880363750127357e-06
Position 1660: 2.6200771263509795e-06
Position 971: 2.3075927726044577e-06
Position 1262: 2.241188064313501e-06
Position 1610: 2.0666118155052484e-06
Position 400: 1.477665624425361e-06
Position 1720: 1.2766545851168337e-06
Position 1573: 1.0365957548816184e-06
Position 1709: 8.867236804359539e-07
Position 486: 8.159376232071204e-07
Position 1446: 7.072541421254513e-07
Position 1146: 7.022781659911561e-07
Position 1575: 5.836675554234917e-07
Position 1681: 5.188446196733347e-07
Position 416: 4.734509984212525e-07
Position 1340: 3.553045707431684e-07
Position 1330: 3.509159648067733e-07
Position 706: 3.280172130646657e-07
Position 526: 3.267532294814299e-07
Position 8: 3.262074101399656e-07
Position 1724: 3.1712216679645025e-07
Position 1246: 3.078221377273173e-07
Position 575: 2.3073880212763009e-07
Position 554: 1.587024486805583e-07
Position 1652: 1.5175279474301822e-07
Position 1323: 1.2228885751970077e-07
Position 392: 1.0542140649577632e-07
Position 430: 1.0085762935756635e-07
Position 1398: 6.846772327898609e-08
Position 1930: 6.212584673318106e-08
Position 581: 5.328286280004263e-08
Position 1526: 4.671997695441827e-08
Position 1969: 3.9690798747383217e-08
Position 1942: 3.482721801046771e-08
Position 1787: 3.411190419260013e-08
Position 1183: 2.1892080617296923e-08
Position 331: 1.3152884075338553e-08
Position 1387: 5.931117192063142e-09
Position 1910: 5.3080216656033335e-09
Position 1469: 4.960584102763255e-09
Position 1627: 4.046769724401161e-09
Position 1356: 2.121186449662031e-09
Position 1895: 5.487900360145162e-10
Position 1730: 3.668342269702817e-10
Position 1874: 2.9568444800471285e-10
Position 1776: 3.5475478970997886e-12
Position 1978: 1.4244588252426594e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 636: 0.4057804166000515
Position 735: 0.21440133328795405
Position 900: 0.13135061469844678
Position 1272: 0.10589978042959217
Position 345: 0.09549437077952803
Position 1356: 0.07731968882116216
Position 747: 0.04716071301772021
Position 1408: 0.03692700867821884
Position 595: 0.03401299589215966
Position 1804: 0.019048268575655163
Position 225: 0.015640900828231215
Position 759: 0.010846367599333799
Position 1537: 0.009926527448616185
Position 1541: 0.009582724836931069
Position 1480: 0.007342489824169549
Position 784: 0.007336031624145421
Position 1750: 0.007264619493184754
Position 1362: 0.006740007574875644
Position 1313: 0.006338581839380666
Position 1553: 0.005546426529493597
Position 192: 0.004317710869733468
Position 154: 0.0034237838674753465
Position 1582: 0.0031461467573189682
Position 1293: 0.0029820088681624573
Position 1387: 0.00268583158692679
Position 1154: 0.002640296779382344
Position 1086: 0.002556656149324779
Position 1947: 0.002214221583840615
Position 656: 0.0012029606684974333
Position 712: 0.0010643505411584838
Position 825: 0.0009920565936589478
Position 1825: 0.0009917642652924265
Position 1815: 0.0009637635405120019
Position 1907: 0.0009109189746940961
Position 1770: 0.0008939810761817766
Position 1464: 0.000848294837709742
Position 1117: 0.0006753669388404819
Position 1181: 0.0006333960818829354
Position 1990: 0.0005939895854425374
Position 695: 0.0005924969637637551
Position 1987: 0.0005767318003985584
Position 1690: 0.0005320688309524906
Position 1202: 0.00022714498490757705
Position 1622: 0.00022288866235223005
Position 2010: 0.0001698195112288431
Position 141: 0.00015975226984532015
Position 1446: 0.00011689273095518405
Position 1411: 0.00010425001618217841
Position 1670: 9.570314881312919e-05
Position 1164: 9.200270590207853e-05
Position 1602: 8.625075414367873e-05
Position 1754: 7.708140143313884e-05
Position 836: 6.795767036533341e-05
Position 1046: 5.356435213911841e-05
Position 1834: 5.0080770361807983e-05
Position 603: 4.6390114462940084e-05
Position 2007: 4.286677918639311e-05
Position 1492: 3.850923837619368e-05
Position 1837: 3.702226568587518e-05
Position 1952: 3.418991127895265e-05
Position 1225: 3.2260697292157255e-05
Position 1590: 3.0616248836520975e-05
Position 935: 2.6663515230389673e-05
Position 1606: 2.5282741930282276e-05
Position 1570: 2.3630836449471016e-05
Position 1924: 2.3397169535333525e-05
Position 1189: 2.313996287983542e-05
Position 1848: 2.295453586976041e-05
Position 618: 1.9797879910159848e-05
Position 1054: 1.9320481403219857e-05
Position 1246: 1.6643288742325652e-05
Position 1033: 1.4190060897385978e-05
Position 912: 1.3700262604542638e-05
Position 1841: 1.3612735495675143e-05
Position 697: 1.2671780125624039e-05
Position 916: 1.0137276940104148e-05
Position 1425: 9.819705023590309e-06
Position 827: 8.852447402382075e-06
Position 1183: 8.311699116012549e-06
Position 2032: 7.753869867134175e-06
Position 1961: 7.530576230388865e-06
Position 1660: 7.032882967948756e-06
Position 1140: 6.979038358647236e-06
Position 1720: 6.72324703586725e-06
Position 1965: 6.461824001715483e-06
Position 1456: 4.6874149090661965e-06
Position 926: 4.571567715571773e-06
Position 1696: 4.413889721017089e-06
Position 605: 4.017760510245139e-06
Position 1008: 3.758498161580431e-06
Position 1715: 3.723615996771235e-06
Position 232: 3.170459020108542e-06
Position 942: 3.0735378400141937e-06
Position 786: 2.9502391461164984e-06
Position 1014: 2.438918538885558e-06
Position 1677: 1.775080517036391e-06
Position 796: 1.4754803263460503e-06
Position 1423: 1.36365651229721e-06
Position 2041: 1.2797476046283994e-06
Position 245: 1.2624086367809796e-06
Position 988: 1.207712054771852e-06
Position 1998: 1.0772687284914349e-06
Position 1508: 1.0288296948370004e-06
Position 1041: 9.554028314816255e-07
Position 1494: 7.501341539474369e-07
Position 2013: 5.969412985779123e-07
Position 1330: 5.920863374282966e-07
Position 788: 5.614070333371099e-07
Position 1171: 5.515862423695147e-07
Position 1717: 2.253141694778015e-07
Position 994: 1.9885584458464205e-07
Position 1858: 1.2240743428771976e-07
Position 996: 7.637454552261301e-08
Position 939: 6.594276764344741e-08
Position 1706: 2.2571710483093276e-08
Position 998: 2.1761542238094353e-08
Position 1687: 1.463737670287466e-08
Position 1973: 8.576677641980711e-09
Position 74: 1.2277068935383715e-09
Position 115: 5.04359080918205e-10
Position 99: 4.683050848748552e-10
Position 109: 3.014045231662486e-10
