Gene = LCE5A
index = 769
Annotated 5SS: [155]
Annotated 3SS: [669]
SMsplice 5SS: [155]
SMsplice 3SS: [854]
Partition function (log Z): -8.322149772237543

Sorted 5' Splice Sites (High to Low Probability):
Position 155: 0.8422948340494764
Position 159: 0.10088090794874924
Position 129: 0.024343146697638672
Position 3: 0.01936509892701644
Position 1093: 0.01409512964071427
Position 539: 0.009187024763046244
Position 737: 0.004930235332475856
Position 75: 0.0017213586237131793
Position 350: 0.0016594110522372544
Position 366: 0.0013718351335433746
Position 496: 0.0011512772094872694
Position 1104: 0.0011477771099470966
Position 783: 0.0010975000504952908
Position 229: 0.000859879996854405
Position 761: 0.0006791016909747584
Position 433: 0.0006587058760403866
Position 199: 0.0003617407344111805
Position 759: 0.00030888414561110796
Position 242: 0.0002007163657646403
Position 771: 0.00016327388511532806
Position 37: 0.00015967221288885173
Position 484: 0.0001581437558049456
Position 148: 8.423448459691054e-05
Position 69: 3.4075724188222405e-05
Position 809: 3.197010761924301e-05
Position 490: 3.058265310950863e-05
Position 587: 2.5094806949699184e-05
Position 1108: 2.2424569014031593e-05
Position 43: 2.089401252821343e-05
Position 438: 1.340741660495745e-05
Position 441: 9.75619416025432e-06
Position 260: 8.849594448336837e-06
Position 358: 8.06143449293373e-06
Position 289: 6.381200736754e-06
Position 773: 4.874099484340542e-06
Position 373: 4.594487406585485e-06
Position 275: 4.371293146901463e-06
Position 8: 4.308823735527346e-06
Position 531: 3.0117699227668995e-06
Position 323: 2.891064104946538e-06
Position 403: 2.852045565769044e-06
Position 785: 2.6324734229700557e-06
Position 192: 2.5465286562858633e-06
Position 221: 2.0494150695149767e-06
Position 693: 1.964464813584758e-06
Position 1201: 1.7650292692817316e-06
Position 881: 1.5196430659178962e-06
Position 1106: 1.4366936241732967e-06
Position 307: 1.3760794379134913e-06
Position 884: 1.3201229612807057e-06
Position 642: 1.1041305876083541e-06
Position 435: 1.0371323470749867e-06
Position 965: 8.776745572964912e-07
Position 656: 5.828888910310545e-07
Position 975: 5.454959869809198e-07
Position 717: 5.079638743889179e-07
Position 845: 3.9210144844878197e-07
Position 451: 3.2439665753299063e-07
Position 941: 3.17789593217387e-07
Position 45: 3.102333285550118e-07
Position 253: 3.0367675209974914e-07
Position 832: 2.7516566775020173e-07
Position 1206: 2.3322345570330824e-07
Position 609: 1.712879001586591e-07
Position 620: 1.5664501682134002e-07
Position 918: 1.0906907772286809e-07
Position 953: 1.0892777928992085e-07
Position 848: 9.715494253913671e-08
Position 1221: 9.1828232627028e-08
Position 1166: 8.009450202396386e-08
Position 1212: 7.416939799855191e-08
Position 1189: 5.917485557235076e-08
Position 959: 2.419830722509572e-08
Position 807: 1.3841074631095653e-08
Position 310: 9.344963451947067e-09
Position 661: 1.637011091561921e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 854: 0.527069640890067
Position 669: 0.3586046351771818
Position 1028: 0.026078450643600194
Position 299: 0.022570376054004387
Position 872: 0.020899256413840224
Position 832: 0.015133398422478156
Position 939: 0.010758389326948054
Position 1204: 0.008863035671985708
Position 1252: 0.008577158950952388
Position 807: 0.004962067466732753
Position 332: 0.0037568676288465826
Position 908: 0.0029064196157062103
Position 620: 0.0027329129160412104
Position 1319: 0.002631163268550299
Position 632: 0.0025025129454925455
Position 679: 0.001078343225903842
Position 1001: 0.0008475320945711284
Position 1258: 0.0008350320028357958
Position 688: 0.0008078139595654602
Position 705: 0.0006091467655573477
Position 1288: 0.0005946229797420788
Position 918: 0.0005592457927032764
Position 461: 0.0004563867301953696
Position 1274: 0.00033780746906055323
Position 814: 0.0003125631246669327
Position 1146: 0.00029435944230719977
Position 989: 0.00027318137048488496
Position 947: 0.00024019849181921497
Position 638: 0.00021199796611366808
Position 304: 0.00019052181177843465
Position 596: 0.00016302204649572995
Position 759: 0.00013266681469926842
Position 959: 0.0001200199998506976
Position 965: 0.00011212779738829571
Position 489: 0.00010058960273601261
Position 1060: 7.882622608012856e-05
Position 428: 7.382219432047998e-05
Position 783: 7.237931404158025e-05
Position 228: 6.502122394450416e-05
Position 702: 5.140989366516708e-05
Position 349: 4.990687909388299e-05
Position 879: 4.316747340938973e-05
Position 93: 3.0801207594754685e-05
Position 269: 2.991155013384644e-05
Position 221: 2.8846427223758376e-05
Position 771: 2.6462789783142235e-05
Position 941: 2.5640879219544177e-05
Position 1036: 2.2785478539090254e-05
Position 1076: 1.783996057072593e-05
Position 97: 1.5793523397890668e-05
Position 1070: 1.2500032315013166e-05
Position 464: 1.1382050060131554e-05
Position 1296: 9.755076545160239e-06
Position 1112: 8.20984272447299e-06
Position 1166: 7.949332366919151e-06
Position 1092: 7.786637389524725e-06
Position 1063: 7.562511101970332e-06
Position 343: 7.560155719396544e-06
Position 1212: 7.473591259228104e-06
Position 1217: 7.098878977720414e-06
Position 457: 7.048080959416268e-06
Position 74: 6.818030363997946e-06
Position 192: 6.737233200366268e-06
Position 975: 5.882496374929286e-06
Position 525: 5.824382829019165e-06
Position 690: 5.62103406321988e-06
Position 310: 5.546459703887474e-06
Position 365: 5.503910436417517e-06
Position 80: 5.408138827710444e-06
Position 899: 5.3540999500943715e-06
Position 1101: 5.209119395550484e-06
Position 1085: 3.3785836515634457e-06
Position 642: 3.372719919843668e-06
Position 363: 3.285521269620743e-06
Position 707: 2.8708263104619477e-06
Position 483: 2.725310694965923e-06
Position 1073: 2.490771007349176e-06
Position 128: 2.0684945411702233e-06
Position 598: 1.7900314798723541e-06
Position 972: 1.687143547413986e-06
Position 711: 1.3996938391277632e-06
Position 146: 1.2199132227632413e-06
Position 496: 1.1772377649838465e-06
Position 141: 1.1278471206370002e-06
Position 307: 9.614471331846892e-07
Position 537: 9.370176370251121e-07
Position 370: 9.079352322395296e-07
Position 1118: 7.449787871688288e-07
Position 714: 5.007106401645409e-07
Position 199: 4.238199310251369e-07
Position 1268: 3.6799525688644365e-07
Position 102: 2.570821158508805e-07
Position 154: 1.51295094098441e-07
Position 173: 1.0374896342143363e-07
Position 509: 9.44951837970411e-08
Position 723: 8.007032230682287e-08
Position 379: 6.560493379058952e-08
Position 158: 4.684979635290574e-08
Position 112: 4.1470529613121285e-08
Position 122: 3.049637567617904e-08
Position 717: 2.987285899166454e-08
Position 531: 1.6943734034689325e-08
Position 109: 1.5650148339559807e-08
Position 373: 1.3983769081048325e-08
Position 165: 5.801800618822189e-09
Position 543: 5.10078346105699e-09
Position 539: 1.5683147058523067e-09
Position 500: 1.5621642554710086e-09
Position 505: 8.798881618932351e-11
