Gene = LOR
index = 789
Annotated 5SS: [34]
Annotated 3SS: [1226]
SMsplice 5SS: [  34 1176]
SMsplice 3SS: [1086 1244]
Partition function (log Z): -7.774457674974334

Sorted 5' Splice Sites (High to Low Probability):
Position 34: 0.8866693059569121
Position 1176: 0.8376405740531162
Position 832: 0.0947266568255307
Position 807: 0.03482776588254926
Position 455: 0.02061080459252935
Position 826: 0.008829260637323921
Position 947: 0.006822071335716847
Position 410: 0.003167136208861976
Position 240: 0.002845357181072051
Position 1383: 0.0027177952774576626
Position 980: 0.002500695754503962
Position 1180: 0.0024674178519871006
Position 1503: 0.0023218534369509217
Position 174: 0.0020044469938577465
Position 598: 0.0012018252026825195
Position 302: 0.0011907052269438255
Position 951: 0.000979520088496271
Position 589: 0.0009063183381118407
Position 620: 0.0008765987532123219
Position 839: 0.0008695671742527843
Position 1392: 0.000838598611784525
Position 25: 0.0006821245398508844
Position 1569: 0.0005894109604730257
Position 1419: 0.00033627096850133317
Position 1889: 0.0002833120513878886
Position 1644: 0.00027918366946949716
Position 602: 0.0002535381632277528
Position 1516: 0.0001867538406904542
Position 487: 0.00016919384701400772
Position 2276: 0.00016357028001883406
Position 377: 0.00015378894935826496
Position 2070: 0.00015282944852563815
Position 772: 0.00015247379618772
Position 215: 0.00014909204960384618
Position 224: 0.00013300204674374674
Position 494: 0.00011090932767755098
Position 1341: 8.85695043860574e-05
Position 1197: 5.5567863374166524e-05
Position 791: 4.9918955514879105e-05
Position 2105: 4.905626095481678e-05
Position 2225: 4.408931481636876e-05
Position 38: 3.290372561648767e-05
Position 631: 3.2253734534556414e-05
Position 369: 3.0914139149224826e-05
Position 1344: 3.0661264838280385e-05
Position 669: 2.6840834295792686e-05
Position 2199: 2.3388522802903386e-05
Position 1323: 2.285923061612869e-05
Position 73: 2.1976112664731705e-05
Position 1317: 1.9774355889773168e-05
Position 1298: 1.9633445576686682e-05
Position 902: 1.9045605395143685e-05
Position 870: 1.6047327511257403e-05
Position 40: 1.567753403022965e-05
Position 977: 1.3657945186229446e-05
Position 1599: 1.0470882336616244e-05
Position 683: 9.038906782993937e-06
Position 794: 6.9664224364686155e-06
Position 1903: 6.921059653719914e-06
Position 43: 6.521127409567776e-06
Position 1920: 5.992724181680433e-06
Position 530: 4.307283736037841e-06
Position 1874: 3.5663198416847016e-06
Position 1739: 3.4279451553652066e-06
Position 347: 3.3475209512311456e-06
Position 432: 3.292342624558803e-06
Position 700: 2.7525807662639503e-06
Position 1151: 2.5109829674460957e-06
Position 1715: 2.1717027559277317e-06
Position 716: 1.9167566651811014e-06
Position 217: 1.873162854546151e-06
Position 945: 1.6862261167594302e-06
