Gene = LCE1E
index = 767
Annotated 5SS: [150]
Annotated 3SS: [1063]
SMsplice 5SS: [150]
SMsplice 3SS: [1063]
Partition function (log Z): -8.980512282312464

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.552428042905191
Position 94: 0.17992718311450398
Position 633: 0.16108605030950676
Position 715: 0.11279325511257206
Position 531: 0.07160382018358759
Position 194: 0.022465646430383103
Position 608: 0.005406069241559441
Position 163: 0.004242373023302218
Position 61: 0.0034664073796157966
Position 528: 0.0018993167508602096
Position 903: 0.0017451968189445735
Position 975: 0.001473629458294513
Position 946: 0.0010797250226869508
Position 443: 0.0009575318862748923
Position 471: 0.0009387674719613968
Position 991: 0.0008167859148790605
Position 577: 0.0005493692170852017
Position 1130: 0.0005478241341414211
Position 1154: 0.0004463300069335659
Position 1142: 0.0004187193614482008
Position 1020: 0.00039052775645913605
Position 257: 0.00035473612126788086
Position 688: 0.0003410908538150165
Position 672: 0.00024784979214669635
Position 222: 0.00021758885094726695
Position 1035: 0.00018998103964916883
Position 1303: 0.00016786396407498974
Position 955: 0.00015004175194275186
Position 783: 0.00014692251984462884
Position 836: 8.520173533046458e-05
Position 98: 8.08280621756135e-05
Position 1005: 6.384992670963848e-05
Position 650: 6.171182356273065e-05
Position 850: 5.307967690714466e-05
Position 1337: 4.7162448553018635e-05
Position 262: 4.58324452141083e-05
Position 705: 3.929267084516229e-05
Position 85: 2.942470978348161e-05
Position 1221: 2.8047691676072074e-05
Position 718: 1.8979866196852837e-05
Position 863: 1.6733431375446076e-05
Position 1181: 1.5113091240939233e-05
Position 858: 1.2293076183571554e-05
Position 612: 1.1113709416741053e-05
Position 669: 8.112406546212295e-06
Position 869: 5.683652709403007e-06
Position 883: 5.462593855272643e-06
Position 76: 4.785107618851609e-06
Position 160: 4.298926750070397e-06
Position 229: 4.0846550977397275e-06
Position 637: 3.611799267396225e-06
Position 367: 1.841419209805065e-06
Position 785: 1.0899524316634225e-06
Position 1003: 9.157247318454827e-07
Position 1193: 9.092046377300264e-07
Position 100: 6.980153801691143e-07
Position 1156: 6.157844213914353e-07
Position 1071: 5.69313122013861e-07
Position 454: 4.389089506552221e-07
Position 1088: 3.791781454397827e-07
Position 616: 3.6527248394436317e-07
Position 1240: 2.7167272911701395e-07
Position 1183: 2.0106679189006282e-07
Position 1203: 1.9088090263279035e-07
Position 270: 1.7602647924844554e-07
Position 361: 1.3158944000379157e-07
Position 1264: 1.263255048847528e-07
Position 1112: 5.462524499094049e-08
Position 1219: 3.4963424033760486e-08
Position 1047: 3.1253464447637614e-08
Position 881: 2.8343345534409622e-08
Position 1402: 2.1037191376185637e-09
Position 1345: 1.5573772353381819e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1063: 0.7232320351496837
Position 781: 0.0739468474768248
Position 889: 0.07278950776296375
Position 470: 0.05616364398359443
Position 1219: 0.04425888222310943
Position 375: 0.03701631376415029
Position 260: 0.01754511463626386
Position 322: 0.016507973259028322
Position 518: 0.013817299564043818
Position 869: 0.010643050080093782
Position 739: 0.007696988401429426
Position 1375: 0.006552658321759606
Position 886: 0.005434960548846167
Position 1034: 0.005073820291402326
Position 633: 0.0032681713863069316
Position 379: 0.0032677416058390623
Position 1291: 0.003247619165426006
Position 1351: 0.0024031079023423244
Position 329: 0.0023812183334332784
Position 1100: 0.002219014907884975
Position 840: 0.0021464145762550234
Position 1336: 0.0018653821656243216
Position 589: 0.0015932874234077566
Position 1327: 0.0015703082243104084
Position 1485: 0.00142962616550444
Position 1249: 0.0013241707983824382
Position 479: 0.001061645950237925
Position 1203: 0.0009971498455551067
Position 1181: 0.0009876021114870997
Position 1097: 0.0009374011371852936
Position 527: 0.0006275237156952594
Position 597: 0.0006231141472654435
Position 1193: 0.0005131281068780943
Position 1225: 0.0003807856285774472
Position 1071: 0.0002992344048484138
Position 637: 0.0002692182414175703
Position 1358: 0.00026638949983266247
Position 686: 0.00023873457080786305
Position 279: 0.00023284204369712071
Position 1261: 0.00021321442154719007
Position 1396: 0.0002027695577324664
Position 672: 0.00019128070855062507
Position 1379: 0.00019086802975708367
Position 1130: 0.0001841423301327041
Position 296: 0.00017247703573749555
Position 1273: 0.0001583784694101445
Position 301: 0.00015115471731553244
Position 1386: 0.00010545487640777252
Position 270: 9.362775226752496e-05
Position 1154: 6.179516014776076e-05
Position 209: 5.8525900034537844e-05
Position 381: 5.3280797475025535e-05
Position 946: 5.304143616235471e-05
Position 1414: 5.2337502352737056e-05
Position 991: 3.765860822279719e-05
Position 333: 3.422689742943496e-05
Position 556: 3.4187767102289116e-05
Position 661: 3.091959608765723e-05
Position 901: 2.6345994203589788e-05
Position 524: 1.9103287641053357e-05
Position 496: 1.832839989395302e-05
Position 1142: 1.52141393737279e-05
Position 921: 1.4036705829931079e-05
Position 650: 1.2777086067168703e-05
Position 189: 1.1198524537565959e-05
Position 397: 1.029705035164926e-05
Position 1085: 9.570910046741112e-06
Position 213: 7.507441534523057e-06
Position 790: 7.240190644022603e-06
Position 1102: 7.187249244334019e-06
Position 1431: 7.118208259325388e-06
Position 705: 5.887084207842748e-06
Position 267: 5.803672494379888e-06
Position 405: 5.485319332835423e-06
Position 170: 5.131080316896426e-06
Position 337: 4.94399730009842e-06
Position 562: 4.3297588023864316e-06
Position 1106: 4.269117640154723e-06
Position 1444: 4.082509361601566e-06
Position 1233: 3.6776630666646308e-06
Position 1302: 3.6275998515491927e-06
Position 955: 3.080452653940253e-06
Position 535: 2.2658330091646663e-06
Position 1009: 2.184914750960602e-06
Position 1017: 2.020950596571844e-06
Position 1001: 1.8989419074941673e-06
Position 912: 1.8749377609779658e-06
Position 714: 1.7173851277738914e-06
Position 1421: 1.712196951589436e-06
Position 303: 1.419108161895009e-06
Position 407: 1.3155656218230338e-06
Position 387: 1.2998157504687307e-06
Position 1109: 1.2768387075583253e-06
Position 570: 1.0906523105739912e-06
Position 923: 9.780102189322656e-07
Position 567: 9.546514813020983e-07
Position 646: 9.436130386208001e-07
Position 132: 6.791204843074672e-07
Position 1360: 6.5836256733944e-07
Position 575: 4.4552858624194384e-07
Position 1318: 3.3950397709625573e-07
Position 144: 2.7694259419519835e-07
Position 1407: 2.628450540570734e-07
Position 1118: 2.3873783914344395e-07
Position 933: 2.3584309792629309e-07
Position 718: 2.0135062580799042e-07
Position 688: 1.711572446139256e-07
Position 149: 1.1486908954368042e-07
Position 1019: 7.651941441646576e-08
Position 186: 6.105061633887625e-08
Position 931: 5.9525330408853286e-08
Position 1112: 5.051277857464236e-08
Position 1003: 4.492409524491962e-08
Position 540: 1.0472086768132937e-08
Position 134: 9.370183012254763e-09
Position 550: 7.3920358375097936e-09
Position 1011: 6.927202015282148e-09
Position 160: 4.0976616886875485e-09
Position 157: 1.5399817479286006e-09
Position 154: 5.469677994164301e-10
