Gene = RP11-322N21.2
index = 1167
Annotated 5SS: [251]
Annotated 3SS: [848]
SMsplice 5SS: [251]
SMsplice 3SS: [848]
Partition function (log Z): -9.901365056008911

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.7396459132762353
Position 74: 0.19820126626931792
Position 197: 0.027191250305420567
Position 267: 0.02218718580430576
Position 371: 0.009355004796758427
Position 403: 0.003494779746726183
Position 277: 0.002342660777753345
Position 763: 0.001873695154519343
Position 25: 0.0009552852319119941
Position 149: 0.0007664063142626355
Position 310: 0.0003264434291031664
Position 530: 0.00024419888534449725
Position 140: 0.00011939690453966781
Position 116: 0.00010650907726050621
Position 565: 8.952480519648687e-05
Position 719: 5.565643725880108e-05
Position 229: 5.420734037663426e-05
Position 231: 3.6815791851299475e-05
Position 524: 1.2702913000492921e-05
Position 108: 8.290867796227259e-06
Position 615: 7.817730794259806e-06
Position 282: 7.406266538066001e-06
Position 634: 6.415045972424473e-06
Position 164: 6.1803270382148685e-06
Position 114: 4.9235549657495045e-06
Position 449: 2.6894350173796693e-06
Position 666: 2.2901170951179703e-06
Position 452: 1.1721961782332806e-06
Position 639: 1.0153769533440506e-06
Position 328: 7.715542553455967e-07
Position 315: 7.238762654629529e-07
Position 583: 2.0080834431597218e-07
Position 848: 5.0144507306584755e-08
Position 29: 2.4595559838805887e-08
Position 468: 9.2058584789938e-09
Position 895: 7.445764522098223e-09
Position 53: 9.1868545103892e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 848: 0.8890095692420212
Position 644: 0.04714567379867107
Position 892: 0.019133000156121377
Position 947: 0.014758686909994824
Position 855: 0.007218328787039348
Position 674: 0.00555412671153134
Position 354: 0.004381500327953664
Position 895: 0.003928932804628344
Position 188: 0.0035866319608247703
Position 295: 0.0020100649948520334
Position 138: 0.00148722733944726
Position 161: 0.0013043448540371854
Position 708: 0.0012263301680237662
Position 348: 0.000984466873469819
Position 104: 0.0007385127279318282
Position 164: 0.0006311764231140068
Position 559: 0.0006298267524161421
Position 864: 0.0005253893269394593
Position 523: 0.00029107089176509183
Position 521: 0.0002348052726018656
Position 304: 0.00023394872399773098
Position 148: 0.00021862847073601664
Position 468: 0.0002142971977419318
Position 728: 0.00021098680728546594
Position 517: 0.00019436083055355624
Position 655: 0.0001750203029338521
Position 250: 0.00016040741493666353
Position 719: 0.00012522423523310449
Position 759: 0.00010140482758918828
Position 571: 8.623742842744991e-05
Position 739: 5.916673032994371e-05
Position 803: 5.534093675646463e-05
Position 362: 4.785360714251529e-05
Position 978: 4.666703537071331e-05
Position 442: 4.4352856902821654e-05
Position 590: 3.7516756773899715e-05
Position 474: 3.678310400579354e-05
Position 609: 3.623174622947474e-05
Position 761: 3.475422355619712e-05
Position 229: 3.344466197029916e-05
Position 275: 2.7349460486616932e-05
Position 792: 1.7399422691289912e-05
Position 169: 1.5973510413459058e-05
Position 577: 1.335713762292518e-05
Position 756: 1.2125502703197496e-05
Position 297: 9.519055462194167e-06
Position 491: 8.822727891321637e-06
Position 786: 8.617994424121372e-06
Position 495: 8.308434123089286e-06
Position 905: 7.729460631609453e-06
Position 902: 7.48386649753236e-06
Position 370: 7.049263642076029e-06
Position 384: 5.937777866390996e-06
Position 530: 4.07822789890653e-06
Position 114: 3.904030617431199e-06
Position 255: 3.708495974851333e-06
Position 485: 2.6626701533832587e-06
Position 119: 2.57402790743401e-06
Position 788: 1.7439216838490221e-06
Position 375: 1.7407348064925386e-06
Position 89: 1.5542998733364666e-06
Position 125: 1.3998942158669152e-06
Position 615: 1.2282935372988012e-06
Position 611: 7.792710874091913e-07
Position 917: 2.819212454255123e-07
Position 498: 2.4116018687424066e-07
Position 620: 2.2665292683045737e-07
Position 914: 2.0158741005202865e-07
Position 378: 1.5617288489532866e-07
Position 909: 1.2466079946264515e-07
Position 128: 9.615340421437332e-08
Position 539: 7.344486577452708e-08
Position 772: 5.982203083641853e-08
Position 573: 5.960379335795809e-08
Position 259: 1.6380427971566834e-08
Position 534: 6.6463984917123e-09
Position 271: 5.991467006910786e-09
