Gene = LCE6A
index = 770
Annotated 5SS: [144]
Annotated 3SS: [631]
SMsplice 5SS: [144]
SMsplice 3SS: [631]
Partition function (log Z): -8.82152219292654

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.7194428425698215
Position 41: 0.3149552375137035
Position 446: 0.029206588471879173
Position 450: 0.02177488923241227
Position 918: 0.013551102307406365
Position 369: 0.010386079161393488
Position 348: 0.010139448872358847
Position 642: 0.003721201603990176
Position 237: 0.0018672617816170116
Position 527: 0.0017142051759761806
Position 304: 0.001584610778748414
Position 496: 0.0013610440849088521
Position 160: 0.0012140096301670239
Position 390: 0.0005444065909220373
Position 950: 0.00048708532075655993
Position 534: 0.0004153859550561793
Position 774: 0.0003966379578912977
Position 376: 0.00037555159759536844
Position 906: 0.0002385923644560557
Position 84: 0.00022517534548614264
Position 803: 0.00013930772173752486
Position 439: 9.713878381370157e-05
Position 75: 8.562412772241743e-05
Position 268: 7.591771307722224e-05
Position 846: 4.759880246164097e-05
Position 522: 4.7048390835398924e-05
Position 180: 2.791677505260177e-05
Position 566: 2.359858084021565e-05
Position 531: 1.977961746886627e-05
Position 604: 1.5615760982616648e-05
Position 281: 1.0831662105833876e-05
Position 116: 9.251723459277206e-06
Position 756: 7.869126494325687e-06
Position 923: 5.644709920978909e-06
Position 882: 5.240656339966361e-06
Position 692: 3.5767238556972405e-06
Position 880: 2.96124702751765e-06
Position 486: 2.2259723200064577e-06
Position 98: 7.88406219311863e-07
Position 454: 7.127428707420993e-07
Position 753: 6.20823849800339e-07
Position 20: 3.6409706730341264e-07
Position 655: 1.4701665055469215e-07
Position 777: 6.792849621570754e-08
Position 786: 5.4171199691982166e-08
Position 399: 4.4130051204444384e-08
Position 570: 2.3569774145587562e-08
Position 825: 9.469730428009998e-10
Position 500: 7.30608482781568e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 631: 0.4547724509805783
Position 560: 0.23049975863357502
Position 127: 0.21616154137364096
Position 417: 0.05419811874955147
Position 516: 0.03559327760785738
Position 1021: 0.03336593762551425
Position 347: 0.023182795980357135
Position 717: 0.01983760876341335
Position 770: 0.0189122152145472
Position 1085: 0.011001751891207914
Position 486: 0.009361790981388667
Position 522: 0.009346165116375107
Position 566: 0.007017195516835168
Position 786: 0.0021841897843879205
Position 1027: 0.001666399904586515
Position 773: 0.0013055539416784335
Position 292: 0.0008093345817446965
Position 421: 0.0008035956574718336
Position 734: 0.0007391793034308523
Position 496: 0.0006132844826976061
Position 664: 0.0004288314686153937
Position 795: 0.00040029064010258355
Position 975: 0.0003365791826839514
Position 971: 0.00024134040957663163
Position 586: 0.0002378505670014172
Position 446: 0.0002267954186124833
Position 645: 0.000179427558561412
Position 849: 0.00011125057086986765
Position 228: 0.0001041780771884995
Position 527: 7.104998942342025e-05
Position 832: 5.8422026875346835e-05
