Gene = GeneID_100174932GR-A21
index = 8
Annotated 5SS: [  226 82201 84742 90658 97067]
Annotated 3SS: [ 81489  84557  90457  96941 114066]
SMsplice 5SS: [  226 42910 47557 48942 50231 51381 51598 81620 82201 84742 90658 96202
 97067]
SMsplice 3SS: [ 42616  47439  48648  50060  51191  51447  81489  82041  84557  90457
  96125  96941 114066]
top_k =  500
Partition function (log Z): -76.46448229394817

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9891379577365643
Position 7635: 0.17247055306457038
Position 9733: 0.1360730046075248
Position 12155: 0.1272221763173228
Position 11247: 0.11497559014837944
Position 8941: 0.11241524907365227
Position 8990: 0.09597524344775726
Position 5426: 0.09093680457747777
Position 11334: 0.08698986075270629
Position 12132: 0.06496451963859391
Position 11288: 0.05364596361551529
Position 5631: 0.052314995859289726
Position 9035: 0.029787263098676763
Position 2441: 0.029551070952654884
Position 6997: 0.017679841093763794
Position 495: 0.016148275533258323
Position 785: 0.016089280861569806
Position 11415: 0.015063753292680697
Position 7085: 0.01413228221446308
Position 10011: 0.01382378233258365
Position 10040: 0.010942036406017985
Position 7052: 0.010634951610967227
Position 10588: 0.010406653089299014
Position 1653: 0.008354474829597768
Position 1763: 0.0066993125391730905
Position 9920: 0.006674555623059046
Position 1780: 0.006531445909317527
Position 4456: 0.00572141604239381
Position 7666: 0.004735072770872007
Position 10082: 0.004729916903029624
Position 113: 0.004015113346361531
Position 2179: 0.0036947764791275092
Position 1886: 0.003297674193250241
Position 516: 0.0024799550618921787
Position 12120: 0.0024658003005117793
Position 8970: 0.0023140533433311647
Position 1821: 0.002264387271195656
Position 28: 0.002010111679958765
Position 5245: 0.0019332377565412504
Position 7369: 0.0015380697486989344
Position 6355: 0.0008942322798966462
Position 3848: 0.000800067794034443
Position 6169: 0.000796044275405499
Position 387: 0.0007224938621211821
Position 2462: 0.0006316634039191969
Position 7120: 0.0006016629747900552
Position 3391: 0.00045683048410552637
Position 4771: 0.0003998784274226135
Position 14: 0.00028292012079809997
Position 7584: 0.0002294959934777609
Position 375: 0.00020069165944919143
Position 4577: 0.00017072736978423022
Position 5483: 0.00014211154645196698
Position 1912: 0.0001283130919629613
Position 505: 0.000124253094860768
Position 179: 0.00012414153216451707
Position 700: 0.00011783431848455885
Position 1111: 0.00010297857624759459
Position 1621: 0.0001026869205623145
Position 636: 0.00010232986988050003
Position 5434: 5.8099637518838976e-05
Position 6261: 5.069738156722494e-05
Position 121: 3.042110609733148e-05
Position 131: 2.6131001279548175e-05
Position 102: 1.5868955723830508e-05
Position 1006: 1.3619712444154132e-05
Position 311: 1.3107334917967502e-05
Position 207: 8.882833625079359e-06
Position 947: 8.412757912201788e-06
Position 1419: 5.099618455351044e-06
Position 139: 4.217606331216644e-06
Position 160: 3.5564730480969355e-06
Position 729: 2.6920780869799256e-06
Position 688: 2.4549692240930787e-06
Position 1400: 1.4962486651209546e-06
Position 1098: 1.4568276535513543e-06
Position 174: 1.3694855520451946e-06
Position 958: 1.365411405955091e-06
Position 230: 1.29067716281719e-06
Position 171: 1.1475552118024035e-06
Position 72: 9.139420214044702e-07
Position 723: 8.451416509990481e-07
Position 282: 8.015608309572619e-07
Position 757: 7.888793911788903e-07
Position 955: 6.821394131999527e-07
Position 1011: 5.535496418532439e-07
Position 751: 5.53332220967838e-07
Position 34: 4.500526443800792e-07
Position 675: 3.6897998230527554e-07
Position 199: 2.705434705868328e-07
Position 361: 1.0517783851866547e-07
Position 328: 7.42315583315263e-08
Position 1429: 6.880989879074026e-08
Position 468: 1.0027553894535515e-08
Position 128: 7.487762306192996e-09
Position 221: 4.331524185361638e-09
Position 152: 4.118989058420286e-09
Position 479: 4.001766190681794e-09
Position 391: 1.6015792432008237e-09
Position 345: 1.5703454445336535e-09
Position 389: 1.387040583578096e-09
Position 326: 1.1380162025613693e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 22674: 0.5536855786785909
Position 12077: 0.28396934250837574
Position 11174: 0.26451353144050593
Position 8894: 0.24538206075080424
Position 12864: 0.2197454261975915
Position 7494: 0.17887595963179184
Position 9608: 0.1708266554460606
Position 5355: 0.12694814480069005
Position 19446: 0.050194286343245804
Position 6938: 0.0470296534379871
Position 9840: 0.04285396525164635
Position 11016: 0.03417633744528783
Position 2258: 0.022249878915237224
Position 1497: 0.020312842798361902
Position 616: 0.015210918316363464
Position 338: 0.013387446712761344
Position 10506: 0.010406653089299014
Position 5516: 0.007031294405272237
Position 5291: 0.005931933376818193
Position 2059: 0.005831079527932731
Position 12000: 0.004653889231204132
Position 1639: 0.0037378615140304387
Position 5526: 0.0035203010804009485
Position 1709: 0.0034852156733043175
Position 2178: 0.002553331455215178
Position 5110: 0.0024077905330503373
Position 4402: 0.0022783124355165076
Position 13616: 0.002085992969553833
Position 4280: 0.002009558764303769
Position 318: 0.0016093477326476393
Position 2418: 0.001368515933319706
Position 468: 0.001279515573946712
Position 3598: 0.000802397404726795
Position 4324: 0.0007900862586287428
Position 6199: 0.0005087501754560473
Position 10587: 0.0004803439183958645
Position 6033: 0.0004662073774441692
Position 2223: 0.00044285883902381524
Position 4373: 0.0004340042145262523
Position 2392: 0.0004057972648256501
Position 4644: 0.0004024750722185783
Position 6100: 0.00038681125131265865
Position 6188: 0.000385482104440599
Position 356: 0.0003595201674439956
Position 3278: 0.0003420698155021874
Position 2117: 0.00024571692381951746
Position 4385: 0.00021381140177049557
Position 8451: 0.00021002757395103291
Position 4225: 0.0001870177432499622
Position 8412: 0.00018386030534431295
Position 8518: 0.0001805006551240937
Position 112: 0.00015576011720237477
Position 574: 0.00012841801865097257
Position 3291: 0.00011476066860334095
Position 1384: 0.00011412884233732022
Position 9080: 0.00011146593893890765
Position 980: 9.432651862034646e-05
Position 482: 8.369126751559466e-05
Position 604: 7.887446524870613e-05
Position 9575: 6.879850681171194e-05
Position 854: 5.462168191393875e-05
Position 9099: 4.7736453092748906e-05
Position 7738: 4.383695049196528e-05
Position 7593: 3.573121907561317e-05
Position 2132: 3.0880105992773886e-05
Position 5544: 1.8169652325669544e-05
Position 361: 1.0333095962336336e-05
Position 1598: 9.156780403121742e-06
Position 1552: 8.596135549915153e-06
Position 6460: 8.22912907966079e-06
Position 195: 6.5925913583658526e-06
Position 1657: 3.468955581249799e-06
Position 4974: 3.1444132287397114e-06
Position 4537: 2.471935878533678e-06
Position 3907: 2.4581652961921595e-06
Position 769: 2.3819935150820895e-06
Position 515: 2.2918703220818434e-06
Position 1216: 1.7666553454018365e-06
Position 881: 1.75915905795235e-06
Position 1284: 1.701626051919184e-06
Position 387: 9.919934771288828e-07
Position 1219: 8.931589951533359e-07
Position 1253: 7.344525446779162e-07
Position 895: 4.012231807894e-07
Position 856: 3.4861939498809525e-07
Position 134: 2.0321286314118624e-07
Position 442: 7.706737973708787e-08
Position 171: 7.670131285753395e-08
Position 588: 7.456915514324079e-08
Position 207: 1.137306856222343e-08
Position 326: 9.502706616047755e-09
Position 282: 2.6206116707916337e-09
Position 499: 8.496075382126081e-10
Position 495: 2.107672710927603e-10
Position 723: 1.5823748032947408e-10
Position 230: 1.40990910406707e-10
Position 735: 3.529251713516168e-11
Position 566: 2.8438405642146295e-11
