Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  500
Partition function (log Z): -57.891071713077736

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9997633947412363
Position 25456: 0.9528003765060453
Position 12516: 0.2393554594051429
Position 12798: 0.1943598592796232
Position 13401: 0.1892381136817198
Position 11984: 0.014082192083675754
Position 13095: 0.01058821225585222
Position 442: 0.006053761912740295
Position 12924: 0.0037935068423213866
Position 3541: 0.003180235625280676
Position 3537: 0.0029508661713106075
Position 2011: 0.0028431232174164554
Position 9130: 0.0026324804959256256
Position 6564: 0.0022360717785679185
Position 12746: 0.0016552644124467992
Position 548: 0.0011922941452015936
Position 11146: 0.0009569710240906639
Position 3081: 0.0006402165578607572
Position 2603: 0.0003279781471582247
Position 3234: 0.00018188447135812288
Position 3060: 0.00013175946169926282
Position 3300: 0.00012835414543019616
Position 3242: 9.808567434970896e-05
Position 801: 2.5008552528543882e-05
Position 239: 2.128329358533395e-05
Position 1816: 1.9204062119945545e-05
Position 3091: 1.4569853763400506e-05
Position 1103: 1.2753939274182361e-05
Position 1620: 1.0234406396367793e-05
Position 1107: 9.633934355359282e-06
Position 589: 9.044012685603588e-06
Position 1111: 5.91012749605916e-06
Position 1348: 5.814375215201667e-06
Position 2334: 5.024024915116441e-06
Position 2351: 4.756617792739488e-06
Position 268: 4.137645354107412e-06
Position 555: 3.5339594176320154e-06
Position 1043: 3.454652159650932e-06
Position 1205: 1.6893879087164764e-06
Position 374: 1.6103818300327779e-06
Position 90: 1.3026325210312421e-06
Position 253: 1.291034887800914e-06
Position 334: 1.2627452762146554e-06
Position 1101: 1.0788419078201105e-06
Position 389: 8.40418286035908e-07
Position 1016: 5.725810742581619e-07
Position 692: 5.032854700513851e-07
Position 336: 4.59814224258754e-07
Position 47: 4.439265169750378e-07
Position 84: 3.4349742933974086e-07
Position 1001: 2.709928234786621e-07
Position 162: 1.6485255828527176e-07
Position 446: 1.0652591145307941e-07
Position 503: 1.0318103562434027e-07
Position 221: 7.566336624687004e-08
Position 292: 5.5463115135548736e-08
Position 141: 2.0545623837535097e-08
Position 13784: 1.014482166458413e-08
Position 338: 8.349287166620514e-10
Position 340: 4.296472969005961e-10
Position 569: 3.4865044771602097e-10
Position 671: 3.2207825447829545e-10
Position 528: 1.9202294735450583e-10
Position 431: 1.8664639141468308e-10
Position 620: 1.3915027037241837e-10
Position 510: 6.371292335849402e-11
Position 505: 5.855895323223613e-11
Position 415: 8.631854554632208e-12
Position 5486: 4.391406525102719e-12
Position 5108: 3.1207717804577054e-12
Position 5104: 2.9568800843349936e-12
Position 5684: 2.8012565075930064e-12
Position 3711: 1.877441121827589e-12
Position 5015: 8.698214448296223e-13
Position 5653: 5.357889826848372e-13
Position 5172: 4.076063649818545e-13
Position 3806: 4.833744328875482e-14
Position 1534: 6.7044660626356874e-15
Position 2205: 5.600587390461861e-15
Position 2021: 3.62326465575482e-15
Position 2004: 1.9385249050310217e-15
Position 1890: 1.0431551203922823e-15
Position 904: 3.3728539562631483e-16
Position 968: 7.059278811566548e-17
Position 725: 1.6060626401183005e-20
Position 512: 2.130980092507987e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 25258: 0.999214046346892
Position 28148: 0.24401054018384796
Position 12632: 0.23449835756314286
Position 11861: 0.20948722607248008
Position 25528: 0.197339491709987
Position 25523: 0.18093444007155418
Position 13296: 0.16513708460137574
Position 26159: 0.14200267691929214
Position 27263: 0.09589448099794158
