Gene = Dim1
index = 1136
Annotated 5SS: [164]
Annotated 3SS: [262]
SMsplice 5SS: [164]
SMsplice 3SS: [262]
top_k =  500
Partition function (log Z): -7.323973563347156

Sorted 5' Splice Sites (High to Low Probability):
Position 615: 0.6673314050908629
Position 164: 0.6450020502619932
Position 400: 0.06413147635524404
Position 263: 0.03978438209662064
Position 601: 0.03900336630812126
Position 380: 0.030679262203228034
Position 338: 0.01807079486353176
Position 7: 0.008063242111147166
Position 555: 0.005954359555699632
Position 168: 0.005634374612270549
Position 158: 0.003295279297687861
Position 177: 0.002841076396898399
Position 59: 0.002571747697904357
Position 216: 0.002323756933896411
Position 26: 0.0022640807166760795
Position 201: 0.001476844709832467
Position 181: 0.0012064857095419772
Position 572: 0.0008234460035009647
Position 161: 0.0005453136558529703
Position 624: 0.0005040030711003132
Position 549: 0.0004703063931154139
Position 125: 0.00023753400976131
Position 409: 0.00018401078244616002
Position 11: 0.00014763804412495335
Position 406: 0.00013164563844330417
Position 319: 0.00011478453120338188
Position 365: 0.00010894754229632162
Position 425: 9.173865478031499e-05
Position 539: 7.06236390172303e-05
Position 567: 5.302311025085304e-05
Position 619: 3.819668512456598e-05
Position 91: 9.383357502852047e-06
Position 564: 6.73930638411117e-06
Position 314: 5.531359997760359e-06
Position 640: 4.426078423396363e-06
Position 276: 4.387800045620487e-06
Position 530: 2.9836190892429894e-06
Position 36: 1.0939495634283047e-06
Position 353: 8.235241993325041e-07
Position 541: 6.062184336969265e-07
Position 42: 4.862225423168829e-07
Position 430: 3.169064741728584e-08
Position 250: 2.786542052428765e-08
Position 88: 1.620692981446858e-08
Position 270: 6.375577380585801e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.5608639832306926
Position 686: 0.4419310847701046
Position 659: 0.26720313385934885
Position 448: 0.15954974563402233
Position 231: 0.07060701316209764
Position 324: 0.02834858628734424
Position 689: 0.008184092243765862
Position 84: 0.002409634315953174
Position 124: 0.0016414763922537265
Position 337: 0.0012056739095482893
Position 487: 0.0005652022803896202
Position 245: 0.00034503624818489446
Position 606: 0.00011213176914414727
Position 397: 0.00010014195621146868
Position 313: 5.45940518931808e-05
Position 505: 2.2541642078823144e-05
Position 640: 1.4801566752844377e-05
Position 511: 1.4315876455386043e-05
Position 614: 3.703383547209239e-06
Position 343: 3.210173929981955e-06
Position 514: 2.4370273295039876e-06
Position 575: 2.198042353957914e-06
Position 379: 1.612993544732065e-06
Position 601: 1.2943595624103238e-06
Position 406: 1.2652473526975215e-06
Position 133: 8.001894303920205e-07
Position 177: 5.383593913462111e-07
Position 559: 3.7726539081364386e-07
Position 586: 3.5782969308283047e-07
Position 148: 3.188135644449012e-07
Position 190: 2.7597513871552426e-07
Position 187: 1.1205617223721577e-07
Position 151: 3.2762227517654903e-08
Position 334: 1.6442943932852587e-08
Position 161: 1.0553435196851916e-10
Position 168: 1.525642958659329e-11
Position 206: 1.2531438083064481e-11
Position 158: 5.795008431704861e-12
