Gene = BG642163
index = 42
Annotated 5SS: [95]
Annotated 3SS: [152]
SMsplice 5SS: [95]
SMsplice 3SS: [519]
top_k =  500
Partition function (log Z): -8.278495711570246

Sorted 5' Splice Sites (High to Low Probability):
Position 95: 0.6354016029824531
Position 306: 0.20362835306935412
Position 838: 0.16815927375203268
Position 190: 0.09655691928360166
Position 589: 0.08987741114199113
Position 712: 0.06261728464301819
Position 133: 0.05442141230273336
Position 114: 0.025119180514071908
Position 1261: 0.016540081168692794
Position 182: 0.009221198265385009
Position 227: 0.005766637653476235
Position 1344: 0.00471536155026706
Position 697: 0.004135878465168995
Position 1323: 0.0034704523470294995
Position 663: 0.0032890855116029876
Position 658: 0.0020069056687525666
Position 976: 0.001967157957203353
Position 284: 0.0017188985756110377
Position 408: 0.0014508707888700452
Position 74: 0.000866872955875141
Position 1117: 0.0006981062331808714
Position 1141: 0.0005048558928290867
Position 137: 0.00025317563243959864
Position 56: 0.00020561951068430041
Position 917: 0.00019852765504986948
Position 25: 0.0001729808944524201
Position 1267: 8.124153816294637e-05
Position 1389: 2.8925861680997458e-05
Position 19: 2.4355291876398027e-05
Position 53: 1.95307232511017e-05
Position 595: 1.9411391901323054e-05
Position 188: 1.9003953154169518e-05
Position 293: 5.898625252194481e-06
Position 963: 4.418240393066486e-06
Position 250: 3.7713558896187516e-06
Position 544: 1.5895374320205361e-06
Position 1084: 1.4930467129706536e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 519: 0.6370798880950869
Position 882: 0.11847507623907663
Position 483: 0.1183175786410487
Position 756: 0.10120800024922665
Position 152: 0.0946421024752622
Position 227: 0.07668788948346188
Position 1178: 0.05754695543544488
Position 711: 0.04706328875664873
Position 1242: 0.03142774733521383
Position 1059: 0.03107992018606298
Position 979: 0.014398467602973197
Position 1122: 0.012199126542362056
Position 1565: 0.012014705536147417
Position 1322: 0.00730974679544388
Position 1540: 0.005393133993582684
Position 1292: 0.004650491909738933
Position 588: 0.00455238127667391
Position 1481: 0.0036691493811149417
Position 240: 0.0035138678303747593
Position 1017: 0.002390584165381825
Position 368: 0.0020449824609166238
Position 633: 0.0014000880471150255
Position 330: 0.0013040034730316056
Position 963: 0.0012489546972423665
Position 697: 0.0008606964376746854
Position 774: 0.0007790968577442048
Position 837: 0.0005628751310683389
Position 439: 0.0005495633748523466
Position 1341: 0.0003989811539410608
Position 154: 0.00016195387652987115
Position 309: 0.0001582815367698632
Position 644: 2.4799570079792608e-05
Position 1141: 2.004304861371138e-05
Position 666: 1.0212244823731248e-05
Position 318: 9.707270069515674e-06
Position 110: 6.709065518141515e-06
Position 1019: 3.3107292482512686e-06
Position 779: 3.0800281264982272e-06
Position 651: 2.3746108097743755e-06
Position 1068: 1.718707908889521e-06
Position 917: 1.2426729834410326e-06
Position 95: 4.733796796519033e-07
Position 663: 3.51810543837157e-07
Position 99: 1.099195660728291e-07
Position 114: 2.3132252345083955e-08
Position 66: 3.769823357479821e-09
Position 298: 2.58152702573986e-09
Position 74: 2.053246387452951e-09
Position 62: 4.0950062525123877e-10
