Gene = yuri
index = 1936
Annotated 5SS: [ 923 1361 1723 2318 2623 2781 2975 5911 6189 6520 6894]
Annotated 3SS: [1027 1563 2065 2387 2679 2851 5753 5982 6250 6586 7105]
SMsplice 5SS: [ 231  923 1361 1723 2318 2623 2781 2975 5911 6520 6894]
SMsplice 3SS: [ 377 1027 1563 2065 2387 2691 2851 5753 5982 6586 7105]
top_k =  500
Partition function (log Z): 16.223713838826406

Sorted 5' Splice Sites (High to Low Probability):
Position 2781: 0.996665819996591
Position 5911: 0.978698151742856
Position 6894: 0.970579158700063
Position 1723: 0.9492835013652081
Position 2975: 0.8453366992646166
Position 2623: 0.8233717601493398
Position 231: 0.7648442524098653
Position 923: 0.7584703410160152
Position 1361: 0.7213146115753571
Position 2318: 0.6611062355044042
Position 6520: 0.5309102473240463
Position 5342: 0.48234727046578046
Position 6524: 0.40288232948877145
Position 4045: 0.29627968097032675
Position 4034: 0.18397438165292562
Position 3260: 0.1293870931993877
Position 2627: 0.11804084058914378
Position 949: 0.09753907936965125
Position 2292: 0.08414701813917641
Position 5674: 0.07433863327102791
Position 3228: 0.07103698142085033
Position 1411: 0.06710605241261701
Position 6194: 0.06503750884475934
Position 3596: 0.06302918188421011
Position 6189: 0.0545548185491049
Position 935: 0.04893997611390648
Position 1200: 0.0466906947173876
Position 6156: 0.04404359373431726
Position 1980: 0.038928788734755165
Position 542: 0.032138364544897866
Position 1395: 0.029062102121255422
Position 1474: 0.028987962803960203
Position 1169: 0.028625010510573246
Position 1155: 0.023682475003798362
Position 2388: 0.021862880737605523
Position 528: 0.020362248909161676
Position 6235: 0.015097081958569718
Position 5372: 0.014227682762969632
Position 1209: 0.01209360716658253
Position 5560: 0.010942443553150239
Position 50: 0.00908631503269253
Position 5657: 0.007551884896135117
Position 1657: 0.005034182994688019
Position 5287: 0.004902747248006868
Position 3800: 0.00431609478255953
Position 4541: 0.004228930534036697
Position 2398: 0.00403942123378035
Position 932: 0.0038976473636059745
Position 4368: 0.0038235645210349
Position 1221: 0.0038145428965029584
Position 3393: 0.00369071892326661
Position 1159: 0.0036004501958311146
Position 458: 0.003344333059636456
Position 912: 0.003325442735286471
Position 111: 0.002529142594868596
Position 96: 0.0022622876493295398
Position 444: 0.001948724709946109
Position 3288: 0.0015470397859301314
Position 539: 0.0014318362293171153
Position 3994: 0.0013309200917779997
Position 2913: 0.0013297805204660362
Position 1846: 0.0012922441218994464
Position 113: 0.0012435736448752777
Position 3580: 0.0010691064661792178
Position 1132: 0.0010271619725337664
Position 3309: 0.0009386402992795542
Position 1680: 0.000914060583421453
Position 2594: 0.0007910506385256102
Position 2785: 0.0007454700268970824
Position 6955: 0.0006884721234487337
Position 2777: 0.0006256156209471366
Position 3464: 0.0006254405569475355
Position 472: 0.000546844791803538
Position 2966: 0.0005090783327697376
Position 683: 0.000433885724178524
Position 3243: 0.0004135491007644328
Position 1423: 0.00040931925633455797
Position 6657: 0.00034956931388107043
Position 3433: 0.0003316114363202728
Position 6865: 0.00030608921274090584
Position 1238: 0.0002895028125048617
Position 3548: 0.00027222896051037394
Position 345: 0.0002062619911007918
Position 2979: 0.00017487238113342887
Position 3297: 0.0001729952498196903
Position 3264: 0.00017076783012609056
Position 1406: 0.00016107334232634682
Position 3585: 0.00012465465118218668
Position 3878: 0.00010911082690224751
Position 1301: 0.00010511832943565038
Position 6062: 8.383998904944667e-05
