Gene = Prp3
index = 1389
Annotated 5SS: [1220]
Annotated 3SS: [1273]
SMsplice 5SS: [1220]
SMsplice 3SS: [1273]
top_k =  500
Partition function (log Z): -6.593047118872749

Sorted 5' Splice Sites (High to Low Probability):
Position 1220: 0.7383961643558384
Position 1151: 0.2612819355689354
Position 1135: 0.029973546918591186
Position 133: 0.025106729582394894
Position 329: 0.022352551607716695
Position 75: 0.0037268888187755823
Position 745: 0.001932648723904995
Position 437: 0.0017307799032207374
Position 468: 0.0013326674046002507
Position 895: 0.0012467217782826112
Position 725: 0.001080222141123607
Position 815: 0.0006846328212499129
Position 1098: 0.0006318141779568561
Position 35: 0.0004704594194596956
Position 809: 0.0004570740251868417
Position 824: 0.00030170596211318636
Position 80: 0.0002853530998971326
Position 1391: 0.0002345144136095408
Position 257: 0.00014756808694480492
Position 129: 0.00014142970208716406
Position 790: 0.0001322474529648303
Position 1751: 0.00012631319257332417
Position 861: 0.00012430749424589265
Position 936: 0.00010018694138273524
Position 1880: 9.224453138970706e-05
Position 2025: 8.834263862968436e-05
Position 1940: 7.204165877058494e-05
Position 326: 5.8832045650584965e-05
Position 37: 5.844197370616783e-05
Position 1908: 5.7597882201824895e-05
Position 346: 4.7365813390391836e-05
Position 1672: 4.4456051305334936e-05
Position 73: 4.139484223834084e-05
Position 263: 2.9400130575603e-05
Position 631: 2.482892623854528e-05
Position 1396: 1.8130161784581253e-05
Position 10: 1.4960414153872014e-05
Position 260: 1.4390550862487052e-05
Position 2096: 1.2243826784705264e-05
Position 1095: 1.145449463544628e-05
Position 1803: 8.35413119560333e-06
Position 1489: 6.048464167809231e-06
Position 1612: 5.650619476137451e-06
Position 119: 4.907231897497475e-06
Position 1439: 4.7834677668699174e-06
Position 1711: 4.457355350620101e-06
Position 611: 4.224833210962449e-06
Position 27: 3.956392751398405e-06
Position 1858: 3.6829952940406277e-06
Position 1293: 3.5314638145162105e-06
Position 567: 2.6460398775277365e-06
Position 1224: 2.5293663685682433e-06
Position 1963: 1.080532066637059e-06
Position 1610: 9.63470210653281e-07
Position 154: 1.1905163352147032e-07
Position 709: 3.6587700660306343e-09
Position 183: 2.961344277819357e-09
Position 368: 1.6503384838175218e-09
Position 352: 1.433428215134194e-09
Position 180: 1.281025624659288e-09
Position 1108: 1.0137560314489455e-09
Position 1773: 5.085566076632004e-10
Position 1081: 4.5925284202497105e-10
Position 222: 4.526173872271063e-10
Position 304: 3.449798464311278e-10
Position 1029: 1.46453809963811e-10
Position 1441: 8.928696606539857e-11
Position 472: 5.34288970791376e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1273: 0.9918859271048783
Position 1192: 0.027223474041975258
Position 378: 0.013794853181950248
Position 1065: 0.013734930113558023
Position 1009: 0.009546033185613716
Position 201: 0.008683092750220953
Position 1212: 0.006827969796455582
Position 154: 0.004441018399093289
Position 1317: 0.0037494923830737794
Position 247: 0.00193415486863217
Position 231: 0.001637059255249246
Position 1062: 0.0011186002739058706
Position 1344: 0.0011133420564259978
Position 1291: 0.0008621205610911321
Position 880: 0.0007218566634923443
Position 493: 0.0006272838959204242
Position 1953: 0.00043069728789649816
Position 502: 0.0003942195486405918
Position 621: 0.0003751693768006448
Position 1485: 0.00037105686444762235
Position 2149: 0.00030668268982906357
Position 780: 0.00027779531118914005
Position 405: 0.00026068681962517593
Position 1956: 0.00021608982114918146
Position 611: 0.00021464304224955993
Position 384: 0.00018015687499118698
Position 945: 0.00017291971737482548
Position 1455: 0.00012154357990537403
Position 899: 0.00012103067611079433
Position 1174: 0.00012007171617221136
Position 846: 0.00010614366271963453
Position 315: 9.281634760265373e-05
Position 1321: 8.704272272529863e-05
Position 975: 7.602084816421911e-05
Position 216: 7.096037445366763e-05
Position 1122: 6.754890270422475e-05
Position 1235: 6.0508741916483616e-05
Position 1803: 5.897851889456891e-05
Position 257: 5.7562663373939746e-05
Position 634: 5.051304769537152e-05
Position 525: 4.180952208147941e-05
Position 1250: 4.174929086113677e-05
Position 579: 4.169114932859524e-05
Position 763: 3.65643752386574e-05
Position 2089: 3.5453660967516485e-05
Position 1647: 3.348570168549336e-05
Position 1500: 3.008929127152936e-05
Position 971: 2.8954471411132228e-05
Position 511: 2.8625451780017237e-05
Position 1809: 2.7876767030555592e-05
Position 108: 2.746468297978699e-05
Position 649: 2.431795761107621e-05
Position 2108: 1.9196592217975347e-05
Position 573: 1.3925681494974122e-05
Position 1408: 1.2035859317199236e-05
Position 789: 9.930271078026875e-06
Position 2189: 9.430006191939127e-06
Position 666: 8.503229180380043e-06
Position 1332: 6.680333057538104e-06
Position 1220: 6.569920019714907e-06
Position 1962: 6.043721914081682e-06
Position 1698: 5.676920681408943e-06
Position 700: 5.544603927762378e-06
Position 280: 5.2799125584542766e-06
Position 2116: 5.003193134412101e-06
Position 129: 4.948933009696738e-06
Position 1548: 4.5612272582758024e-06
Position 942: 4.459243296317379e-06
Position 1692: 4.139417884183861e-06
Position 288: 3.704544730435334e-06
Position 522: 3.3829727625686362e-06
Position 936: 2.307187306838245e-06
Position 1482: 2.2840765415611913e-06
Position 888: 1.7879984477651605e-06
Position 2096: 1.7312695986910881e-06
Position 2065: 1.3739611639023e-06
Position 446: 7.564553448587552e-07
Position 661: 6.580409004493349e-07
Position 368: 3.6602332498506684e-07
Position 537: 2.877713022363354e-07
Position 1131: 2.209947435871332e-07
Position 336: 2.062097143272908e-07
Position 453: 1.963695145786961e-07
Position 417: 1.9202660155200784e-07
Position 114: 1.2011520073408271e-09
Position 269: 1.201075335426888e-09
Position 126: 9.907997278888036e-10
Position 60: 5.103729479261022e-10
Position 411: 7.561771644461654e-11
Position 343: 4.604158384039199e-11
