Gene = Mob2
index = 1282
Annotated 5SS: [ 9404 20456 35052 36654]
Annotated 3SS: [19398 34890 36556 36719]
SMsplice 5SS: [  340 35052 36654]
SMsplice 3SS: [34890 36556 36719]
top_k =  500
Partition function (log Z): -5.629128074973393

Sorted 5' Splice Sites (High to Low Probability):
Position 340: 0.9999999999999973
Position 36654: 0.9995878787622023
Position 35052: 0.9992192906993139
Position 36811: 0.030025930454380435
Position 37478: 0.008394276357806927
Position 38884: 0.007249741109974304
Position 36921: 0.005190057825745157
Position 37471: 0.003737350011732306
Position 38763: 0.002647344019246264
Position 38374: 0.0022297065487636423
Position 37376: 0.0018909775824020487
Position 38228: 0.001747133953154723
Position 36907: 0.0016158910285691828
Position 37463: 0.0014473168854431259
Position 37842: 0.0007637806545969727
Position 37469: 0.0005486139335340636
Position 37490: 0.0004361857766425902
Position 37852: 0.00042187715939436324
Position 37475: 0.0003517376322515095
Position 37884: 0.0001254823629621674
Position 36774: 0.00011883397341555844
Position 36864: 6.551970914873682e-05
Position 37088: 6.139357407143863e-05
Position 8115: 3.1109256847918596e-19
Position 710: 2.753298391760201e-19
Position 3962: 2.281109716952031e-19
Position 8481: 1.4230920663982207e-19
Position 9809: 1.096285857602889e-19
Position 7849: 7.672733907274811e-20
Position 8156: 6.965704764427734e-20
Position 1730: 4.3768426424425046e-20
Position 7494: 2.5820075924467833e-20
Position 1344: 1.6979024243272693e-20
Position 7319: 1.1903439911188065e-20
Position 1368: 4.86943074896356e-21
Position 1364: 4.307708864828693e-21
Position 389: 1.798551228553677e-21
Position 5379: 1.5794401986411425e-21
Position 75: 1.4092229609334045e-21
Position 369: 1.3831845821217365e-21
Position 1627: 7.487700944814159e-22
Position 7372: 6.347124196843158e-22
Position 219: 4.0838530065670785e-22
Position 174: 3.5555628629722e-22
Position 178: 3.303425302393164e-22
Position 215: 2.662697949463248e-22
Position 166: 2.4106533095054044e-22
Position 4693: 2.387126569763404e-22
Position 349: 1.9145418431670307e-22
Position 162: 1.810980993970801e-22
Position 1326: 1.7330493240040132e-22
Position 1038: 1.7274154594068826e-22
Position 421: 1.0932190401648308e-22
Position 1008: 4.532998284587133e-23
Position 156: 4.2011231088562336e-23
Position 170: 3.8961715071894234e-23
Position 187: 3.3968137125423643e-23
Position 344: 2.946512050835438e-23
Position 197: 2.603481253812581e-23
Position 7: 2.4526321951218365e-23
Position 1252: 2.3409564907822603e-23
Position 191: 2.1329768925395118e-23
Position 223: 1.9896009818662893e-23
Position 387: 1.846986340922379e-23
Position 1348: 1.8035831732217995e-23
Position 124: 1.4319069900752268e-23
Position 751: 9.406250898658185e-24
Position 201: 8.173193612580971e-24
Position 43: 7.204527052636214e-24
Position 831: 6.847122411702151e-24
Position 714: 6.614022568065898e-24
Position 1059: 6.431632231619709e-24
Position 2243: 6.158668457264139e-24
Position 217: 5.1131359548328084e-24
Position 948: 4.8774943057452634e-24
Position 122: 4.15282122398235e-24
Position 205: 3.017289364775616e-24
Position 81: 2.583908522191056e-24
Position 1022: 2.262138670206173e-24
Position 144: 1.9968350524226487e-24
Position 128: 1.6274511910504836e-24
Position 1905: 1.1187198512656565e-24
Position 172: 9.678927976794884e-25
Position 93: 8.89740403012935e-25
Position 116: 7.456097701604809e-25
Position 36: 6.4107967618946295e-25
Position 323: 5.890925953860273e-25
Position 138: 4.877790548867471e-25
Position 119: 3.4979451831871913e-25
Position 620: 2.5282997404997237e-25
Position 535: 2.132675757412835e-25
Position 111: 1.9229846722514353e-25
Position 506: 1.3045985493819157e-25
Position 182: 8.810011930802773e-26
Position 849: 5.097461155951544e-26
Position 733: 3.939704547976035e-26
Position 1145: 3.786263131094113e-26
Position 284: 3.092354303241589e-26
Position 1034: 2.691045924430745e-26
Position 1030: 2.343458894328016e-26
Position 189: 2.301085411483755e-26
Position 874: 2.1880589675454304e-26
Position 195: 1.2892986962267776e-26
Position 1032: 5.322049244604299e-27
Position 743: 4.256734922708623e-27
Position 1330: 2.1158103863439194e-27
Position 671: 3.64097978344176e-29
Position 833: 2.580018696868533e-29
Position 959: 8.997610413382966e-30
Position 967: 1.595756954501337e-30
Position 899: 1.3303606307525124e-30
Position 974: 1.1882137670921222e-30
Position 951: 1.1046423809313007e-30
Position 852: 9.703437933885086e-31
Position 566: 9.016802735936804e-31
Position 881: 8.365762197624873e-31
Position 698: 7.5629984230959745e-31
Position 264: 3.3388231105085916e-35
Position 472: 3.522056674958155e-36
Position 432: 2.623321728881006e-36
Position 393: 6.967179384502781e-37

Sorted 3' Splice Sites (High to Low Probability):
Position 34890: 0.9999999999999956
Position 36556: 0.987273571536782
Position 36719: 0.9663234134273102
Position 38437: 0.01675697180302558
Position 36744: 0.013286085856066233
Position 38051: 0.011855830268411716
Position 38689: 0.01088545838831946
Position 38942: 0.006967906877108943
Position 35642: 0.006619623153368813
Position 37929: 0.005387452484679603
Position 38393: 0.005282736027322912
Position 39037: 0.005278339255179594
Position 36700: 0.0037953620940059728
Position 37547: 0.0029383989400371025
Position 38987: 0.002883145406070582
Position 38403: 0.0026593571443113925
Position 36938: 0.002536749597529182
Position 35201: 0.0022844003670407396
Position 38748: 0.002241100353630909
Position 35526: 0.0021286747790125247
Position 39150: 0.0017018524887188401
Position 38462: 0.0012009857814025222
Position 39175: 0.0009953130345041893
Position 36913: 0.0008800200921414461
Position 38663: 0.0008498573500738983
Position 37032: 0.0008433942174336321
Position 35412: 0.0008285049724851368
Position 37035: 0.0006368921687203154
Position 38613: 0.0005555599144967957
Position 37950: 0.0004899625497986057
Position 37972: 0.0003640409088050099
Position 37155: 0.000286204568523515
Position 37638: 0.00017843381550118587
Position 36807: 0.00016709712767176542
Position 37904: 0.00013221480320514453
Position 37327: 9.624167813182717e-05
Position 36766: 9.29666221649047e-05
Position 37438: 9.093820534105514e-05
Position 36885: 5.3813966533854825e-05
Position 36804: 4.744798988487174e-05
Position 17196: 1.0994490044647126e-15
Position 12171: 6.231580310207894e-18
Position 11888: 1.1624517535720716e-18
Position 8114: 1.1288806792951337e-18
Position 9586: 6.689521151142178e-19
Position 8530: 3.5946462656328473e-19
Position 9914: 2.4812360044050396e-19
Position 586: 2.265557141920192e-19
