Gene = ChLD3
index = 1068
Annotated 5SS: [ 345 2455 3039]
Annotated 3SS: [1721 2515 3096]
SMsplice 5SS: [ 984 2455]
SMsplice 3SS: [1721 2515]
top_k =  500
Partition function (log Z): -5.8690821235380435

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9866043985051556
Position 984: 0.5698283055145711
Position 3039: 0.3904275819209054
Position 345: 0.3626197757693977
Position 3277: 0.22901160312485544
Position 999: 0.045897339746769246
Position 2796: 0.03712610846565183
Position 1027: 0.025418411027318302
Position 3377: 0.025311714089276703
Position 2708: 0.023252717808455108
Position 2616: 0.022556419767504558
Position 1613: 0.02129313570395985
Position 3453: 0.01856733073390802
Position 1881: 0.01845301141807904
Position 3005: 0.013187099407377579
Position 770: 0.012032791639501335
Position 2987: 0.01089734547475586
Position 1649: 0.008138772536141429
Position 766: 0.007897156081579669
Position 380: 0.007671134855424881
Position 3015: 0.0059276902138035836
Position 1466: 0.005476577549896561
Position 3482: 0.004705180346060856
Position 491: 0.0047028595870419
Position 2315: 0.004267956760229542
Position 2924: 0.003801309659065953
Position 1070: 0.003302388417556031
Position 1430: 0.0031994521938495473
Position 2724: 0.003134221085375164
Position 1928: 0.002969648576955532
Position 338: 0.002951755104053371
Position 501: 0.002857039859101679
Position 774: 0.0023183372209163054
Position 1664: 0.002292593616858323
Position 803: 0.002260100358437883
Position 3435: 0.001971326603109656
Position 279: 0.0015691561204711731
Position 299: 0.0013484054732006484
Position 1040: 0.001091865774476906
Position 2580: 0.0010296183635726823
Position 1299: 0.0009323858900445073
Position 3250: 0.0009254418274991662
Position 2125: 0.0008437440930693605
Position 1633: 0.0007190850379631188
Position 1861: 0.0006410203238438649
Position 1340: 0.0005642170393792474
Position 2450: 0.0005438222190464143
Position 887: 0.0005044517612191483
Position 25: 0.0005033346273583498
Position 2870: 0.0004946757259092623
Position 2862: 0.000484598128487386
Position 1357: 0.0004553260251464504
Position 1546: 0.00040432451751453227
Position 988: 0.0003156956282754409
Position 2678: 0.000285692418085991
Position 2567: 0.0002539491277048916
