Gene = CkIIalpha-i3
index = 1076
Annotated 5SS: [ 298  870 1051 1275 1396 1528 1617]
Annotated 3SS: [ 359  993 1112 1323 1452 1583 1678]
SMsplice 5SS: [ 870 1051 1396 1528]
SMsplice 3SS: [ 993 1112 1452 1583]
top_k =  500
Partition function (log Z): -0.686949344701755

Sorted 5' Splice Sites (High to Low Probability):
Position 1396: 0.9139521516039799
Position 870: 0.8852641902699342
Position 1528: 0.781372663583691
Position 1051: 0.7788504196814644
Position 1617: 0.43010996248741246
Position 1275: 0.353238492449726
Position 532: 0.24970277858769846
Position 573: 0.18167200497887534
Position 82: 0.09236441705239258
Position 304: 0.07904741100204812
Position 15: 0.05089905776996329
Position 1200: 0.04373524695345883
Position 648: 0.030386029114841416
Position 1400: 0.023950971591869683
Position 162: 0.023654394116033317
Position 1042: 0.018400136626482794
Position 23: 0.011598582468871464
Position 298: 0.007744717521163913
Position 279: 0.0067877611773949536
Position 1141: 0.00563232992953138
Position 101: 0.00551744020147883
Position 602: 0.003659443302190489
Position 1195: 0.003616560778653182
Position 170: 0.0032424032299933534
Position 310: 0.0021610109780065135
Position 879: 0.0018796684246961762
Position 1055: 0.001396390142465035
Position 1148: 0.001133423230701045
Position 445: 0.0008392280075123732
Position 1091: 0.0007462129032437619
Position 729: 0.0006652810302813218
Position 181: 0.0006440529590926393
Position 580: 0.0006362455035477766
Position 187: 0.0006125206873112558
Position 152: 0.0005697227493852346
Position 1621: 0.0004290546058338068
Position 147: 0.000412532468763208
Position 315: 0.0002838097103421535
Position 672: 0.00025388983290958254
Position 1351: 0.00024971294512354835
Position 788: 0.0002448496885809801
Position 1718: 0.0002219620139159208
Position 1345: 0.00016455529083666293
Position 1410: 0.0001476301715169651
Position 1214: 0.00013047916888465064
Position 1204: 0.00012182812343058888
Position 1355: 0.00012013833763202303
Position 1404: 6.195732704181303e-05
Position 365: 5.6057903750740384e-05
Position 536: 3.0121958155087574e-05
Position 1532: 1.4982126178199982e-05
Position 551: 1.2241871597216449e-05
Position 1787: 8.913070761048092e-06
Position 750: 7.569450572487598e-06
Position 434: 6.588255797993757e-06
Position 27: 4.516957023873559e-06
Position 804: 6.769251595643077e-08
Position 379: 3.907196726149776e-08
Position 359: 2.951646468841335e-08
Position 1029: 2.0254378012372126e-08
Position 501: 1.430418480550469e-08
Position 400: 2.949062893383443e-09
Position 1611: 2.381858840287759e-09
Position 1629: 1.1039920788079858e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1452: 0.9469123493354961
Position 993: 0.8602068626514173
Position 1583: 0.772317101695708
Position 1112: 0.76574223218375
Position 1323: 0.45404016465518104
Position 1678: 0.42770783728195744
Position 629: 0.35199025569033354
Position 359: 0.25137329561105093
Position 716: 0.07367332190912904
Position 755: 0.019147427912074324
Position 1199: 0.012646827956290123
Position 663: 0.007195415500670169
Position 588: 0.007162594378455048
Position 1681: 0.00693832158140292
Position 761: 0.0062918342690360925
Position 607: 0.005734569473396876
Position 393: 0.00348555077704479
Position 787: 0.003155021069858279
Position 1135: 0.0028604074096069717
Position 695: 0.002399796248256486
Position 213: 0.0018108000939049862
Position 1646: 0.0013369340171495386
Position 332: 0.0011597258093757022
Position 647: 0.0010864663816962572
Position 1001: 0.0010374239952836621
Position 1795: 0.0010346181295240486
Position 1798: 0.000781881353931201
Position 170: 0.0007799311997992227
Position 1608: 0.0007797490234673903
Position 81: 0.0007608006206547859
Position 1628: 0.0005954249013916778
Position 1029: 0.0005878394089299616
Position 1474: 0.0005666920428966358
Position 1786: 0.0005402149545008284
Position 429: 0.00048079328755392894
Position 1329: 0.0003855012716504591
Position 137: 0.00037432185725500564
Position 602: 0.0003724533225277158
Position 1611: 0.0003357717564096701
Position 1721: 0.0002967864212797149
Position 62: 0.0002842168715889473
Position 1145: 0.000225897301523082
Position 701: 0.00021391990577154687
Position 187: 0.0002117719701921295
Position 1236: 0.0001960995310003502
Position 181: 0.00015698858952114506
Position 147: 0.0001521260561973734
Position 1162: 0.00010306734188831278
Position 512: 9.980055343582389e-05
Position 279: 9.685329352722517e-05
Position 1876: 8.99694726731223e-05
Position 291: 8.799384921611013e-05
Position 722: 8.372626910276492e-05
Position 1230: 8.265045869737265e-05
Position 1120: 7.973767333188032e-05
Position 1345: 7.732593205427279e-05
Position 1166: 6.292945005787279e-05
Position 310: 5.2835271262123364e-05
Position 509: 3.619486029755444e-05
Position 736: 2.890012876720959e-05
Position 491: 2.595467483093727e-05
Position 1847: 2.43345146505339e-05
Position 1342: 2.2798521177496577e-05
Position 729: 1.4050122432383048e-05
Position 1074: 1.3643145055975933e-05
Position 114: 1.3013737001960907e-05
Position 545: 1.2495196664731795e-05
Position 1497: 1.070265976554768e-05
Position 304: 5.142166035947633e-06
Position 573: 5.078369902241307e-06
Position 515: 4.364304094368047e-06
Position 1983: 4.3297717726584e-06
Position 93: 2.4906103228048053e-06
Position 88: 1.142939038817628e-07
Position 518: 5.734144841266268e-08
