Gene = DIP-theta
index = 1124
Annotated 5SS: [  166  6951 13105 16706 18043 18274 21827 22905 23907 25633 26191 26524]
Annotated 3SS: [ 6379 13029 16607 17896 18211 21667 22775 23771 25482 26103 26247 31442]
SMsplice 5SS: [  170  6951 16706 17193 17834 18043 18274 21827 22905 23907 25633 26191
 26524]
SMsplice 3SS: [ 6379 16607 17103 17247 17896 18211 21172 22775 22960 25482 26103 26247
 31442]
top_k =  500
Partition function (log Z): 9.088782414628913

Sorted 5' Splice Sites (High to Low Probability):
Position 23907: 0.9861904325365873
Position 16706: 0.9739006523076248
Position 21827: 0.9528466338023871
Position 22905: 0.9469625126029666
Position 17834: 0.9449990356909478
Position 26191: 0.9357577552027756
Position 6951: 0.8599067202267283
Position 18274: 0.8502385881647893
Position 18043: 0.8307836424109456
Position 26524: 0.7882296603667747
Position 25633: 0.7188228094311431
Position 17193: 0.6951207934468954
Position 170: 0.5490203480374419
Position 19460: 0.4706382101255948
Position 16503: 0.45169103814225375
Position 17354: 0.43712642191941137
Position 18717: 0.4205200412602481
Position 166: 0.36795213534909005
Position 23453: 0.1520508742939496
Position 13105: 0.14588039484716453
Position 23355: 0.13424816565641878
Position 6223: 0.12412841930729338
Position 17505: 0.11761304892512765
Position 17397: 0.102548679139023
Position 19386: 0.09998762706920789
Position 18557: 0.07301525029423932
Position 19096: 0.06894750386812092
Position 527: 0.0688901350901571
Position 20034: 0.05536152178677873
Position 21019: 0.04166956081497395
Position 18106: 0.041653304337797084
Position 4018: 0.04149443841411638
Position 26196: 0.037981932583122734
Position 6219: 0.02462100021533849
Position 15169: 0.02087702556475352
Position 25891: 0.02003995067898468
Position 17579: 0.018447835170267816
Position 25948: 0.01809663846330607
Position 27563: 0.01639637550678424
Position 22683: 0.015245317685452058
Position 23419: 0.013071057617258372
Position 19380: 0.013037293840877966
Position 25856: 0.012786771144992543
Position 17024: 0.011709159575480863
Position 18548: 0.01056557085365801
Position 26940: 0.009555325163918871
Position 19642: 0.007768332437397817
Position 893: 0.007715831439829693
Position 18048: 0.007650934602926066
Position 18299: 0.007311042519768923
Position 472: 0.007122069061210904
Position 16652: 0.006400250473837764
Position 252: 0.0060250287937360465
Position 31673: 0.006004959801565075
Position 7417: 0.005301935214335639
Position 26634: 0.005114150244566462
Position 25973: 0.004730714924315415
Position 26905: 0.004433798250619689
Position 1489: 0.003931747467943129
Position 781: 0.0037847835347355244
Position 311: 0.0032887109333493755
Position 18294: 0.0032017557863671946
Position 25938: 0.0027664090978417703
Position 27826: 0.0027356769040767347
Position 7543: 0.002641323779546719
Position 25823: 0.002514113875065387
Position 17060: 0.0024979448095077943
Position 7491: 0.0023293556319837327
Position 2364: 0.002092113166817439
Position 17616: 0.0020469611601969815
Position 18020: 0.002027426765284033
Position 27170: 0.002019776091869566
Position 18103: 0.0017939836401727378
Position 2050: 0.0017805892364025726
Position 18015: 0.0016925152021714438
Position 17737: 0.0016743579902313
Position 16675: 0.0016724885169514228
Position 29464: 0.0016354031301029786
Position 7426: 0.0014278404984212028
Position 25874: 0.001415804600390019
Position 18964: 0.001179386029415073
Position 18212: 0.0010112820800292142
Position 26180: 0.0010051561588268051
Position 3666: 0.0009137194419830949
Position 18028: 0.0006063850077357836
Position 18009: 0.0005736310369265482
Position 16974: 0.0005578614133464862
Position 28937: 0.0004832731385601386
Position 18093: 0.0003231627909263965
Position 17344: 0.0003043441149699487
Position 3639: 0.0002771633842445461
Position 11571: 0.00021834691223665176
Position 17812: 0.00020416737451807012
Position 17099: 0.0001712904673671604
Position 18892: 0.00016493433644854433
Position 209: 0.00012731436764933018
Position 10618: 0.00011099337412550233
Position 17487: 0.00010818988045723176
Position 23116: 9.564461550562093e-05
Position 19092: 8.540511946108198e-05
Position 17104: 7.92697037473013e-05
Position 16888: 7.826925335792891e-05
Position 1257: 6.800123498545533e-05
Position 22874: 6.624715995898691e-05
Position 18352: 6.356572736985821e-05
Position 797: 5.121477959768408e-05
Position 862: 4.89511169251126e-05
Position 26975: 4.7821980636898035e-05
Position 524: 4.67583025079494e-05
Position 17337: 4.555964593476334e-05
Position 17319: 3.9080554395554555e-05
Position 3063: 3.363662241290267e-05
