Gene = KFase
index = 1241
Annotated 5SS: [332]
Annotated 3SS: [383]
SMsplice 5SS: [332]
SMsplice 3SS: [383]
top_k =  500
Partition function (log Z): -9.497180155528223

Sorted 5' Splice Sites (High to Low Probability):
Position 332: 0.9346093011772005
Position 560: 0.1319844722622735
Position 49: 0.02777853615920713
Position 319: 0.010655062476220917
Position 572: 0.006738173871191701
Position 111: 0.0024760802993589242
Position 1075: 0.0014191894934604168
Position 267: 0.0013475004190281767
Position 219: 0.0011975756246243793
Position 313: 0.0008262824155426406
Position 564: 0.0007312661471042118
Position 1280: 0.0006834135302596858
Position 797: 0.0002587731648296202
Position 207: 0.00024327699769673207
Position 181: 0.0002374449086905742
Position 1344: 0.00020969567426360055
Position 372: 0.00018759643161913502
Position 25: 0.000144044359138402
Position 770: 0.00013671431233537612
Position 623: 0.0001319982716937506
Position 342: 0.0001079639295912904
Position 175: 9.854084543059127e-05
Position 298: 9.55031239499057e-05
Position 860: 9.545612658457822e-05
Position 81: 8.093705273733563e-05
Position 447: 7.027018699596044e-05
Position 451: 4.757045015164933e-05
Position 904: 4.0580123621363676e-05
Position 11: 3.7218595570775994e-05
Position 1124: 3.416987418808845e-05
Position 1170: 3.3160986048451774e-05
Position 1231: 2.795322837827403e-05
Position 4: 2.755094592373326e-05
Position 455: 2.6109012430848756e-05
Position 168: 2.2470941010827186e-05
Position 166: 1.9010829272746497e-05
Position 732: 1.2595303276079611e-05
Position 1188: 8.002057237620946e-06
Position 63: 4.480636905938443e-06
Position 191: 8.087958189049272e-07
Position 444: 6.728719689336046e-08
Position 1011: 5.520067021694549e-08
Position 579: 1.9676611090239194e-08
Position 419: 1.7670031015792984e-08
Position 1182: 1.4335848230459338e-08
Position 698: 5.732896122075567e-09
Position 463: 8.536977271337428e-10
Position 509: 7.363221798225496e-10
Position 503: 6.41777493688749e-10
Position 968: 2.700232286539444e-10
Position 547: 4.917966133673465e-11
Position 461: 4.722228885640596e-11
Position 649: 2.020416442689808e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.9423722499916865
Position 622: 0.14410113342185796
Position 97: 0.018258206522063263
Position 175: 0.0039715212707031825
Position 1279: 0.002315616203313636
Position 779: 0.001634794331422106
Position 471: 0.0012554079438023026
Position 251: 0.0008953539709883562
Position 1258: 0.0008527493938905403
Position 1073: 0.0008046756438834052
Position 961: 0.0007961098947192251
Position 409: 0.000774145092166274
Position 1330: 0.0007208457063097442
Position 181: 0.0005372889484539969
Position 1226: 0.0005358125845512896
Position 124: 0.0005125460314449737
Position 1392: 0.00037464588373605477
Position 266: 0.00032443435546460617
Position 443: 0.0002639188994204335
Position 133: 0.00022402462921410806
Position 751: 0.00020531485071694622
Position 406: 0.00014806614319546504
Position 279: 0.00014773713842292346
Position 111: 0.0001394457633394127
Position 273: 0.00013835668787964036
Position 490: 9.66987492084147e-05
Position 330: 7.719092639246216e-05
Position 698: 6.931981652650946e-05
Position 390: 6.54136221877756e-05
Position 327: 5.53669593788502e-05
Position 106: 3.433151848183492e-05
Position 226: 3.4026350741923063e-05
Position 70: 3.087656991313408e-05
Position 1283: 1.820435717428106e-05
Position 529: 1.8187818433824134e-05
Position 1011: 1.4961325371781523e-05
Position 1373: 1.3199078331798662e-05
Position 1348: 1.065778351180526e-05
Position 637: 9.346552029903034e-06
Position 218: 8.256653199858611e-06
Position 304: 8.152277604001905e-06
Position 1302: 6.3776565702435336e-06
Position 1356: 3.303556536289462e-06
Position 139: 2.785314549686539e-06
Position 75: 2.7625308239308065e-06
Position 53: 2.521471498219327e-06
Position 478: 3.687760363861528e-07
Position 81: 2.2259539508097653e-07
