Gene = Rack1
index = 1405
Annotated 5SS: [255 546]
Annotated 3SS: [333 978]
SMsplice 5SS: [255 546]
SMsplice 3SS: [333 978]
top_k =  500
Partition function (log Z): 1.2163379227608273

Sorted 5' Splice Sites (High to Low Probability):
Position 255: 0.9952518304197269
Position 546: 0.47583869948153346
Position 782: 0.4202125384734528
Position 907: 0.3427855348617073
Position 891: 0.09904214571746921
Position 1116: 0.014212328985147415
Position 1186: 0.010941026020758771
Position 1596: 0.003603534842967475
Position 626: 0.0032277725394891945
Position 887: 0.0032064734343246544
Position 1628: 0.002849673979638861
Position 1594: 0.002601045821835477
Position 259: 0.0023962490941237652
Position 786: 0.0021885931041261074
Position 631: 0.0020763585423940645
Position 729: 0.0015894251916555421
Position 1637: 0.0010696097680538384
Position 494: 0.0006920502080005412
Position 643: 0.0005248668050128153
Position 1120: 0.000433910827748665
Position 572: 0.00034754861756323567
Position 722: 0.0003179545810795393
Position 1600: 0.00030662873731758777
Position 1646: 0.0003006800154329431
Position 895: 0.000281812028003471
Position 1209: 0.0002464964314686287
Position 867: 0.0002424166923157451
Position 1404: 0.00022120739637794784
Position 252: 0.00019017741966090645
Position 1289: 0.00015116695771291315
Position 1808: 0.00012181623863419318
Position 1077: 8.624108700479423e-05
Position 751: 7.140866406068409e-05
Position 1111: 6.343721170044092e-05
Position 432: 3.857051509541656e-05
Position 638: 3.629930632081118e-05
Position 1252: 3.601714028373875e-05
Position 37: 3.284688164842733e-05
Position 523: 2.7557218462961318e-05
Position 171: 2.3893369988251336e-05
Position 1314: 1.6591701769163157e-05
Position 1814: 1.3747755251700956e-05
Position 435: 1.2219117662074658e-05
Position 606: 9.984707841266254e-06
Position 1180: 9.678018481321043e-06
Position 1480: 9.108440868296354e-06
Position 850: 5.89838994762981e-06
Position 299: 4.522118350966349e-06
Position 712: 3.160199050347146e-06
Position 197: 1.8944207520297716e-06
Position 105: 1.7370683623447186e-06
Position 464: 1.7142494119691107e-06
Position 400: 1.0680633903515839e-06
Position 123: 8.230910672123283e-07
Position 148: 7.574010730961167e-07
Position 292: 5.773948412605031e-07
Position 663: 5.265033967485305e-07
Position 825: 3.6432450647576984e-07
Position 576: 1.6141719945332256e-07
Position 348: 1.1353665441872581e-07
Position 1071: 7.36825694683232e-08
Position 1156: 7.120163919570484e-08
Position 12: 4.357365639896141e-08
Position 303: 2.566758214196573e-08
Position 955: 1.1653336391845251e-08
Position 107: 6.959135892659309e-09
Position 350: 4.525512092609003e-09
Position 7: 2.5724319121179654e-09
Position 1113: 2.562318775848599e-15
Position 1158: 2.174895576620082e-15
Position 1013: 2.08584424632245e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 333: 0.9906909565110565
Position 978: 0.9668775248603646
Position 825: 0.31959356721869764
Position 618: 0.02924920851520229
Position 948: 0.021380701336205257
Position 1288: 0.021156169824791578
Position 1705: 0.012370737846845713
Position 635: 0.008927961769361375
Position 1017: 0.0038280336330692726
Position 887: 0.0026199067538588768
Position 1729: 0.0025968700420765274
Position 1185: 0.0019112092067650717
Position 630: 0.0018312928670657213
Position 395: 0.0013392039433432785
Position 398: 0.000456800914371481
Position 703: 0.00041745208332219887
Position 647: 0.0003793610601129137
Position 338: 0.00031527155374265015
Position 1885: 0.00029424614303886354
Position 774: 0.0002696531764482484
Position 1759: 0.00024262276108891017
Position 427: 0.00020121181534071407
Position 1950: 0.00017605514328920572
Position 581: 0.00015503077584689282
Position 832: 0.00012801342923525057
Position 572: 9.512663270681768e-05
Position 789: 9.341237195641309e-05
Position 356: 7.082061454742805e-05
Position 1500: 5.928410923184406e-05
Position 1431: 4.4861444952360875e-05
Position 1041: 2.8500240641533035e-05
Position 1455: 2.4007759811285225e-05
Position 638: 2.059376817233719e-05
Position 1209: 1.8304539831046627e-05
Position 86: 1.5254273635161496e-05
Position 1933: 1.2469937968251856e-05
Position 1674: 1.2311374595506088e-05
Position 93: 8.881537490518922e-06
Position 751: 8.445192702747466e-06
Position 1743: 8.307613362265643e-06
Position 126: 8.12073993856967e-06
Position 1296: 7.663165562127124e-06
Position 1947: 7.545032091304152e-06
Position 1215: 6.413905779960534e-06
Position 1853: 4.6651671127571585e-06
Position 895: 3.5874510519241243e-06
Position 699: 3.517979552001554e-06
Position 223: 3.456485389659416e-06
Position 786: 3.2370893645722146e-06
Position 482: 1.404082184518315e-06
Position 642: 1.040494489242345e-06
Position 205: 9.004004598391358e-07
Position 295: 7.408317049087469e-07
Position 145: 4.695438344345446e-07
Position 154: 2.0303679976284667e-07
Position 545: 4.371037854646892e-08
Position 1089: 3.333276434032745e-08
Position 515: 1.7369270398790462e-08
Position 907: 1.4348200948481373e-08
Position 371: 7.983716742802017e-09
Position 555: 3.3955539533038528e-09
Position 590: 2.2161342459720916e-09
Position 533: 1.2356719579518151e-11
Position 259: 1.0698081690426249e-11
Position 49: 4.5092469648522135e-12
Position 53: 5.960636828545434e-16
