Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  500
Partition function (log Z): 1.3398769886225024

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9930465338735243
Position 615: 0.895635486464225
Position 653: 0.05629418548923106
Position 619: 0.04115870051062678
Position 1384: 0.040795267170442594
Position 412: 0.024689534331725733
Position 1392: 0.014111670215664738
Position 1096: 0.002641343937792722
Position 999: 0.0019687307292415774
Position 304: 0.0013155775899061552
Position 606: 0.0011748211016743737
Position 730: 0.00116241810823716
Position 648: 0.0009056231344558111
Position 1327: 0.0007140193538242447
Position 1405: 0.00042657245439544527
Position 633: 0.0003298897884357512
Position 1121: 0.00022119449981599789
Position 47: 0.00015345398295325813
Position 30: 0.00014224150279058145
Position 220: 0.00010804446730233334
Position 452: 8.519767153411857e-05
Position 60: 8.201414645485653e-05
Position 1357: 7.580779822997864e-05
Position 905: 4.362972940010193e-05
Position 766: 4.320902522961986e-05
Position 622: 4.153680003802382e-05
Position 946: 3.938288244866511e-05
Position 1585: 3.905861991082621e-05
Position 880: 3.305823227933418e-05
Position 256: 3.211108015207216e-05
Position 1296: 8.867879832726469e-06
Position 973: 8.409971520523308e-06
Position 526: 7.901262970663687e-06
Position 1025: 7.178648468866671e-06
Position 1065: 3.841109882086221e-06
Position 259: 2.5944706568812617e-06
Position 1012: 1.9002247038696057e-06
Position 336: 1.670175974873683e-06
Position 1023: 1.565431529113898e-06
Position 130: 1.2253879635700017e-06
Position 1724: 1.0776494548993898e-06
Position 1003: 8.526292037082774e-07
Position 511: 8.420961722518561e-07
Position 1471: 8.387290093575355e-07
Position 127: 6.085858602206172e-07
Position 1766: 4.958583326424718e-07
Position 916: 3.510892547912934e-07
Position 1741: 2.8468431653352235e-07
Position 864: 1.678695509283306e-07
Position 831: 2.4131633038479793e-08
Position 1230: 6.32543844249041e-10
Position 1443: 2.1786602474414522e-11
Position 1542: 1.5029216852189412e-12
Position 783: 1.601812401732965e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9971386720311745
Position 1176: 0.9707349557791728
Position 1464: 0.04167194111814526
Position 485: 0.02427910311209506
Position 1202: 0.01822674157215731
Position 1141: 0.007298425073882208
Position 1452: 0.006636209674344896
Position 1443: 0.0027738828171441714
Position 1557: 0.0020746098987860697
Position 1157: 0.0016095018143280158
Position 742: 0.0014405859926416777
Position 1482: 0.0011406699897987505
Position 1491: 0.0005097839607686689
Position 1383: 0.0003829257584611738
Position 1748: 0.00027637527926390327
Position 1560: 0.0002167353896603615
Position 1515: 0.0001736770973118646
Position 1602: 0.00012848727255317842
Position 1581: 9.621218807959738e-05
Position 1509: 9.088779249177756e-05
Position 86: 7.944020547218533e-05
Position 127: 7.779186994141525e-05
Position 1530: 4.7707772778968755e-05
Position 1819: 4.515674426871549e-05
Position 846: 3.861809841963524e-05
Position 247: 3.722434205912918e-05
Position 1305: 2.643278563273505e-05
Position 303: 2.6327471088960447e-05
Position 451: 2.5289826731035035e-05
Position 1641: 2.1148076765071392e-05
Position 1115: 1.9949380826711937e-05
Position 264: 1.9803394144981586e-05
Position 1689: 1.799267279158271e-05
Position 1756: 1.7468039048712322e-05
Position 1722: 1.621155353627305e-05
Position 412: 1.3443740752091297e-05
Position 93: 1.1974241396995159e-05
Position 352: 1.1853551721283238e-05
Position 297: 1.1610396219105876e-05
Position 831: 1.1305417903052505e-05
Position 1539: 1.0404850555924013e-05
Position 976: 8.666437313657002e-06
Position 1454: 8.571874345895293e-06
Position 1372: 7.001162477128545e-06
Position 1695: 6.80925255509305e-06
Position 1408: 5.603663586670026e-06
Position 843: 4.6906721503276745e-06
Position 524: 3.923329754510254e-06
Position 1323: 3.886636279056262e-06
Position 392: 2.8430996575887297e-06
Position 996: 2.5903564263992925e-06
Position 916: 2.273937610284019e-06
Position 672: 2.147528010827263e-06
Position 980: 2.073244071530681e-06
Position 870: 1.4594989511536616e-06
Position 204: 1.3683468715227188e-06
Position 1218: 1.2832487275230576e-06
Position 1664: 1.1877631830667153e-06
Position 1605: 1.101289015919445e-06
Position 1762: 1.0772868593290515e-06
Position 1392: 1.02579720013204e-06
Position 98: 7.904135226825371e-07
Position 143: 7.32200095198881e-07
Position 349: 4.838450032200291e-07
Position 852: 4.278482928374383e-07
Position 879: 3.590254897184943e-07
Position 886: 3.3528505798367873e-07
Position 328: 2.927340237740021e-07
Position 578: 1.766648063027693e-07
Position 581: 8.118025010424414e-08
Position 892: 5.736693071632938e-08
Position 358: 4.016587986991295e-08
Position 963: 3.409798720560855e-08
Position 1060: 2.385272971730101e-08
Position 521: 2.2388173869184103e-08
Position 217: 1.4612603081332918e-08
Position 544: 6.649573693202569e-09
Position 653: 2.8442319053633853e-09
Position 548: 2.1778832730951926e-09
Position 674: 1.8927771004731552e-09
Position 336: 1.8624145202394463e-09
Position 645: 1.749684705921468e-09
Position 633: 1.1255998365787814e-09
Position 360: 4.6193824502777233e-10
Position 622: 3.1099799891720925e-10
Position 220: 8.42409055857481e-12
Position 1071: 3.435077804057828e-13
Position 593: 1.5132070780803663e-16
