Gene = sNPF
index = 1862
Annotated 5SS: [  415 26307 26822 27195]
Annotated 3SS: [26161 26363 26963 27260]
SMsplice 5SS: [  415 26307 26822 27195]
SMsplice 3SS: [26161 26440 26963 27260]
top_k =  500
Partition function (log Z): -7.396801301063957

Sorted 5' Splice Sites (High to Low Probability):
Position 26307: 0.9969633892251178
Position 415: 0.9637262217180448
Position 27195: 0.8675260944923116
Position 26822: 0.8504975132650924
Position 17315: 0.30536941125756195
Position 17490: 0.23506616003731332
Position 2826: 0.12879138218474281
Position 27616: 0.10036903086141387
Position 2272: 0.0981741031745258
Position 17955: 0.0703032217693168
Position 27606: 0.06399964794660717
Position 1018: 0.04462851906283542
Position 1261: 0.037552652524018126
Position 1234: 0.016080243129047326
Position 1843: 0.007652313585499736
Position 2430: 0.0063012989915547405
Position 874: 0.003862262926776952
Position 1941: 0.002816048347842403
Position 2097: 0.0026223713117706016
Position 1848: 0.0021708228683886706
Position 27555: 0.0013552669039001897
Position 2101: 0.0010967255180889647
Position 1574: 0.0009748104295060577
Position 868: 0.0009564618072279783
Position 26448: 0.0009422289494974872
Position 26734: 0.0008601578315621859
Position 613: 0.0007505571299744572
Position 272: 0.0004981727926125127
Position 1351: 0.0004612423307863242
Position 345: 0.0003215968056068766
Position 1470: 0.0002328144757774359
Position 669: 0.00010634110866359085
Position 27132: 9.172508880665621e-05
Position 435: 8.53353847785673e-05
Position 1230: 7.033584024183562e-05
Position 713: 5.520060412643034e-05
Position 574: 5.507664997571027e-05
Position 748: 5.428116072598789e-05
Position 464: 4.3244342109532714e-05
Position 773: 1.639894186259956e-05
Position 804: 1.48661560197973e-05
Position 949: 1.2453099579719498e-05
Position 265: 1.0865790133049777e-05
Position 617: 8.660243293900136e-06
Position 153: 7.229036184625199e-06
Position 27509: 6.897282865055089e-06
Position 79: 4.024605508909301e-06
Position 409: 3.2394168240082576e-06
Position 335: 2.5363991571946484e-06
Position 758: 2.0171988826184195e-06
Position 836: 1.3036994926898458e-06
Position 282: 1.2890969251420168e-06
Position 113: 1.1788746489925909e-06
Position 354: 8.299285493786203e-07
Position 176: 5.56307183581691e-07
Position 610: 5.215609055874365e-07
Position 419: 5.039446216299617e-07
Position 1109: 3.184893816595285e-07
Position 673: 2.451002224024235e-07
Position 1216: 2.142012377736938e-07
Position 494: 1.6145055820068187e-07
Position 191: 1.1472137791034108e-07
Position 385: 8.680294502105708e-08
Position 164: 8.403494827949115e-08
Position 398: 7.879732809655673e-08
Position 94: 6.516575776611003e-08
Position 702: 4.703532356315061e-08
Position 724: 3.305193597080242e-08
Position 1113: 2.6080180243073138e-08
Position 1244: 1.609093770757561e-08
Position 571: 1.1873732265529895e-08
Position 291: 1.0632671286584984e-08
Position 138: 2.4032173487784204e-09
Position 17542: 1.7568782696569845e-09
Position 7: 1.3058185631286406e-09
Position 129: 9.47890094574979e-10
Position 825: 1.3843516454577084e-10
Position 601: 1.2231730142809558e-11
Position 11997: 4.956817180110897e-12
Position 1409: 9.354418053820007e-20
Position 691: 4.471099748893286e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 26161: 0.9999999383799618
Position 27260: 0.7813188928694953
Position 26440: 0.6936514421335533
Position 26963: 0.6840425453615752
Position 17139: 0.30536941125756195
Position 17366: 0.27981410131304535
Position 26363: 0.25518490867687815
Position 27807: 0.14935149795974398
Position 2329: 0.11497345298944027
Position 26877: 0.08116369600240325
Position 1940: 0.036355681951251065
Position 26401: 0.03513062260581235
Position 27296: 0.03417775069616528
Position 1090: 0.032823320743882126
