Gene = nudE
index = 1824
Annotated 5SS: [ 115  844 1066 1456 1778 2194]
Annotated 3SS: [ 484  911 1181 1519 2101 2319]
SMsplice 5SS: [ 844 1066 1456 1778 2194]
SMsplice 3SS: [ 911 1181 1519 2101 2909]
top_k =  500
Partition function (log Z): 11.508374789948354

Sorted 5' Splice Sites (High to Low Probability):
Position 844: 0.9990749213155484
Position 1066: 0.9854811211245597
Position 1456: 0.9710556415768521
Position 2194: 0.9289767282544577
Position 1778: 0.6645110579951968
Position 34: 0.29301667356446626
Position 2845: 0.1754909273378271
Position 1669: 0.13999146563446033
Position 115: 0.08492941368960896
Position 2660: 0.06295604918711321
Position 2251: 0.06237169520055426
Position 1646: 0.060401138170307726
Position 157: 0.03102722804037476
Position 2043: 0.021223274933007755
Position 2627: 0.01841651642801222
Position 1738: 0.017433199899625294
Position 15: 0.011941078074988686
Position 1863: 0.011166852929565903
Position 1266: 0.010881611307427092
Position 73: 0.008516298001221764
Position 1733: 0.0078685486513143
Position 3035: 0.00633311324527406
Position 1004: 0.0052266837139405215
Position 2015: 0.004761054287101661
Position 1714: 0.00470642157265038
Position 1708: 0.004641527390158575
Position 210: 0.004237439303042635
Position 2785: 0.004229672573492531
Position 28: 0.003975534371711573
Position 2002: 0.0038489920517537192
Position 2255: 0.003759344760129097
Position 417: 0.003210660180631451
Position 7: 0.0030147271164448278
Position 618: 0.0028439919421250734
Position 1947: 0.002689874169366099
Position 2032: 0.0022667856104203977
Position 1125: 0.0022164017605847577
Position 522: 0.0021341291689216347
Position 2036: 0.001879764647899103
Position 2710: 0.0018104900740926568
Position 2471: 0.0015323489509437933
Position 1868: 0.001469262234326517
Position 1038: 0.0014521334480522392
Position 332: 0.00139125552507717
Position 2683: 0.0013113383872060506
Position 2522: 0.001259003439647471
Position 337: 0.0011706264003720425
Position 319: 0.0011590975983929322
Position 1606: 0.001130350146057086
Position 93: 0.0009937675955082757
Position 632: 0.0008925101187606235
Position 122: 0.0006906039647410943
Position 2178: 0.0006797763904254717
Position 1936: 0.0006696652730323841
Position 3059: 0.0005228378720062294
Position 1398: 0.0005204137963016928
Position 2080: 0.0005177524726442058
Position 3444: 0.0005134319836105533
Position 3147: 0.000512873896482165
Position 2369: 0.0004936856781522616
Position 2423: 0.00047135697315150825
Position 1880: 0.00042450623874680315
Position 143: 0.00039840302972769576
Position 1845: 0.0003775772685705026
Position 1119: 0.000344733711268798
Position 2826: 0.0002959724202435762
Position 1268: 0.00023655952741447538
Position 296: 0.00022580295342571524
Position 3052: 0.00022430887778656598
Position 1909: 0.00022198571679420993
Position 3109: 0.0002187475917429456
Position 662: 0.00021035003100997908
Position 3475: 0.00020055553610767653
Position 3153: 0.00019140345178260068
Position 1942: 0.00018585878067214236
Position 119: 0.00016912054452014822
Position 31: 0.00015642144913411067
Position 1975: 0.0001550731117567836
Position 220: 0.00015095688021096309
Position 3168: 0.00014950193537745482
Position 1626: 0.0001416335822488656
Position 1239: 0.0001388957698055481
Position 1056: 0.00013722530033983258
Position 2384: 0.00013191059451175106
Position 287: 0.00012963245207992083
Position 1895: 0.00012728485491068136
Position 2861: 0.00012030074587522401
Position 1986: 0.0001134800947535219
Position 2729: 0.00011323964752569667
Position 2461: 0.0001009057512285645
Position 635: 9.645355157611821e-05
Position 3329: 9.413075661800108e-05
Position 3318: 9.394363816377353e-05
Position 3607: 9.124597776616942e-05
Position 548: 8.990327535947526e-05
Position 1309: 8.505134479715432e-05
Position 1564: 7.696382437771575e-05
Position 2246: 7.610368493410401e-05
Position 848: 7.413609676262055e-05
Position 3125: 6.867798504757604e-05
Position 113: 6.42351866142884e-05
Position 1545: 6.19409421301109e-05
Position 214: 5.824881320230276e-05
Position 3546: 5.559804956232399e-05
Position 2346: 5.525333895451694e-05
Position 1790: 5.204406947073882e-05
Position 106: 5.162511231058609e-05
Position 3114: 4.9202535786896336e-05
Position 3288: 4.880974158803433e-05
Position 647: 4.560587998744838e-05
Position 299: 4.443262154918489e-05
Position 2355: 4.313384473061145e-05
Position 3554: 4.2787924073211466e-05
Position 2367: 3.9982284335742584e-05
Position 1579: 3.225822162867626e-05
Position 1540: 3.107660757284429e-05
Position 19: 2.952061912603397e-05
Position 1824: 2.865094951678051e-05
Position 3040: 2.818237876536678e-05
Position 237: 2.076507827000764e-05
Position 737: 1.59638580016649e-05
Position 832: 1.4672310053216311e-05
Position 1131: 1.4232857067686236e-05
Position 933: 1.3503622248425972e-05
Position 234: 1.2996271167686793e-05
Position 1922: 1.286078656681618e-05
Position 247: 1.1763385611081812e-05
Position 1651: 1.0552275647423906e-05
Position 135: 1.0291100215999941e-05
Position 942: 8.734424656220803e-06
Position 250: 6.392347529546753e-06
Position 217: 6.313115408510621e-06
Position 2217: 5.713226331506683e-06
