Gene = Tsp39D
index = 1571
Annotated 5SS: [  130 10988 12076]
Annotated 3SS: [10869 11496 12132]
SMsplice 5SS: [  130 10988 12076 13273]
SMsplice 3SS: [10869 11496 12179 13340]
top_k =  500
Partition function (log Z): -12.475628942795858

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.7398088710656705
Position 4854: 0.4690924852838696
Position 5877: 0.4345149729592609
Position 5358: 0.4136595838068541
Position 7012: 0.3825254519131959
Position 6638: 0.2783263434261769
Position 5769: 0.1581043292826171
Position 6015: 0.15717484866146705
Position 6127: 0.1464701158011683
Position 469: 0.08204482228028814
Position 6062: 0.08094446094149638
Position 5380: 0.07722914871821752
Position 10988: 0.06103861997737798
Position 5997: 0.05993441923309709
Position 6206: 0.04879987986397723
Position 6112: 0.04493701140162217
Position 4827: 0.04347703370140393
Position 833: 0.03095982942273933
Position 233: 0.030643942315651495
Position 229: 0.023394732719479408
Position 1127: 0.021079025849014884
Position 798: 0.020850562117802708
Position 5088: 0.02041650315730911
Position 996: 0.01612146840275771
Position 6027: 0.01501602490292199
Position 5874: 0.01470832519434349
Position 1098: 0.014357839986049751
Position 434: 0.010274421027798195
Position 495: 0.010104718516394294
Position 81: 0.009463796105072548
Position 5330: 0.007858115309461353
Position 491: 0.006246901810992828
Position 3581: 0.005531653398377687
Position 4982: 0.004983563035575099
Position 225: 0.004824485474028122
Position 6118: 0.004389000687658595
Position 3247: 0.004023889661012871
Position 5901: 0.0026710071747677562
Position 5634: 0.001991225297792367
Position 6036: 0.0018527904665264793
Position 5608: 0.001173150811908918
Position 197: 0.000794152770560131
Position 679: 0.0007503963310145725
Position 1164: 0.0006714201852973712
Position 4833: 0.000622044961103648
Position 7592: 0.0005495130966451596
Position 784: 0.00046531134056130414
Position 219: 0.00045064625179683774
Position 755: 0.00018689323326636043
Position 542: 0.00015760426866192066
Position 1485: 0.00015591328004977665
Position 5206: 0.00014806769450359937
Position 803: 0.00012217507944361187
Position 1275: 3.9033619788678114e-05
Position 6314: 3.258052494724634e-05
Position 6471: 2.3938075408957074e-05
Position 265: 2.1913492021256262e-05
Position 661: 2.1346617052340354e-05
Position 241: 1.9559338478426514e-05
Position 2424: 1.6070556412943478e-05
Position 1481: 1.5939062940084386e-05
Position 144: 1.236811019153605e-05
Position 381: 1.1161117262885834e-05
Position 87: 9.85064179121996e-06
Position 761: 9.249825809663244e-06
Position 744: 9.138511390929115e-06
Position 20: 7.453295545628565e-06
Position 1156: 6.296681141050422e-06
Position 820: 5.749678779582511e-06
Position 329: 3.117674511991669e-06
Position 425: 2.241740648588893e-06
Position 237: 1.6160470916196483e-06
Position 256: 1.5791087540693005e-06
Position 415: 1.4898235566926868e-06
Position 489: 5.886088027802063e-07
Position 1087: 4.93957101662086e-07
Position 698: 4.116770197536214e-07
Position 1083: 2.4236200011935e-07
Position 649: 2.3693770938821638e-07
Position 376: 2.308560134857995e-07
Position 114: 2.018715522696139e-07
Position 736: 1.9941706955602483e-07
Position 203: 1.97532260798243e-07
Position 103: 1.9493232542066489e-07
Position 55: 1.94516007712041e-07
Position 383: 1.8815089249165965e-07
Position 412: 1.8507366516176776e-07
Position 484: 1.7354139220684846e-07
Position 402: 1.7202582546420157e-07
Position 320: 1.6156925114753926e-07
Position 659: 1.6041107908424745e-07
Position 989: 1.1464886971393519e-07
Position 1894: 8.557536254537049e-08
Position 1168: 7.362518061249931e-08
Position 1238: 5.1077820960523826e-08
Position 1060: 4.665779002009005e-08
Position 927: 4.30857069043804e-08
Position 1093: 3.060798949040897e-08
Position 5628: 1.2388308053461322e-08
Position 1379: 6.50750962278925e-11
Position 533: 1.0459380671891669e-11
Position 9: 8.936061136848639e-12
Position 1071: 6.7289076322738726e-12
Position 259: 5.641074723359749e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5527: 0.6529360911913759
Position 12179: 0.6220736064232595
Position 6283: 0.6128455110281608
Position 4703: 0.5488159869504089
Position 4981: 0.3252921535385459
Position 5938: 0.3165381357441797
Position 12385: 0.29403345131966
Position 5951: 0.14526688018935707
Position 10580: 0.06276654317192425
Position 5817: 0.04806939081492556
Position 11496: 0.045351650858703976
Position 4902: 0.0378738512386989
Position 6263: 0.027955321462682824
Position 892: 0.021089992555545035
Position 4669: 0.018478606247237093
Position 5144: 0.01666944471415933
Position 5159: 0.016496197282983505
Position 4715: 0.0160307872861
Position 5162: 0.014636004707529696
Position 11088: 0.013460000002243178
Position 5768: 0.012938632997582534
Position 5034: 0.012082182055164866
Position 5970: 0.011536447426229517
Position 5021: 0.010331977171727869
Position 6709: 0.006939380709194944
Position 4508: 0.006675574512083543
Position 5072: 0.005527359085657015
Position 4616: 0.0054269762049827695
Position 2556: 0.004126551734602661
Position 4745: 0.003748092645223428
Position 7067: 0.0037287697628835834
Position 5822: 0.0029238459198090436
Position 2995: 0.002824764924884039
Position 5342: 0.0027018421996586866
Position 6721: 0.0024236136493756603
Position 4960: 0.001788388789772984
Position 832: 0.0016720624966855887
Position 884: 0.0012886546062476798
Position 4513: 0.0012432921019231952
Position 7309: 0.0012425132545309215
Position 4487: 0.001086944050374224
Position 2742: 0.0009489396115242559
Position 3118: 0.0008418284829997435
Position 2805: 0.0007710268421775687
Position 7263: 0.0007524054604382019
Position 8519: 0.0006903595698284665
Position 7648: 0.0006444166402578705
Position 4403: 0.0006213060883022098
Position 2913: 0.0004261446077692681
Position 5379: 0.0003126791276092172
Position 7089: 0.00030916716823607183
Position 7531: 0.0002593015488007181
Position 1515: 0.00020557858320447103
Position 7694: 0.00013013855207557196
Position 529: 0.0001245004584744808
Position 7591: 8.471884970927335e-05
Position 6342: 7.098747079311625e-05
Position 1215: 5.9462427529705344e-05
Position 6181: 4.187109060768828e-05
Position 6373: 3.25805249472464e-05
Position 6935: 2.5417296620021918e-05
Position 6532: 2.3938075408957074e-05
Position 1418: 2.111002203714643e-05
Position 5846: 2.0075044108311177e-05
Position 6199: 8.105158131427653e-06
Position 1156: 6.056364984382599e-06
Position 1947: 1.5058155964879463e-07
Position 1709: 1.1957568473423738e-07
Position 214: 1.1941911205483461e-08
Position 345: 7.788583920219954e-09
Position 594: 3.568050047037057e-09
Position 708: 2.163230575249637e-09
Position 1603: 1.8517253019788453e-09
Position 367: 1.5088531341344767e-09
Position 545: 8.522736852264581e-10
Position 318: 8.460102816271682e-10
Position 203: 7.719961554819984e-10
Position 1054: 7.090042387980478e-10
Position 573: 6.676266310439989e-10
Position 1077: 5.514722812184461e-10
Position 1096: 4.908418599984883e-10
Position 364: 4.4944956828489645e-10
Position 623: 4.0968929905258837e-10
Position 698: 3.1906566080804365e-10
Position 965: 3.184167958597559e-10
Position 1126: 3.0035925774795203e-10
Position 157: 1.5375703810843286e-10
Position 570: 1.183944612150018e-10
Position 312: 9.836308862019042e-11
Position 788: 8.086465775265512e-11
Position 1071: 7.88496476594085e-11
Position 73: 5.991796894515797e-11
Position 480: 5.466498372196956e-11
