Gene = ND-30
index = 1297
Annotated 5SS: [170 305]
Annotated 3SS: [229 362]
SMsplice 5SS: [170 305]
SMsplice 3SS: [229 362]
top_k =  500
Partition function (log Z): -6.6255193263689955

Sorted 5' Splice Sites (High to Low Probability):
Position 305: 0.6398266250551929
Position 170: 0.3925372313622714
Position 174: 0.3361542685686855
Position 309: 0.20312140182575883
Position 724: 0.0025392121194056415
Position 748: 0.002372982465749288
Position 732: 0.0019410848909991584
Position 989: 0.001493836559568092
Position 442: 0.0003851795698035204
Position 485: 0.00038401477772041987
Position 611: 0.00036065634854188643
Position 704: 0.00015500020301797545
Position 455: 0.0001245960989566811
Position 343: 4.350923414624598e-05
Position 614: 2.6201386311129633e-05
Position 156: 2.3268976059732274e-05
Position 315: 2.2426488145222545e-05
Position 269: 1.812646746814988e-05
Position 131: 1.413616349326392e-05
Position 509: 1.1138418139546602e-05
Position 280: 1.0949172398981187e-05
Position 59: 6.253135569357847e-06
Position 97: 4.899928276053876e-06
Position 1018: 3.3321311806753786e-06
Position 78: 1.5760576523439417e-06
Position 145: 5.217736462025895e-07
Position 137: 4.510465643669686e-07
Position 101: 3.816892623967782e-07
Position 506: 5.6153108587129035e-08
Position 757: 3.1647245485216095e-08
Position 563: 2.5582969222221226e-08
Position 232: 2.22536800262974e-08
Position 578: 6.621903486288981e-09
Position 550: 6.2985952131520045e-09
Position 584: 5.382713518680415e-09
Position 229: 1.9828827145810685e-09
Position 446: 1.7533228363537001e-09
Position 523: 1.064278149482518e-09
Position 332: 7.20432207600577e-11
Position 330: 4.531850790175064e-11
Position 368: 2.157013682761085e-13
Position 386: 2.4921530490543538e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 362: 0.842039548369062
Position 229: 0.7221774091511096
Position 823: 0.006264582536240234
Position 376: 0.005169674973626997
Position 811: 0.0016146130331326596
Position 1051: 0.0016136817918745684
Position 661: 0.0012883870919319753
Position 854: 0.00036672727954644915
Position 544: 0.0003624556577013485
Position 386: 0.00019876152421819472
Position 523: 0.00015447877929150526
Position 347: 0.00011887155889469617
Position 269: 9.040364967020154e-05
Position 451: 2.8224087319176706e-05
Position 442: 2.4122365159678357e-05
Position 550: 1.896917717226964e-05
Position 532: 1.5905329201701636e-05
Position 192: 1.2573611911210919e-05
Position 308: 9.604727150779292e-06
Position 122: 4.250895526855377e-06
Position 500: 4.0074012932931355e-06
Position 1076: 3.3321311806753807e-06
Position 104: 1.4849148928846816e-06
Position 145: 7.19907078100113e-07
Position 280: 3.795135690444899e-07
Position 291: 7.497344552156212e-08
Position 598: 7.469498139832882e-08
Position 454: 3.896536226744095e-08
Position 294: 2.9845610488508315e-08
Position 676: 2.4173072417332568e-08
Position 303: 7.477365661622033e-09
Position 194: 1.1032197386973247e-09
Position 460: 4.855016910282661e-11
Position 285: 2.4746843454512597e-11
Position 315: 7.395991439222463e-12
Position 430: 7.779568397408278e-13
