Gene = mrn
index = 1795
Annotated 5SS: [330]
Annotated 3SS: [384]
SMsplice 5SS: [330]
SMsplice 3SS: [384]
top_k =  500
Partition function (log Z): -7.98073567954657

Sorted 5' Splice Sites (High to Low Probability):
Position 330: 0.9592606842112038
Position 975: 0.034772027321511814
Position 131: 0.024257012592806115
Position 1148: 0.010679531731437951
Position 981: 0.00819438082706778
Position 1161: 0.007753345971080037
Position 1120: 0.0061511031080829425
Position 311: 0.004599790145731376
Position 788: 0.003764632514678197
Position 320: 0.0031782447827885443
Position 1285: 0.002606685351158352
Position 732: 0.0020812164085129313
Position 1590: 0.0015801332928346518
Position 494: 0.001548793467272215
Position 503: 0.0014968533877751978
Position 267: 0.0009964383768974274
Position 295: 0.0009365667826784751
Position 338: 0.0008771761846940099
Position 717: 0.0005291558325652856
Position 1372: 0.000372793036026887
Position 1097: 0.000297647470290822
Position 1156: 0.00024811258521329556
Position 820: 0.00022587471050882564
Position 189: 0.00021615408559637415
Position 323: 0.0001838709988946442
Position 1248: 0.0001771327381835504
Position 50: 0.0001479885142473716
Position 1310: 0.00012388672968953866
Position 1100: 0.00011232013601796132
Position 1625: 9.209755660166684e-05
Position 1315: 8.277995492367606e-05
Position 1086: 7.793919147831718e-05
Position 808: 5.806653465170126e-05
Position 209: 3.1390029080396365e-05
Position 147: 2.5116789946644496e-05
Position 129: 1.8541729395776732e-05
Position 113: 1.621832467775132e-05
Position 80: 1.5687974675073196e-05
Position 249: 1.2771254251960316e-05
Position 56: 1.096337506511607e-05
Position 298: 9.976321501380164e-06
Position 629: 3.334802350539683e-06
Position 174: 2.4468112861448893e-06
Position 463: 1.6469239496172412e-06
Position 862: 6.499978922802889e-07
Position 271: 5.025685819820862e-07
Position 217: 2.674643414043616e-07
Position 283: 1.9592588746268112e-07
Position 965: 1.7879221868396878e-07
Position 921: 1.7145725096507978e-07
Position 683: 1.4549158920255155e-07
Position 672: 1.2565050491005248e-07
Position 1154: 8.071775426987124e-08
Position 760: 6.292907464741895e-08
Position 876: 3.673410680545813e-08
Position 91: 3.329000389702964e-08
Position 53: 2.9052872453341127e-08
Position 28: 8.297100541386568e-09
Position 1022: 7.523760331347733e-09
Position 865: 6.2008816502731945e-09
Position 4: 1.5008122811032242e-09
Position 434: 1.1199225213452792e-09
Position 96: 4.5825158739380995e-10
Position 425: 2.9207571038551596e-10
Position 450: 6.910934976196449e-11
Position 609: 2.6040793052601764e-12
Position 614: 2.1549447049198235e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 384: 0.9903473567633374
Position 1442: 0.028177248558573047
Position 1036: 0.016144795794776522
Position 1226: 0.015894482411188505
Position 1147: 0.006998132424615895
Position 1352: 0.0041044983499353375
Position 1033: 0.00273131586563672
Position 871: 0.0024067595847866
Position 1382: 0.002061665130758778
Position 1029: 0.00142302880657744
Position 1652: 0.0013650048872716743
Position 943: 0.0009119329196532978
Position 808: 0.0007944182013808369
Position 876: 0.0005566721708898267
Position 235: 0.0005167744161427296
Position 1409: 0.00041554188687416884
Position 392: 0.00037703516529529786
Position 760: 0.0003732085530438558
Position 751: 0.0003117163558905082
Position 1426: 0.000274064540621937
Position 894: 0.0002739284924132619
Position 903: 0.00027229203742991706
Position 1285: 0.00021331116234542873
Position 1680: 0.0001961435701963928
Position 1684: 0.00017145606347312905
Position 1151: 0.00016916262025513568
Position 1234: 0.0001027135864286565
Position 405: 6.250627650484609e-05
Position 1259: 2.9406015695434243e-05
Position 260: 2.528429673220359e-05
Position 487: 2.4817923330824914e-05
Position 279: 2.1215405074662167e-05
Position 1748: 1.6285331052361733e-05
Position 492: 1.5921020173185254e-05
Position 111: 1.3719124205970589e-05
Position 440: 1.352538789297993e-05
Position 144: 5.805884715728192e-06
Position 249: 3.715529693737636e-06
Position 186: 3.0363155994462856e-06
Position 241: 2.917400314198329e-06
Position 787: 1.410294336204784e-06
Position 172: 1.1917755543210981e-06
Position 921: 8.08236243911994e-07
Position 979: 6.806438745935411e-07
Position 985: 6.410702777421116e-07
Position 135: 4.7068973233458365e-07
Position 292: 4.08894772590729e-07
Position 502: 3.86091765006713e-07
Position 174: 3.8102327451252357e-07
Position 672: 3.3794555635583484e-07
Position 567: 3.1985026985954084e-07
Position 237: 3.1476638535972025e-07
Position 388: 1.985370376308264e-07
Position 147: 1.8109761762415146e-07
Position 129: 1.454758387978777e-07
Position 553: 1.1358123193952928e-07
Position 183: 9.152262801282673e-08
Position 827: 7.504248622965806e-08
Position 664: 2.952812134097876e-08
Position 833: 2.817429690918498e-08
Position 330: 2.87408483336635e-09
Position 228: 2.3260412944836177e-09
Position 53: 6.827100248117037e-10
Position 80: 5.311903211804099e-11
