Gene = Chro
index = 1070
Annotated 5SS: [ 351 1048 1535 2528 3861]
Annotated 3SS: [ 965 1108 1595 2593 4284]
SMsplice 5SS: [1048 1535 2528 3861]
SMsplice 3SS: [1108 1595 2593 4284]
top_k =  500
Partition function (log Z): 4.138220733889396

Sorted 5' Splice Sites (High to Low Probability):
Position 1048: 0.9995720041393962
Position 3861: 0.991800487157102
Position 1535: 0.9568518172961205
Position 2528: 0.799189878158428
Position 351: 0.30791746197495545
Position 1815: 0.26261739282232527
Position 1840: 0.2516463247300848
Position 243: 0.15576543968754822
Position 4098: 0.14751760303150205
Position 834: 0.11998676348930089
Position 4851: 0.11819403946935052
Position 3479: 0.11569508676538504
Position 282: 0.11154912188948524
Position 498: 0.1017197778815417
Position 3449: 0.06959635360222381
Position 4118: 0.0518385677503848
Position 704: 0.04863257705387585
Position 75: 0.04576394664176578
Position 4184: 0.040863325545033274
Position 2054: 0.04035312495597257
Position 859: 0.03725906122521889
Position 4458: 0.027334316776003464
Position 3550: 0.02544230954344939
Position 448: 0.024955960632399268
Position 4742: 0.022377467976717174
Position 3722: 0.017999914596388177
Position 4379: 0.0176050773767516
Position 470: 0.01682957498772829
Position 2116: 0.01401132397548035
Position 1608: 0.01341526374435444
Position 2266: 0.009667531217574722
Position 1348: 0.00788571319002655
Position 2250: 0.006980300314790009
Position 634: 0.006585653196034424
Position 111: 0.0052850503009816314
Position 3002: 0.005080303576903281
Position 2906: 0.004624577500520332
Position 4102: 0.004094173163892363
Position 2858: 0.004092497810864917
Position 828: 0.0037966406303710344
Position 156: 0.0036400785701838564
Position 5017: 0.0032627589073787456
Position 303: 0.002833894016988304
Position 2888: 0.0027213941862473676
Position 1844: 0.002706432957370976
Position 4389: 0.0026221844656061813
Position 3957: 0.00236614920415739
Position 1835: 0.0021971608814839727
Position 1877: 0.0021026355797595757
Position 1519: 0.0019586649265213208
Position 2420: 0.0017236386187647235
Position 2451: 0.0016155633340916623
Position 607: 0.0013333058671929846
Position 286: 0.00111388472329767
Position 1828: 0.00100657154046404
Position 253: 0.0009225462255337642
Position 875: 0.000760393870980167
Position 590: 0.0007495968605515428
Position 3833: 0.0007324012174277446
Position 5152: 0.0006832104801058103
Position 2008: 0.000579647438673983
Position 811: 0.000521113499067985
Position 227: 0.0005183574793548583
Position 235: 0.00042729108139272676
Position 1447: 0.0004104798351312831
Position 4396: 0.00039102602218441586
Position 320: 0.0003696586802173455
Position 1468: 0.00035270928757712177
Position 1621: 0.00031124013520534216
Position 761: 0.00029394277462081215
Position 2423: 0.0002876986225352302
Position 677: 0.0002867539342207776
Position 2328: 0.00028437857793274556
Position 267: 0.0002795151866016377
Position 3934: 0.0002689910132163568
Position 543: 0.00025917320084938754
Position 265: 0.00023722958658025018
Position 4993: 0.00021712160369094955
Position 355: 0.00018727380308539238
Position 79: 0.0001476881302189818
Position 1465: 0.00013151918651438065
Position 648: 0.00013013388460983788
Position 1896: 8.685668138473697e-05
Position 1326: 8.514171515005395e-05
Position 3836: 8.129286413043152e-05
Position 2120: 6.158770093410934e-05
Position 1569: 5.1711414579400215e-05
Position 1052: 5.113825720057216e-05
Position 341: 4.868901562616927e-05
Position 1674: 4.3346760624471585e-05
Position 4045: 3.941222935923565e-05
Position 1335: 3.510414856797229e-05
Position 1712: 2.9263793597762776e-05
Position 1144: 2.8326441701178996e-05
Position 365: 2.7441280054438773e-05
Position 4138: 2.706960622037914e-05
Position 576: 2.7009441228314195e-05
Position 1366: 2.637867581927679e-05
Position 2642: 2.5408384991634456e-05
Position 437: 2.374731170293882e-05
Position 601: 2.2118763647728474e-05
Position 1404: 2.1096148391554618e-05
Position 1384: 1.6116636870824388e-05
Position 14: 1.3444646829156147e-05
Position 363: 5.302372539513545e-06
Position 1377: 5.2656739410996565e-06
Position 1560: 4.992220701474891e-06
Position 1185: 2.3075930477004247e-06
Position 638: 2.2266154422230965e-06
Position 1778: 1.8886906398088564e-06
Position 1314: 1.2812600631941325e-06
Position 3985: 1.2062646461390871e-06
Position 1918: 1.0524753311329082e-06
Position 1068: 1.9247752526254224e-07
Position 196: 1.4390115445130052e-07
Position 353: 1.3574303875647378e-07
Position 619: 2.8470561197057546e-08
Position 1962: 1.2052913775028039e-08
Position 396: 6.109234145929152e-09
Position 1177: 5.925976875999577e-09
Position 992: 1.9730666778780396e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1108: 0.9989744829720952
Position 2593: 0.9467142836544999
Position 1595: 0.925792587204565
Position 4284: 0.7948320197155757
Position 1915: 0.4239154868411125
Position 758: 0.3943870135422337
Position 965: 0.23352227618552912
Position 565: 0.2092753373961845
Position 3523: 0.17706799668760723
Position 4170: 0.14158212900448824
Position 4009: 0.1408678820441161
Position 4914: 0.104991696753494
Position 3932: 0.09636656348482621
Position 404: 0.055210313171379546
Position 3605: 0.040300555737734146
Position 3956: 0.039604649340043166
Position 4518: 0.02812762066581661
Position 5079: 0.026286496698522035
Position 131: 0.02350869375426919
Position 3773: 0.020821679967203854
Position 1694: 0.019576486191609108
Position 926: 0.0180806952681313
Position 4316: 0.01626408806404908
Position 2326: 0.014269269493736879
Position 1639: 0.01216295183577508
Position 898: 0.012052509049998432
Position 711: 0.012027618499035773
Position 2194: 0.0105688443732564
Position 677: 0.010170558664180731
Position 4795: 0.010047176888837557
Position 3560: 0.00924968171865289
Position 4736: 0.009135716854030916
Position 596: 0.008637209048361185
Position 4445: 0.00709796791943708
Position 2116: 0.006684451475042612
Position 5030: 0.005728945619888626
Position 4494: 0.005395155415009958
Position 939: 0.004833921721844599
Position 2923: 0.004280277446125134
Position 201: 0.003947599917232489
Position 2599: 0.0034581898834230283
Position 350: 0.003089758016048971
Position 5083: 0.0028221863694982995
Position 4808: 0.0026987456157575836
Position 1953: 0.002194942820425695
Position 2053: 0.0019042180292974452
Position 136: 0.0019027139154957574
Position 225: 0.0018812512459666444
Position 3698: 0.0017867528062732495
Position 801: 0.001660290389841841
Position 141: 0.0016031284678498909
Position 437: 0.0011070727946465779
Position 733: 0.0007877600227663789
Position 4918: 0.0007176499737713169
Position 1437: 0.0006838144455827169
Position 5214: 0.0006832104801058101
Position 634: 0.0006243852908559883
Position 371: 0.0006152028058891404
Position 915: 0.0006081984720826009
Position 1612: 0.0005080119848777606
Position 165: 0.00042639780733478276
Position 1625: 0.0004066762843570079
Position 3960: 0.0003234288731122298
Position 528: 0.00026508443423373053
Position 1116: 0.0002520363069882764
Position 5055: 0.0002444338819761605
Position 320: 0.00020625678641729615
Position 1499: 0.00018428409898747794
Position 1404: 0.00016087346641624025
Position 120: 0.00014640294488245978
Position 541: 0.00014032069101925832
Position 144: 0.0001230322824101491
Position 2557: 0.00010384612385354813
Position 1001: 9.762803606272714e-05
Position 576: 4.746383760851159e-05
Position 1987: 4.663723943999809e-05
Position 1461: 4.587311978226689e-05
Position 363: 3.9964913280199275e-05
Position 1646: 3.6774331293258123e-05
Position 1663: 3.2251036503138796e-05
Position 3977: 2.8647432449650995e-05
Position 1876: 1.5852640513650907e-05
Position 619: 1.566423278820833e-05
Position 685: 1.4609557112642313e-05
Position 1191: 1.3411182143199743e-05
Position 2174: 1.2179839797058967e-05
Position 447: 1.2053348477955847e-05
Position 2031: 1.1778517157656004e-05
Position 1740: 1.14167989019848e-05
Position 2113: 8.349177204365489e-06
Position 1254: 8.137544141057893e-06
Position 1656: 7.3206256265741395e-06
Position 1357: 7.281447848500845e-06
Position 1236: 7.236014473343044e-06
Position 1532: 6.052913967632863e-06
Position 155: 5.003153319316701e-06
Position 75: 3.75945268917185e-06
Position 1669: 3.166051388172661e-06
Position 1322: 2.846784868019238e-06
Position 1293: 2.751620397205459e-06
Position 373: 2.7099026373295566e-06
Position 1285: 2.0992843262842563e-06
Position 1395: 1.9798789098928307e-06
Position 1927: 1.6718225342860983e-06
Position 1308: 1.1111296055784045e-06
Position 1957: 8.765627971532731e-07
Position 96: 5.020097996328126e-07
Position 227: 2.085797046868648e-07
Position 79: 8.462689966756739e-08
Position 250: 7.420194258464968e-08
Position 253: 5.089846249231808e-08
Position 286: 3.632056524084406e-08
Position 86: 9.453071982111475e-10
Position 111: 8.49668552635452e-10
Position 1560: 6.472981274827237e-10
Position 146: 3.0657787733295723e-10
Position 258: 5.257889666807645e-15
