Gene = vls
index = 1928
Annotated 5SS: [ 621 1055]
Annotated 3SS: [ 677 1106]
SMsplice 5SS: [ 621 1055]
SMsplice 3SS: [ 677 1106]
top_k =  500
Partition function (log Z): -4.473639635738128

Sorted 5' Splice Sites (High to Low Probability):
Position 621: 0.9718707465734708
Position 1055: 0.4753524846729938
Position 1040: 0.030283016622412035
Position 925: 0.025667389316984708
Position 483: 0.013582871337579417
Position 705: 0.01204412264012105
Position 1061: 0.005779468568875143
Position 610: 0.005614619426917775
Position 633: 0.00463098426423331
Position 1273: 0.003993651819649967
Position 396: 0.0031867028904399002
Position 625: 0.0030254542713283603
Position 963: 0.0022222648706060506
Position 1341: 0.001466930374443251
Position 405: 0.0010410680568074537
Position 308: 0.0010129528626404113
Position 1353: 0.0002960689741421586
Position 876: 0.00018328702693189838
Position 167: 9.17892947697018e-05
Position 71: 8.179257831325557e-05
Position 743: 6.118270379811943e-05
Position 644: 5.136252984345831e-05
Position 793: 5.127348584908161e-05
Position 532: 4.8027295855182014e-05
Position 786: 4.379422448841059e-05
Position 984: 4.320616857723071e-05
Position 799: 2.8049346386011696e-05
Position 435: 2.7621343604054486e-05
Position 1032: 2.7290163962151258e-05
Position 892: 2.6403554549414464e-05
Position 774: 2.0645934111697023e-05
Position 519: 2.0507836503239373e-05
Position 851: 1.5170718813157748e-05
Position 317: 1.3070734229664522e-05
Position 9: 1.18763555706729e-05
Position 564: 1.1063295722641046e-05
Position 591: 8.9082283491709e-06
Position 825: 8.697928467688358e-06
Position 23: 6.5035061774021665e-06
Position 678: 4.9619058072903005e-06
Position 320: 3.4878586545274667e-06
Position 808: 2.8276186856632367e-06
Position 467: 2.4088561702377435e-06
Position 120: 1.9187643639472214e-06
Position 497: 1.809854357669455e-06
Position 51: 1.7993452908787967e-06
Position 1176: 1.2464551993393062e-06
Position 638: 9.259839364717051e-07
Position 107: 8.331975278363997e-07
Position 1159: 7.525361547864133e-07
Position 357: 5.755700793998761e-07
Position 527: 4.795381995953738e-07
Position 1150: 3.2199746151987044e-07
Position 54: 2.0897496639893556e-07
Position 1222: 6.744598818399012e-08
Position 1144: 5.498878289771304e-08
Position 83: 6.772134701899466e-10
Position 663: 6.713597939119829e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 677: 0.9928142316387512
Position 1106: 0.5536640001774977
Position 553: 0.003973581471754409
Position 1415: 0.0032588009485023193
Position 461: 0.0022785140914536603
Position 1378: 0.0022009450248391396
Position 768: 0.0017709877233012122
Position 532: 0.0004501778786100795
Position 1333: 0.00044962771202614797
Position 482: 0.00040001575772043917
Position 1164: 0.00014542058318951797
Position 1389: 0.00012924948935942186
Position 497: 7.367579026197613e-05
Position 131: 6.186393290220416e-05
Position 377: 6.170027356162356e-05
Position 871: 4.421003107356019e-05
Position 572: 3.439895147792906e-05
Position 718: 2.6159994543319303e-05
Position 1194: 2.5167065458302568e-05
Position 834: 2.4453058546276098e-05
Position 97: 1.607584467943884e-05
Position 1150: 1.1891093920862734e-05
Position 1061: 1.0124958970309191e-05
Position 603: 6.33696102555391e-06
Position 1238: 6.261213275561392e-06
Position 1009: 5.913782025533695e-06
Position 244: 5.7135715856610164e-06
Position 774: 5.230225132498782e-06
Position 632: 3.243456256191171e-06
Position 71: 2.6257446803186855e-06
Position 984: 2.372121941232201e-06
Position 383: 2.37031037529449e-06
Position 1040: 2.0834984905006073e-06
Position 743: 1.7016413877850427e-06
Position 892: 1.679616512863545e-06
Position 489: 9.661011084402038e-07
Position 906: 9.634610518311666e-07
Position 297: 9.495606739628339e-07
Position 341: 9.193074166887896e-07
Position 1396: 6.742664600578546e-07
Position 1025: 5.925699282365759e-07
Position 963: 2.942046105745765e-07
Position 1067: 2.8312511598223554e-07
Position 1351: 1.987485533507627e-07
Position 923: 1.4427020367058982e-07
Position 419: 7.862318419247312e-08
Position 389: 6.00918498548291e-08
Position 610: 3.600293706863384e-08
Position 104: 1.6659277085805797e-08
Position 149: 1.5538393821522912e-08
Position 527: 3.3061006042099045e-09
Position 75: 1.959356997568843e-09
Position 167: 2.8640962960890074e-12
Position 77: 3.154707601112827e-13
Position 355: 3.0210820270826833e-15
