Gene = jhamt
index = 1735
Annotated 5SS: [668]
Annotated 3SS: [731]
SMsplice 5SS: [668]
SMsplice 3SS: [731]
top_k =  500
Partition function (log Z): 0.24166470064954282

Sorted 5' Splice Sites (High to Low Probability):
Position 668: 0.9996543127866124
Position 139: 0.0397045469358203
Position 155: 0.028010472977294563
Position 248: 0.015217379849898675
Position 208: 0.006770266473390744
Position 425: 0.004203869565755146
Position 52: 0.0035690367203928346
Position 472: 0.003462680546739418
Position 956: 0.0032704382981287605
Position 175: 0.0028694077132430684
Position 840: 0.002754038838832839
Position 501: 0.0017958050627374946
Position 463: 0.0015165257509882808
Position 994: 0.0013270434325503937
Position 286: 0.0011328074416631223
Position 917: 0.000493494006193631
Position 235: 0.00033807458526839674
Position 370: 0.000264768338101988
Position 143: 0.00021507779576732865
Position 504: 0.00020394527423275036
Position 160: 0.00017291453840850556
Position 1035: 0.00010046911032296371
Position 684: 9.068691432449344e-05
Position 595: 7.026488572256341e-05
Position 652: 6.651977510544014e-05
Position 737: 3.2213706460782646e-05
Position 926: 2.8246109133194906e-05
Position 1015: 2.615083705088978e-05
Position 672: 2.548799297109554e-05
Position 862: 2.413941987994182e-05
Position 790: 1.9012134348634485e-05
Position 636: 1.6482600264456375e-05
Position 578: 1.64772221182774e-05
Position 884: 1.3339642905770588e-05
Position 351: 1.3177467330826348e-05
Position 1006: 1.0157620030502089e-05
Position 815: 5.345144448561968e-06
Position 887: 3.6671689350916658e-06
Position 634: 1.6148808527053036e-06
Position 105: 1.1734681832009185e-06
Position 197: 1.0126769872082984e-06
Position 7: 5.762234421185483e-07
Position 343: 4.781781303927889e-07
Position 599: 4.364184918025072e-07
Position 1079: 2.715237753442263e-07
Position 616: 2.573797381331533e-07
Position 1066: 2.4279867031156383e-07
Position 640: 1.7345122017004879e-07
Position 10: 2.2831557944201242e-09
Position 582: 2.2623604555763825e-10
Position 554: 1.8032454880717984e-10
Position 523: 1.5515007694399764e-10
Position 585: 7.245536771438869e-11
Position 604: 5.127235947475219e-11
Position 560: 2.9019299418521243e-11
Position 750: 8.820732032195077e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 731: 0.9947828493222957
Position 554: 0.09765428985529151
Position 1013: 0.004584547973881482
Position 519: 0.004399561113862245
Position 776: 0.004071523087377635
Position 105: 0.002668812716281089
Position 417: 0.0025484401101543864
Position 1066: 0.0016664403172308396
Position 1105: 0.0012882281794830846
Position 835: 0.0008678046490009943
Position 217: 0.0004947502317799846
Position 472: 0.00035274712723216213
Position 501: 0.0003123495208809765
Position 994: 0.0002958384007030759
Position 742: 0.00018613479922773127
Position 261: 0.0001557609781369659
Position 424: 0.00014366974867952443
Position 904: 0.0001270443439414069
Position 385: 0.00011483853671393881
Position 1095: 0.00010225826691098483
Position 480: 9.955200613858554e-05
Position 560: 9.539449923752949e-05
Position 231: 9.218937464576056e-05
Position 227: 6.243930685913998e-05
Position 248: 5.3729677489352196e-05
Position 252: 5.0311062654636355e-05
Position 1130: 4.4029778315701597e-05
Position 790: 4.08189068355873e-05
Position 649: 3.016794513100702e-05
Position 763: 2.9051294246587775e-05
Position 285: 2.113715028909137e-05
Position 578: 1.947491638570841e-05
Position 332: 9.976129765659765e-06
Position 809: 6.617040416241222e-06
Position 265: 5.2453794148653025e-06
Position 388: 4.7923665303475355e-06
Position 1121: 4.605732360779115e-06
Position 634: 4.144894383284756e-06
Position 326: 3.806915701539801e-06
Position 528: 3.4035039047194375e-06
Position 582: 1.8986383245396373e-06
Position 1109: 1.828336381424784e-06
Position 1112: 1.7603959483116376e-06
Position 148: 1.7591087618371484e-06
Position 278: 1.7301857234364284e-06
Position 180: 1.6643192816158614e-06
Position 1132: 1.5349598525997194e-06
Position 839: 1.3787793708229397e-06
Position 267: 1.2525277447269122e-06
Position 961: 9.214698873357826e-07
Position 862: 4.0555696491499796e-07
Position 51: 4.727045845063795e-08
Position 656: 2.5934773699289306e-08
Position 123: 2.3557333849246094e-11
Position 59: 1.2033894322234592e-11
Position 318: 5.164866071523015e-12
Position 121: 4.618248056201288e-12
Position 270: 3.5186638490628015e-13
Position 321: 2.4095763426276714e-13
Position 306: 8.748186634523843e-14
