Gene = Muc68D
index = 1292
Annotated 5SS: [26]
Annotated 3SS: [82]
SMsplice 5SS: [26]
SMsplice 3SS: [82]
top_k =  500
Partition function (log Z): -10.35108558835541

Sorted 5' Splice Sites (High to Low Probability):
Position 26: 0.9785832633029359
Position 797: 0.33437843980000204
Position 607: 0.02733657849657495
Position 1313: 0.02312134522615738
Position 662: 0.022023830170959074
Position 1280: 0.021463495454936095
Position 334: 0.01975709519425448
Position 989: 0.015850419101242044
Position 1295: 0.013866617414232662
Position 1517: 0.006222608559939
Position 192: 0.004860327950523923
Position 1415: 0.00474379193249822
Position 209: 0.004412599456440155
Position 977: 0.0036375208419197843
Position 22: 0.0032839664984116207
Position 1499: 0.003015518879147935
Position 1484: 0.0019952859592231036
Position 410: 0.0019417104079116928
Position 3485: 0.00188780094548171
Position 36: 0.0018864089559087881
Position 1397: 0.0015334662086719558
Position 1922: 0.0015233712564616006
Position 1586: 0.0015007745508239286
Position 275: 0.0013842219970583254
Position 1382: 0.0013734629213432129
Position 844: 0.0013557320801014308
Position 1178: 0.0013063747061108028
Position 1688: 0.0009113155106547797
Position 1076: 0.0008668927963486702
Position 1889: 0.0007911530294845793
Position 1703: 0.0007426903980569325
Position 30: 0.0006198715060343351
Position 5: 0.000517506687538064
Position 277: 0.00048740496682360575
Position 2387: 0.00048659151734662846
Position 252: 0.0004727990537462368
Position 2090: 0.0003790612480442103
Position 785: 0.0003433122015596025
Position 1952: 0.00034016992342781786
Position 1787: 0.00032440268586231
Position 414: 0.00031885977683993386
Position 596: 0.00015701917763373985
Position 1091: 0.00013884330779641426
Position 1047: 0.00013835275239253294
Position 622: 3.805115505193394e-05
Position 677: 3.342003567383393e-05
Position 82: 2.911373381822085e-05
Position 1211: 2.2200528504503857e-05
Position 746: 2.154099811979391e-05
Position 1012: 1.65741363930508e-05
Position 140: 1.635361017180113e-05
Position 855: 1.6115743772004283e-05
Position 1193: 1.6008048761453923e-05
Position 169: 1.150081266515282e-05
Position 488: 1.0702265386465515e-05
Position 49: 9.47283104850213e-06
Position 493: 9.421148159642134e-06
Position 1240: 6.550102183201016e-06
Position 358: 2.4229624489919294e-06
Position 69: 1.4109011477685176e-06
Position 890: 1.1853382547848192e-06
Position 800: 6.311677721247847e-07
Position 680: 5.839710551415847e-07
Position 875: 1.6434328648993805e-07
Position 153: 1.9812318525715778e-08
Position 88: 5.40604918129368e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 82: 0.9393384616230875
Position 1123: 0.08407150097074635
Position 1366: 0.07022572319608338
Position 4389: 0.03688224372766727
Position 2272: 0.02631668967998768
Position 1570: 0.026057024985868822
Position 3073: 0.02384681301294249
Position 1468: 0.021686732402269825
Position 1060: 0.018721670132256892
Position 2773: 0.017621611459032314
Position 3274: 0.016392824865889458
Position 1975: 0.014952635657230998
Position 2074: 0.014071237539309769
Position 2173: 0.013709005346137896
Position 862: 0.013530210219948515
Position 2470: 0.013128005081375117
Position 2971: 0.011982160749764794
Position 1771: 0.011639225592380382
Position 1033: 0.010621156467938432
Position 2569: 0.00961030297448041
Position 886: 0.009302197192227912
Position 1162: 0.009281416087311761
Position 3172: 0.008868770533866695
Position 2872: 0.008030638202086743
Position 516: 0.0077790125259178415
Position 410: 0.007091399470025285
Position 2371: 0.006830276124724501
Position 4741: 0.005348724452829517
Position 865: 0.005336840105674194
Position 875: 0.005318810043266764
Position 1076: 0.0046628342506412485
Position 488: 0.00415731192783853
Position 270: 0.003957911398841784
Position 120: 0.0033137800557970524
Position 961: 0.0032259391839252667
Position 934: 0.0028481097918940062
Position 709: 0.0025409312418164924
Position 1339: 0.00228581516664515
Position 712: 0.002031347340334426
Position 3553: 0.0018878009454817172
Position 1645: 0.0018698716947687685
Position 3349: 0.0018169213438989874
Position 69: 0.001812981385121805
Position 1135: 0.0008110634666614239
Position 606: 0.0008043238048705021
Position 2947: 0.000803051384770562
Position 1543: 0.0006714137529837622
Position 1846: 0.000617877357848485
Position 1174: 0.000611371035797728
Position 1237: 0.0005601810690768702
Position 1441: 0.000552668442650246
Position 1086: 0.00043516026669172185
Position 557: 0.00043411373056660116
Position 893: 0.00039050397611309725
Position 1036: 0.00037518299956266837
Position 737: 0.00022687820772088443
Position 785: 0.00015782582816684877
Position 1342: 0.00014866997086925203
Position 823: 0.00014259903507356648
Position 1264: 0.00012325712516571903
Position 86: 0.00012143181337445896
Position 721: 0.00011514716106256818
Position 596: 8.89970205274609e-05
Position 973: 8.539119331690125e-05
Position 844: 5.82402661312301e-05
Position 583: 5.595374108372939e-05
Position 330: 4.83307218077105e-05
Position 658: 4.4006404255211214e-05
Position 88: 3.5115542523422574e-05
Position 622: 1.137703282856603e-05
Position 662: 2.7169902134104522e-06
Position 746: 2.7034764285823717e-06
Position 691: 2.0817892607551736e-06
Position 686: 7.704756633407085e-07
Position 327: 6.763318642912761e-07
Position 673: 5.360347697003809e-07
Position 240: 5.338513683791519e-07
Position 132: 2.2704700465552846e-07
Position 164: 2.1028873560576382e-07
Position 169: 1.3635246665646485e-07
Position 166: 1.005133673828134e-07
Position 49: 8.693296444881681e-09
Position 356: 4.066973014710731e-09
Position 181: 2.2905855755649845e-09
Position 365: 2.0065044302995094e-09
Position 345: 2.8612484502741257e-10
