Gene = dre4
index = 1676
Annotated 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
Annotated 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
SMsplice 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
SMsplice 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
top_k =  500
Partition function (log Z): 20.319816615600114

Sorted 5' Splice Sites (High to Low Probability):
Position 3513: 0.9996252602778989
Position 3196: 0.9961280235522194
Position 1026: 0.9919386031401428
Position 3731: 0.9823489150913164
Position 2272: 0.962165110576155
Position 661: 0.928762117060589
Position 203: 0.5759568528033148
Position 3959: 0.5057864781235937
Position 339: 0.4053606834781237
Position 4337: 0.16746646907158222
Position 1379: 0.1482481990336729
Position 2080: 0.07391501885023946
Position 2940: 0.02392360303819816
Position 2508: 0.012192138931966042
Position 314: 0.012140652988337497
Position 3058: 0.011964695697161902
Position 2624: 0.009100951962793882
Position 1688: 0.007704153231842851
Position 3062: 0.004386062594061256
Position 1269: 0.0043795785965541996
Position 2915: 0.004364362898977976
Position 4013: 0.004129104259214312
Position 2276: 0.0038789072618912322
Position 311: 0.003290569180393756
Position 2911: 0.0029829426415922543
Position 3880: 0.002542700582412121
Position 626: 0.002310614257495753
Position 1479: 0.002096253430497774
Position 2844: 0.0017455434649807288
Position 983: 0.0017279410934724398
Position 2894: 0.0012738256084163975
Position 285: 0.0012024111565485877
Position 3926: 0.0010310583643197686
Position 869: 0.0009858506223816106
Position 1337: 0.0007840448318933224
Position 266: 0.0007741956769920993
Position 1589: 0.0006613991729212054
Position 2635: 0.0006276428524182766
Position 2270: 0.00048733064684158833
Position 3772: 0.0004849246946070708
Position 1277: 0.00042152503100945224
Position 4066: 0.00040437589100330836
Position 649: 0.0003916528939888667
Position 3759: 0.00036879518703178535
Position 3893: 0.0003524959819217429
Position 3053: 0.00034396093516592233
Position 219: 0.0003354559681519822
Position 4347: 0.0003065872214076154
Position 207: 0.00030591661471353674
Position 543: 0.0003041085454092573
Position 1682: 0.000283438731260541
Position 4128: 0.0002630856321652962
Position 1484: 0.0002548428628946422
Position 561: 0.00023313691628449497
Position 1991: 0.000229198748458864
Position 477: 0.000225557020064725
Position 4530: 0.0002161811701946405
Position 830: 0.0001919522661977857
Position 3179: 0.00019061053226441922
Position 541: 0.00018698878345053152
Position 4588: 0.0001782748638927676
Position 2417: 0.00017101745516215643
Position 1271: 0.00016353982120098632
Position 2366: 0.00015916520459977653
Position 163: 0.00015891317479427273
Position 4061: 0.00015884952460398278
Position 4227: 0.0001508202014927762
Position 1710: 0.00014955939009994186
Position 2069: 0.00014294159122312525
Position 4221: 0.00014205256538265808
Position 4539: 0.00013746016169500575
Position 962: 0.0001364651938954446
Position 2117: 0.00012947832568387525
Position 3718: 0.00012194105533060464
Position 1712: 0.00011996068676365415
Position 1303: 0.00010460445267684415
Position 1241: 0.00010439637176499366
Position 342: 9.091806312816028e-05
Position 4173: 9.030345866055419e-05
Position 863: 8.20109652836558e-05
Position 2104: 8.191758059044904e-05
Position 665: 8.01070187159019e-05
Position 1604: 6.977809159249782e-05
Position 4091: 6.750467190633323e-05
Position 2281: 6.712549573389625e-05
Position 3475: 6.595457215826482e-05
Position 1150: 6.479762139043957e-05
Position 4680: 5.935889449515114e-05
Position 460: 5.15686166045211e-05
Position 4576: 4.833601429035278e-05
Position 1231: 4.41043024465541e-05
Position 3963: 4.3926551979243196e-05
Position 4251: 3.9992510259702505e-05
Position 1509: 3.787732466980219e-05
Position 3146: 3.083117468530893e-05
Position 4118: 2.8113385435535376e-05
Position 926: 2.585570559079658e-05
Position 1528: 2.3701423117924123e-05
Position 3200: 2.2528291674803222e-05
Position 454: 2.1418239972909054e-05
Position 211: 1.995043418508545e-05
Position 4158: 1.8907218779238236e-05
Position 1429: 1.8353720032749287e-05
Position 114: 1.7499210627136205e-05
Position 4592: 1.7414865390657564e-05
Position 167: 1.7146793326632165e-05
Position 4683: 1.6980316715766653e-05
Position 4256: 1.685850975403556e-05
Position 232: 1.5771301146512145e-05
Position 4204: 1.571889964214772e-05
Position 2978: 1.3947712077718795e-05
Position 176: 1.3846362076109349e-05
Position 2710: 1.2451145070750292e-05
Position 3137: 1.1243014828577431e-05
