Gene = Cpr62Ba
index = 1092
Annotated 5SS: [ 116 6729]
Annotated 3SS: [6575 7078]
SMsplice 5SS: [116]
SMsplice 3SS: [7078]
top_k =  500
Partition function (log Z): -13.342756117191476

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.40160485411471797
Position 100: 0.2882172494749566
Position 2968: 0.26671920444411706
Position 2231: 0.2446885171031439
Position 1748: 0.22016316919208306
Position 6729: 0.15656438314129323
Position 5595: 0.09201477351694416
Position 1989: 0.09001623922565705
Position 866: 0.051551283712937115
Position 637: 0.045825956761766866
Position 369: 0.04565083780210647
Position 407: 0.043390122201638834
Position 875: 0.04153323694834012
Position 507: 0.02140408039410018
Position 2506: 0.01682630977075744
Position 387: 0.008355050103430132
Position 619: 0.0059346925166554355
Position 109: 0.004611166992100895
Position 1624: 0.0044402840101412985
Position 30: 0.003431462527830796
Position 2105: 0.001948765718905762
Position 2011: 0.0012735312620814749
Position 17: 0.0012281817731016474
Position 3830: 0.001045220255003174
Position 355: 0.0009771330033665072
Position 1693: 0.0009038868039107504
Position 1755: 0.0008650323193726442
Position 1998: 0.0008281109822231356
Position 530: 0.0006480387516991892
Position 2945: 0.0003810421795305779
Position 479: 0.0003438386058837615
Position 139: 0.0002539358557232189
Position 1154: 0.00022967371463395085
Position 528: 0.00018512163318601377
Position 1264: 0.00017067718102914203
Position 1853: 0.00016699533877368708
Position 2246: 0.00015942421257644164
Position 1147: 0.00015586783252150686
Position 544: 0.00015170975848926308
Position 522: 0.00010238208114295466
Position 254: 8.048667738020346e-05
Position 411: 7.00366662409046e-05
Position 1115: 6.214949436659253e-05
Position 326: 5.836475904742698e-05
Position 734: 5.550347998628789e-05
Position 1151: 5.164960445396458e-05
Position 191: 4.1298957654655734e-05
Position 60: 4.065878467531869e-05
Position 1120: 3.911615111460804e-05
Position 1089: 3.904036127490143e-05
Position 1051: 2.0410410421316886e-05
Position 413: 2.0028971304845895e-05
Position 350: 1.8737593388193278e-05
Position 310: 1.6513119520600546e-05
Position 1204: 1.636925558674622e-05
Position 339: 1.3876729906860238e-05
Position 780: 1.1829684787758555e-05
Position 549: 8.279625493569007e-06
Position 1285: 3.338592187746879e-06
Position 893: 2.7681810350954538e-06
Position 359: 5.473194477991474e-07
Position 12: 3.872305453911896e-07
Position 231: 3.0372478475270345e-07
Position 755: 2.6019914400276967e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7078: 0.6424743746643595
Position 705: 0.29252734882338105
Position 6907: 0.20918788559638674
Position 2290: 0.19259659721047176
Position 1803: 0.18627046777697925
Position 4302: 0.17986672078614094
Position 5665: 0.08369580297890884
Position 2052: 0.07616233272274057
Position 6881: 0.05193509401245166
Position 4379: 0.030575368369402958
Position 2154: 0.023062753434785952
Position 2565: 0.01818071836580311
Position 1355: 0.014232736322147523
Position 2813: 0.007226257267381047
Position 916: 0.005502684351677736
Position 2707: 0.00524951609830418
Position 4794: 0.0047680064649640004
Position 7035: 0.004535468992931337
Position 2505: 0.003844470872296457
Position 204: 0.0037179251857399603
Position 2193: 0.003484769674703454
Position 1587: 0.003113629009702181
Position 2109: 0.0026883507304793957
Position 3558: 0.0025450798111279795
Position 2746: 0.002323100565226017
Position 3015: 0.0023171274109015103
Position 2318: 0.0022586690349935662
Position 4272: 0.0015455001844234787
Position 3821: 0.0010609789548160027
Position 3178: 0.0009325109465415529
Position 1154: 0.0007660891407835313
Position 3485: 0.0007647877338351008
Position 236: 0.0005852815491519056
Position 3209: 0.0005463066052997787
Position 1449: 0.0005270380837470978
Position 4464: 0.0004509522333183111
Position 1987: 0.00040117330939096354
Position 3113: 0.00035602450171130854
Position 3158: 0.00035110563270865705
Position 528: 0.00029284068831547763
Position 3231: 0.00027463952260242756
Position 433: 0.0002421181455677304
Position 2646: 0.0002317707858522076
Position 3202: 0.00021455189631602333
Position 3216: 0.00020225537237263943
Position 1612: 0.00018808101908558044
Position 1223: 0.00017507245733672686
Position 1204: 0.00016807505822312639
Position 1591: 0.00013280591873648858
Position 525: 0.00012199287516602717
Position 428: 0.00010803165245191392
Position 81: 0.00010565220945241105
Position 1603: 9.918503693074775e-05
Position 976: 8.937520595309439e-05
Position 996: 8.84570753847756e-05
Position 507: 6.563603421182203e-05
Position 1333: 6.540235836111674e-05
Position 1882: 6.163533402916769e-05
Position 797: 5.211657919342522e-05
Position 96: 1.0262086769588514e-05
Position 368: 3.905202675727746e-06
Position 594: 2.3056697438497526e-06
Position 542: 1.784839107865271e-06
Position 244: 1.3638867734786483e-06
Position 663: 1.0924429259322177e-06
Position 740: 6.755968400030298e-07
Position 60: 5.016821655253285e-07
Position 254: 3.739494981633388e-07
Position 348: 8.287830002474908e-08
Position 126: 3.584149704083744e-08
Position 438: 2.0522222690347437e-08
Position 132: 1.8103010953053232e-08
Position 330: 1.785727880460179e-08
