Gene = Arpc5
index = 28
Annotated 5SS: [290]
Annotated 3SS: [351]
SMsplice 5SS: [290]
SMsplice 3SS: [351]
top_k =  500
Partition function (log Z): 1.969747199144272

Sorted 5' Splice Sites (High to Low Probability):
Position 290: 0.9982630056891637
Position 845: 0.4200578895203426
Position 923: 0.038698339998295
Position 944: 0.00722743885757599
Position 462: 0.001852068601852356
Position 911: 0.0017307734755308232
Position 294: 0.0012654442016836666
Position 821: 0.0009013181611597443
Position 813: 0.00048164547031385215
Position 284: 0.00044909521905875274
Position 619: 0.0004346453008960923
Position 879: 0.00034707583102005574
Position 573: 0.0002758933561959783
Position 550: 0.00024349944954018076
Position 1077: 0.00017986033333298809
Position 30: 0.00016517656533204632
Position 627: 0.00012091322592559929
Position 764: 6.50086957116857e-05
Position 451: 6.115143727704729e-05
Position 855: 5.448829840490944e-05
Position 789: 5.145581578402126e-05
Position 829: 4.1306189171041286e-05
Position 562: 3.515793466684822e-05
Position 568: 3.23357894806104e-05
Position 58: 2.5305314008288348e-05
Position 642: 2.248493081331622e-05
Position 45: 1.710750685345886e-05
Position 888: 1.6404726010939488e-05
Position 379: 1.4167157551981312e-05
Position 10: 1.2118609963038931e-05
Position 161: 1.1947805397471427e-05
Position 243: 1.0695356649658674e-05
Position 937: 6.843145450777685e-06
Position 180: 6.138353651190652e-06
Position 55: 4.138792202073526e-06
Position 396: 2.953141093593928e-06
Position 849: 1.0416172268210374e-06
Position 519: 7.282774579001171e-07
Position 503: 4.567188760173551e-07
Position 127: 1.2107016077942337e-07
Position 227: 3.4513973092312266e-08
Position 387: 4.322462854207535e-09
Position 119: 2.5141716519403894e-09
Position 91: 1.0304134292933575e-09
Position 103: 3.855699460511879e-10
Position 310: 1.5903524399547917e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 351: 0.999887272238213
Position 1076: 0.25193020635299496
Position 1024: 0.10993172556629675
Position 1119: 0.04236455988738631
Position 944: 0.026936254597800996
Position 980: 0.019526912969367323
Position 1000: 0.014518737855673085
Position 927: 0.0023630254661796894
Position 888: 0.002171441898647081
Position 948: 0.0014118559523457587
Position 696: 0.0004985001112217373
Position 898: 0.00039170792158633435
Position 802: 0.0003100291959455304
Position 984: 0.00027227876573989807
Position 519: 0.00020590731781402178
Position 96: 0.00018222552896839567
Position 954: 8.776795019647417e-05
Position 844: 7.557143548541003e-05
Position 112: 2.3234367126963824e-05
Position 1035: 1.9643177295665106e-05
Position 217: 1.1949588571844296e-05
Position 868: 1.1498523045345985e-05
Position 69: 9.895275729273809e-06
Position 127: 7.250354591657816e-06
Position 821: 6.650715411788944e-06
Position 543: 5.193652807306714e-06
Position 531: 4.923517416851396e-06
Position 748: 4.403016407537679e-06
Position 253: 3.7888865607637825e-06
Position 503: 3.7352414557924387e-06
Position 829: 3.3347818026535576e-06
Position 594: 2.008958644628028e-06
Position 849: 1.1678989181698595e-06
Position 396: 1.0922379963891488e-06
Position 547: 7.440357136150152e-07
Position 625: 6.293029049780411e-07
Position 55: 8.897758229879399e-08
Position 495: 8.713340583017345e-08
Position 435: 7.853200048182342e-08
Position 414: 5.682938174647525e-08
Position 462: 5.617245349337164e-08
Position 704: 3.03455079813838e-08
Position 528: 3.0247617193123804e-08
Position 448: 2.8997396863151295e-08
Position 615: 2.387275497865611e-08
Position 136: 2.1256424948740747e-08
Position 151: 1.6015576437489787e-08
Position 274: 1.397799070251745e-08
Position 196: 6.875044769695946e-09
Position 855: 6.3522714436226774e-09
Position 280: 4.035446073603509e-09
Position 176: 3.036832528206131e-09
Position 232: 2.322823320794779e-09
Position 243: 1.2633681245633073e-09
Position 550: 9.30703596504854e-10
Position 609: 5.083014616842905e-10
Position 604: 2.7119309653133073e-10
Position 483: 1.8011182604576337e-10
Position 166: 8.956467168591343e-12
Position 329: 4.8918488919135895e-12
Position 680: 4.8751964375867554e-12
Position 289: 4.700699391861659e-12
Position 190: 3.195571905618339e-12
Position 627: 2.6096254010751375e-12
Position 297: 5.057035481965105e-15
Position 317: 9.285397393168665e-16
Position 192: 5.5124510147450236e-17
Position 168: 1.2114440349691855e-17
