Gene = GMF
index = 1176
Annotated 5SS: [184 437 694]
Annotated 3SS: [342 502 748]
SMsplice 5SS: [184 437 694]
SMsplice 3SS: [342 502 748]
top_k =  500
Partition function (log Z): 3.8013298246505642

Sorted 5' Splice Sites (High to Low Probability):
Position 694: 0.9969197874756495
Position 437: 0.9695906333549265
Position 184: 0.5903983563229396
Position 874: 0.09511843357460739
Position 131: 0.013836014912149364
Position 456: 0.008938592529433385
Position 93: 0.00890819773916536
Position 282: 0.007003296024498672
Position 882: 0.006831062293336285
Position 178: 0.003231349660208088
Position 285: 0.0026405735712632305
Position 67: 0.0018979796149239518
Position 1168: 0.001339948429864229
Position 202: 0.0011108764143523682
Position 700: 0.0010984603014680995
Position 193: 0.0010855783046280665
Position 618: 0.0010308562423575578
Position 660: 0.0006001315088181035
Position 1125: 0.0005491229696143622
Position 191: 0.000530841784150167
Position 244: 0.00048793003755139247
Position 302: 0.0004479084778091599
Position 1114: 0.0003101925498845126
Position 242: 0.00026933310737420563
Position 914: 0.00026191137870823045
Position 917: 0.0002581096944532207
Position 1210: 0.0002561305257661268
Position 940: 0.00015355260622219803
Position 651: 0.0001355062811808042
Position 800: 9.947750960583851e-05
Position 1219: 9.175264156660527e-05
Position 628: 7.660468313425053e-05
Position 1145: 6.429111184682718e-05
Position 16: 6.151561003058258e-05
Position 23: 5.71719198091767e-05
Position 134: 4.661897558487715e-05
Position 766: 4.260818769264863e-05
Position 258: 3.7345447832332696e-05
Position 853: 3.649458260152043e-05
Position 396: 3.582717891625502e-05
Position 264: 3.1921013253540966e-05
Position 250: 1.5943259129696636e-05
Position 815: 1.4975969305097467e-05
Position 465: 8.212462663970068e-06
Position 562: 7.920126591757778e-06
Position 252: 6.778173600521432e-06
Position 1189: 6.6852574829221105e-06
Position 450: 6.414612397941951e-06
Position 376: 3.2130568810763685e-06
Position 344: 2.5006058723248265e-06
Position 607: 2.0394203289445776e-06
Position 1138: 1.9101564128575275e-06
Position 1154: 1.4125881667251346e-06
Position 11: 8.472304726458366e-07
Position 1078: 7.666659975691733e-07
Position 469: 1.9656640759431504e-07
Position 529: 5.585787791428282e-08
Position 543: 1.889463996468927e-08
Position 532: 1.4374939990038666e-08
Position 467: 1.259885457897655e-08
Position 508: 3.1086569867021174e-10
Position 472: 4.118476840119542e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9970492941541318
Position 748: 0.9252552138897595
Position 342: 0.5614584769867487
Position 1058: 0.09100443510459778
Position 760: 0.07398047666069839
Position 240: 0.031089413394687054
Position 354: 0.013146098791096593
Position 940: 0.008153539472275692
Position 1264: 0.004649222531215614
Position 292: 0.0041201830834502115
Position 151: 0.0012264904304391485
Position 289: 0.0010228987646682594
Position 1078: 0.0005587811217440852
Position 172: 0.0005023174397775084
Position 1224: 0.000441500100028578
Position 683: 0.0004166956554877316
Position 991: 0.00041275276972984774
Position 508: 0.0003730799686435432
Position 522: 0.00017240412552257465
Position 1183: 0.0001447171772931113
Position 368: 0.0001424464455859686
Position 1280: 9.99887684473973e-05
Position 1073: 6.587263322925478e-05
Position 134: 6.197684275763172e-05
Position 87: 5.297487792713536e-05
Position 344: 3.800810351484151e-05
Position 1036: 3.424713775598954e-05
Position 1186: 3.4165217008583096e-05
Position 200: 3.244837304531127e-05
Position 407: 3.155121506187156e-05
Position 1114: 3.0319589365974317e-05
Position 519: 2.5680943236090245e-05
Position 1168: 2.5210485967678436e-05
Position 472: 1.954013131239422e-05
Position 376: 1.6993887418590175e-05
Position 793: 1.5081858492263169e-05
Position 139: 1.4985879013641492e-05
Position 1233: 1.451543816683475e-05
Position 781: 1.340506722905833e-05
Position 924: 1.1341206514889889e-05
Position 1154: 8.333973138765984e-06
Position 187: 6.027634142132474e-06
Position 462: 5.577349754400957e-06
Position 242: 5.328174838561392e-06
Position 178: 5.06048847306913e-06
Position 384: 2.6849680286122504e-06
Position 393: 2.1448606243896524e-06
Position 642: 1.890200193705174e-06
Position 396: 1.53226828240148e-06
Position 1145: 1.2907003009278757e-06
Position 67: 1.269178208112932e-06
Position 689: 1.0129956435826537e-06
Position 191: 4.456718226577592e-07
Position 93: 2.9001515770670125e-07
Position 411: 1.8260727920470877e-07
Position 441: 1.4178958700613343e-07
Position 413: 1.0118830563806958e-07
Position 589: 9.118354908814316e-08
Position 836: 2.1263549482658987e-08
Position 55: 1.4618263615537015e-08
Position 576: 1.423341414708164e-08
Position 803: 1.3597043492381359e-08
Position 800: 9.660265335001276e-11
