Gene = lok
index = 1759
Annotated 5SS: [ 299  642  884 1232 1750 2191]
Annotated 3SS: [ 359  725 1122 1311 1955 2249]
SMsplice 5SS: [ 591  884 1232 2191]
SMsplice 3SS: [ 725 1122 1955 2249]
top_k =  500
Partition function (log Z): 10.705803439147454

Sorted 5' Splice Sites (High to Low Probability):
Position 2191: 0.998857392396557
Position 591: 0.8069470650648652
Position 1232: 0.6586444342702699
Position 884: 0.6392968136485276
Position 1011: 0.34892916708306
Position 299: 0.2747578214793003
Position 1750: 0.23207055112493818
Position 1251: 0.22256046572542673
Position 1897: 0.12080927194240056
Position 1419: 0.1182949712813451
Position 642: 0.07313594157323074
Position 559: 0.06179311358823059
Position 1826: 0.047091815928494464
Position 827: 0.03847355404624333
Position 141: 0.027262889736836594
Position 2729: 0.02214218345528132
Position 1277: 0.01550024148762732
Position 1409: 0.007598487732637895
Position 322: 0.007565278681425049
Position 97: 0.004850485984378083
Position 518: 0.0045531912536198645
Position 1733: 0.0033844771894164715
Position 333: 0.0030890779485833325
Position 638: 0.0030464292255655777
Position 1201: 0.002366437258828935
Position 1571: 0.0018961632272172153
Position 303: 0.0016577005795554872
Position 2894: 0.0016328148390406846
Position 2864: 0.0011755183268227583
Position 132: 0.0011040623012790012
Position 2046: 0.0010548201375456096
Position 2325: 0.0010372614721592295
Position 1383: 0.0010323761747768876
Position 211: 0.0010257491102192379
Position 1774: 0.000956780883077101
Position 888: 0.0006889315646783462
Position 319: 0.0006319769653909306
Position 552: 0.0005674813844828158
Position 597: 0.0005405374417371914
Position 1057: 0.0005356261553530229
Position 545: 0.0005000475459517385
Position 1623: 0.0003600777048305175
Position 1428: 0.0003424662975775828
Position 1454: 0.000340311686092499
Position 2177: 0.0003140559906854744
Position 2674: 0.0002848249972818839
Position 195: 0.0002765152721341588
Position 1616: 0.0002677302985028676
Position 1376: 0.00020389502695080313
Position 1068: 0.0002038623634751538
Position 112: 0.00019838187276476706
Position 2875: 0.00016226742912294268
Position 2554: 0.0001616440952381336
Position 305: 0.00015462648546537997
Position 297: 0.00015281286229274047
Position 492: 0.0001514613073930841
Position 2606: 0.00015105931217556038
Position 1718: 0.00015039633805865682
Position 1578: 0.00014718645626024052
Position 976: 0.00013414306290716115
Position 2584: 0.00010625171165627526
Position 660: 9.293893069456132e-05
Position 151: 9.082957224830044e-05
Position 2174: 8.943220047082352e-05
Position 1842: 7.346242627620716e-05
Position 1224: 7.141187890642096e-05
Position 1530: 5.986016575364828e-05
Position 2195: 5.8392418669582e-05
Position 992: 5.58444545035454e-05
Position 2690: 4.557610846997023e-05
Position 894: 4.1035787777593066e-05
Position 1504: 3.965593133402586e-05
Position 2280: 3.808581613592019e-05
Position 678: 3.759374948915714e-05
Position 1516: 3.676359897529885e-05
Position 1470: 3.645704801654385e-05
Position 987: 3.039948003285308e-05
Position 1575: 2.7580624325075077e-05
Position 2887: 2.7178989551807933e-05
Position 1078: 2.5100169580795397e-05
Position 1763: 2.493248145416006e-05
Position 667: 2.4270084084332555e-05
Position 2348: 2.3123474145477572e-05
Position 2870: 2.2454929435001844e-05
Position 387: 2.2407969989057135e-05
Position 1631: 2.1233135335789977e-05
Position 872: 1.95757269210416e-05
Position 2702: 1.937733172875079e-05
