Gene = amd
index = 1608
Annotated 5SS: [2162]
Annotated 3SS: [2639]
SMsplice 5SS: [197 493]
SMsplice 3SS: [ 257 2639]
top_k =  500
Partition function (log Z): 1.3852627346081456

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9655569682673479
Position 197: 0.8594242681819221
Position 2162: 0.20751423902485827
Position 2253: 0.17814329557226824
Position 190: 0.12668701270460497
Position 1421: 0.11974436995517329
Position 1328: 0.11583936239621258
Position 3340: 0.03864523381255945
Position 1198: 0.026374346867285237
Position 2547: 0.018652653438072563
Position 1082: 0.016203507699649684
Position 1746: 0.015413314164379134
Position 449: 0.01523255571935041
Position 2859: 0.014448892915949729
Position 661: 0.014039526563954555
Position 2263: 0.005329533186707161
Position 199: 0.0049130869689667945
Position 2355: 0.004850035490654884
Position 3568: 0.004075662665373548
Position 1364: 0.0031350785143734903
Position 510: 0.0031037593681990327
Position 3549: 0.002179389144776188
Position 2257: 0.0017055881000545055
Position 1802: 0.0014491371466921112
Position 3652: 0.0013480972766537211
Position 1845: 0.0011662475517977564
Position 1047: 0.0009736820263572888
Position 2137: 0.0008822141570963485
Position 2177: 0.0008792092558935632
Position 36: 0.0008773791682939132
Position 2314: 0.0006634840896375842
Position 2403: 0.0006417301994021385
Position 81: 0.0006366983726407439
Position 2531: 0.0006163506309346937
Position 517: 0.0005856187835137557
Position 2854: 0.0005820070272497383
Position 28: 0.000489874011493768
Position 488: 0.00048327832500420103
Position 3120: 0.0004111056575677708
Position 2114: 0.0003937821825662215
Position 2246: 0.0003504880501617543
Position 2166: 0.00033324670430577254
Position 1425: 0.00030329575683175853
Position 1694: 0.0002909643232435712
Position 1383: 0.0002875783519213031
Position 2101: 0.0002695867665055778
Position 1548: 0.0002537639770777457
Position 377: 0.0002485402507954252
Position 1571: 0.000248229621257775
Position 1428: 0.00023216281610890512
Position 1931: 0.00023103391286113088
Position 3672: 0.00022536558343356925
Position 1024: 0.00020164130419021486
Position 3143: 0.00019501418251910514
Position 1078: 0.0001856643534974445
Position 2288: 0.0001779873976922467
Position 3896: 0.00016295108496528206
Position 3854: 0.00014956414115115335
Position 886: 0.00013390379253935648
Position 1067: 0.00013150356263519485
Position 1686: 0.0001267844389189073
Position 571: 9.370447210591776e-05
Position 1033: 9.110156590888431e-05
Position 1438: 8.575803783756689e-05
Position 203: 8.375308456639136e-05
Position 1468: 8.345511531314206e-05
Position 343: 6.940799710384871e-05
Position 2751: 6.78428973728291e-05
Position 21: 6.780412960278073e-05
Position 1523: 5.2921812294437616e-05
Position 1809: 5.0269790394869755e-05
Position 201: 4.394410476214382e-05
Position 9: 2.4097170793218987e-05
Position 1204: 1.5620308341804e-05
Position 3175: 1.090541942042519e-05
Position 136: 7.924200178143908e-06
