Gene = saturn
index = 1864
Annotated 5SS: [330]
Annotated 3SS: [388]
SMsplice 5SS: [330]
SMsplice 3SS: [388]
top_k =  500
Partition function (log Z): -4.367273756184091

Sorted 5' Splice Sites (High to Low Probability):
Position 330: 0.9873273409514112
Position 522: 0.3218581643423675
Position 150: 0.31184978285766324
Position 32: 0.07000571139801284
Position 479: 0.03343899279802881
Position 47: 0.020503588338060836
Position 550: 0.004151341699868986
Position 258: 0.002754914060685186
Position 231: 0.0018595427732996943
Position 719: 0.0010917458173190185
Position 132: 0.00041410491854853204
Position 99: 0.0002601931137344998
Position 190: 0.00022389856394182256
Position 704: 0.00015185147281424936
Position 297: 0.0001397475568330597
Position 840: 9.459463649816118e-05
Position 430: 7.338572480951215e-05
Position 707: 6.911225998130317e-05
Position 51: 5.645361266110598e-05
Position 334: 5.3843496681904256e-05
Position 194: 5.207365597385371e-05
Position 164: 5.0971012638382776e-05
Position 124: 4.802184017804968e-05
Position 434: 4.5207244050038075e-05
Position 815: 4.2151853883395127e-05
Position 58: 3.306563801413681e-05
Position 644: 2.872461130959614e-05
Position 671: 2.383553829824942e-05
Position 847: 1.582380769126793e-05
Position 425: 1.3382923579845382e-05
Position 282: 1.2898321275824056e-05
Position 113: 1.0980077502114269e-05
Position 353: 2.8554478871850627e-06
Position 627: 2.533533975420915e-06
Position 218: 9.534129488133905e-07
Position 273: 1.4948681111839236e-07
Position 389: 1.6869742742148168e-08
Position 423: 1.159194836829709e-08
Position 358: 4.9444059912253994e-09
Position 377: 9.179541326074545e-11
Position 397: 4.26190178929361e-12
Position 409: 3.5289718058723816e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 388: 0.9878219728637746
Position 207: 0.3179072832194167
Position 578: 0.18070891988046925
Position 611: 0.1802781489023122
Position 81: 0.06779316773973686
Position 103: 0.006789787518215548
Position 128: 0.003170921556748009
Position 99: 0.002856952850618929
Position 961: 0.0019413299368741693
Position 307: 0.0015897859837579681
Position 85: 0.0012481919057017012
Position 680: 0.0009520763905843718
Position 548: 0.0007073991696743285
Position 932: 0.00043070007198309413
Position 587: 0.00041317452290154204
Position 627: 0.0004100171349514186
Position 737: 0.00039109705417502306
Position 782: 0.0003001212553936211
Position 803: 0.00022267003240847245
Position 831: 0.00017028963088784797
Position 796: 0.0001571154937377576
Position 241: 0.00011026705811341818
Position 638: 0.00010239696438321123
Position 717: 8.868626298250383e-05
Position 155: 6.284094071578052e-05
Position 898: 3.492416670374275e-05
Position 653: 1.9663146530534347e-05
Position 707: 1.6353919897098752e-05
Position 442: 1.4467919868070379e-05
Position 644: 1.377727478515691e-05
Position 519: 1.357509081014217e-05
Position 430: 7.936273272713074e-06
Position 742: 6.44120584271535e-06
Position 132: 4.962202840905667e-06
Position 490: 3.0141061708602566e-06
Position 375: 5.320850664728826e-07
Position 340: 4.838368023346695e-07
Position 500: 1.5471680268322177e-07
Position 409: 1.4264506515696885e-07
Position 403: 1.0709001374864129e-07
Position 364: 6.964375786915639e-08
Position 464: 2.7970752227971976e-08
Position 361: 2.4669421387171146e-08
