Gene = wac
index = 1934
Annotated 5SS: [220 588]
Annotated 3SS: [274 646]
SMsplice 5SS: [220 588]
SMsplice 3SS: [274 646]
top_k =  500
Partition function (log Z): -3.521352751367679

Sorted 5' Splice Sites (High to Low Probability):
Position 588: 0.906120607121577
Position 220: 0.897570489320009
Position 798: 0.096831910344882
Position 571: 0.03517824987873944
Position 210: 0.01986367654953435
Position 594: 0.01577314337797676
Position 169: 0.007950945506070199
Position 574: 0.0023009541426913514
Position 826: 0.0018509452493847447
Position 579: 0.0013484090403642702
Position 861: 0.0005288233655232332
Position 523: 0.0002021601543169596
Position 360: 0.00015738236169742114
Position 355: 0.00011241629449523648
Position 116: 7.828791509940254e-05
Position 102: 6.602543539991616e-05
Position 172: 4.91836922793177e-05
Position 224: 4.069711151588854e-05
Position 839: 3.854002394336125e-05
Position 872: 3.372843759110969e-05
Position 511: 1.654159194140994e-05
Position 125: 1.0208145437065712e-05
Position 339: 9.51682036371846e-06
Position 84: 6.937487029786325e-06
Position 784: 6.927845662245524e-06
Position 690: 4.75080979185331e-06
Position 546: 1.7982398260195735e-06
Position 470: 1.788095908737944e-06
Position 786: 1.5655252591072932e-06
Position 200: 1.2084525185955816e-06
Position 614: 5.385014097415534e-07
Position 298: 4.1120630455812883e-07
Position 154: 4.0218480916187715e-07
Position 687: 3.2385022374374744e-07
Position 314: 2.1438623603378503e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 646: 0.9638458711618203
Position 274: 0.8614359230519625
Position 872: 0.06070646420160262
Position 918: 0.038668344575300474
Position 319: 0.02895997915107955
Position 276: 0.0248947286616345
Position 504: 0.0038579423725735107
Position 245: 0.0012546547665621985
Position 480: 0.0010105514987416631
Position 477: 0.00030307032696160553
Position 614: 0.0002628820288086688
Position 285: 0.00021092017290210563
Position 345: 0.00016681387335563784
Position 698: 0.00013176778849250138
Position 339: 0.00012307041656212496
Position 292: 6.511979580457405e-05
Position 666: 6.275554060216609e-05
Position 728: 4.821209460512736e-05
Position 511: 3.507864975369487e-05
Position 324: 3.279661844269965e-05
Position 713: 2.2420151747302955e-05
Position 493: 1.7001087843879606e-05
Position 360: 9.904812220194748e-06
Position 516: 9.274460770093144e-06
Position 758: 9.178770005763692e-06
Position 196: 4.4081936827246775e-06
Position 298: 4.12130313371093e-06
Position 526: 1.6166340087380865e-06
Position 767: 1.0262393784247766e-06
Position 353: 1.0257337815482739e-06
Position 133: 7.931721255909365e-07
Position 294: 6.135189756032446e-07
Position 210: 3.736035374353199e-07
Position 775: 3.512306037023386e-07
Position 166: 2.825342258150081e-07
Position 172: 1.440253065921181e-07
Position 558: 8.553411079681957e-08
Position 797: 7.439593871433159e-08
Position 224: 4.565767897865205e-08
Position 534: 2.0446296010233017e-08
Position 161: 2.128729320659031e-10
